,Language,Word Entropy,hemisphere,subject,model,accuracy
49,French,High,Left,sub-003,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.9530241710322247e-05
50,French,High,Right,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.7950795919901284e-05
51,French,High,Left,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.7301189478885536e-05
52,French,High,Right,sub-001,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-7.4683184572614025e-06
53,French,High,Left,sub-001,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.7058511754796005e-06
54,French,High,Right,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.8627017882178854e-06
55,French,High,Left,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,6.254038199451741e-06
56,French,High,Right,sub-021,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-8.390247176585353e-06
57,French,High,Left,sub-021,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-3.064468365422513e-06
58,French,High,Right,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,8.363344912012125e-06
59,French,High,Left,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.1846825553482507e-05
60,French,High,Right,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-6.520169011738645e-06
61,French,High,Left,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.5221737877747898e-05
62,French,High,Right,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-6.120335785221104e-06
63,French,High,Left,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.6479193036661216e-05
64,French,High,Right,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-3.376454045955214e-06
65,French,High,Left,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-3.872880563410587e-06
66,French,High,Right,sub-023,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.3805414594307012e-05
67,French,High,Left,sub-023,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-3.988293431581122e-06
68,French,High,Right,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.4238193767355617e-05
69,French,High,Left,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.807828199982604e-05
70,French,High,Right,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.951578002849282e-05
71,French,High,Left,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-4.537717632814058e-06
72,French,High,Right,sub-025,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,9.370397067067917e-06
73,French,High,Left,sub-025,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.358644858218536e-05
74,French,High,Right,sub-028,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.794709187204357e-05
75,French,High,Left,sub-028,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-9.3299091769233e-06
76,French,High,Right,sub-027,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-8.987477546454158e-06
77,French,High,Left,sub-027,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-8.236629813646657e-06
78,French,High,Right,sub-014,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.304367921206373e-05
79,French,High,Left,sub-014,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,4.443235912953926e-06
80,French,High,Right,sub-026,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,3.554984614017454e-06
81,French,High,Left,sub-026,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,8.995643731750054e-06
82,French,High,Right,sub-029,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-6.798187014705122e-06
83,French,High,Left,sub-029,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-6.3144172149393435e-06
84,French,High,Right,sub-033,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-9.561748978649482e-06
85,French,High,Left,sub-033,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.2188723664276973e-05
86,French,High,Right,sub-015,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.8999394887676803e-05
87,French,High,Left,sub-015,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.608692315329652e-05
88,French,High,Right,sub-017,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,9.115850480661288e-05
89,French,High,Left,sub-017,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.4611577326158366e-05
90,French,High,Right,sub-032,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.283566798825074e-05
91,French,High,Left,sub-032,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,4.328915434314749e-06
92,French,High,Right,sub-030,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-6.45927146147781e-06
93,French,High,Left,sub-030,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-5.628225141095601e-06
94,French,High,Right,sub-013,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.965151264336031e-05
95,French,High,Left,sub-013,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.8956838707586857e-05
96,Dutch,Low,Right,sub-003,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.044169573091772e-05
97,Dutch,Low,Left,sub-003,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,9.499922117815643e-06
98,Dutch,Low,Right,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.4606999746447344e-05
99,Dutch,Low,Left,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.544115600626423e-05
100,Dutch,Low,Right,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,3.8234869787321127e-05
101,Dutch,Low,Left,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.1591127467487659e-05
102,Dutch,Low,Right,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,7.78687376885593e-06
103,Dutch,Low,Left,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.62418367401933e-06
104,Dutch,Low,Right,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.268098701218988e-05
105,Dutch,Low,Left,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.0926553023271833e-05
106,Dutch,Low,Right,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.5285385326718221e-06
107,Dutch,Low,Left,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,4.6311170390083734e-05
108,Dutch,Low,Right,sub-014,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,9.954635663489216e-05
109,Dutch,Low,Left,sub-014,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,8.644358475701954e-05
110,Dutch,Low,Right,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.645641941519346e-05
111,Dutch,Low,Left,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.8765511264953622e-05
112,Dutch,Low,Right,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.079520704860832e-05
113,Dutch,Low,Left,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,9.269777212176101e-06
114,Dutch,Low,Right,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.2683349763838098e-05
115,Dutch,Low,Left,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.266401808542347e-06
116,Dutch,Low,Right,sub-021,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,4.521254508962057e-06
