,Language,Word Entropy,hemisphere,subject,model,accuracy
49,French,High,Left,sub-003,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0001210113879767854
50,French,High,Right,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,7.710601109387311e-05
51,French,High,Left,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00010660676711109737
52,French,High,Right,sub-001,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00013881900185870296
53,French,High,Left,sub-001,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00012560922708121489
54,French,High,Right,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0001768770092245971
55,French,High,Left,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00018107469152370796
56,French,High,Right,sub-021,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0001462777878540918
57,French,High,Left,sub-021,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,7.738571281724642e-05
58,French,High,Right,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,6.550940210948587e-05
59,French,High,Left,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,6.271856333839003e-05
60,French,High,Right,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0001294013872123713
61,French,High,Left,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,7.532451216936455e-05
62,French,High,Right,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,6.299734351198388e-05
63,French,High,Left,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00011974954192420352
64,French,High,Right,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00015019770322899617
65,French,High,Left,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00015937136800664678
66,French,High,Right,sub-023,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00015550702443255221
67,French,High,Left,sub-023,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00016681853721320673
68,French,High,Right,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00025026555406462795
69,French,High,Left,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00010642418293057082
70,French,High,Right,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00025506810082495175
71,French,High,Left,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,6.540129371213485e-05
72,French,High,Right,sub-025,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0003084331391037136
73,French,High,Left,sub-025,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0007134170251921936
74,French,High,Right,sub-028,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00019009980639620128
75,French,High,Left,sub-028,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,6.749548858202082e-05
76,French,High,Right,sub-027,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-3.468516898626998e-06
77,French,High,Left,sub-027,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.284632066007059e-06
78,French,High,Right,sub-014,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0003023330798354513
79,French,High,Left,sub-014,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00038536612574171424
80,French,High,Right,sub-026,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0002097170793622167
81,French,High,Left,sub-026,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00014240796963632294
82,French,High,Right,sub-029,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00015004355281900917
83,French,High,Left,sub-029,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0001545447153151835
84,French,High,Right,sub-033,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0001697048632434034
85,French,High,Left,sub-033,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0001579855032136728
86,French,High,Right,sub-015,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.5993650241757483e-05
87,French,High,Left,sub-015,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,8.126809940638224e-05
88,French,High,Right,sub-017,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0007254935806859942
89,French,High,Left,sub-017,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0001612328427498031
90,French,High,Right,sub-032,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0004037110743770535
91,French,High,Left,sub-032,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0003318285410478812
92,French,High,Right,sub-030,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0003493076631404579
93,French,High,Left,sub-030,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0001725922275517367
94,French,High,Right,sub-013,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00024138688470641987
95,French,High,Left,sub-013,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,3.578993372535281e-05
96,Dutch,Low,Right,sub-003,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-3.14041882112264e-07
97,Dutch,Low,Left,sub-003,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.646212986909561e-05
98,Dutch,Low,Right,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.389024255538889e-05
99,Dutch,Low,Left,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,4.099231315369981e-05
100,Dutch,Low,Right,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,9.963432629149471e-05
101,Dutch,Low,Left,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.8686034728174884e-05
