,Language,hemisphere,subject,model,accuracy
98,French,left,sub-004,acoustic+phonemes+surprisal,0.0015720764663572457
99,French,right,sub-004,acoustic+phonemes+surprisal,0.0022969310856920705
100,French,left,sub-018,acoustic+phonemes+surprisal,0.0010462904963474144
101,French,right,sub-018,acoustic+phonemes+surprisal,0.0011333200584961458
102,French,left,sub-014,acoustic+phonemes+surprisal,0.004005347849280007
103,French,right,sub-014,acoustic+phonemes+surprisal,0.004164376598330074
104,French,left,sub-019,acoustic+phonemes+surprisal,0.0020793319587673895
105,French,right,sub-019,acoustic+phonemes+surprisal,0.0016221381869595984
106,French,left,sub-021,acoustic+phonemes+surprisal,0.0019462280389301832
107,French,right,sub-021,acoustic+phonemes+surprisal,0.001988618049192609
108,French,left,sub-015,acoustic+phonemes+surprisal,0.0013980192318456802
109,French,right,sub-015,acoustic+phonemes+surprisal,0.0004658850579267135
110,French,left,sub-020,acoustic+phonemes+surprisal,0.0008811357999523236
111,French,right,sub-020,acoustic+phonemes+surprisal,0.0006331273262403905
112,French,left,sub-003,acoustic+phonemes+surprisal,0.0012015676700697243
113,French,right,sub-003,acoustic+phonemes+surprisal,0.000955962102010647
114,French,left,sub-033,acoustic+phonemes+surprisal,0.001966893438945545
115,French,right,sub-033,acoustic+phonemes+surprisal,0.002221889543931103
116,French,left,sub-009,acoustic+phonemes+surprisal,0.0016391319004191896
117,French,right,sub-009,acoustic+phonemes+surprisal,0.0016959259819135286
118,French,left,sub-029,acoustic+phonemes+surprisal,0.002218229046358745
119,French,right,sub-029,acoustic+phonemes+surprisal,0.00209159722512802
120,French,left,sub-008,acoustic+phonemes+surprisal,0.0014875910484729552
121,French,right,sub-008,acoustic+phonemes+surprisal,0.004115278467128565
122,French,left,sub-030,acoustic+phonemes+surprisal,0.0025004477011183563
123,French,right,sub-030,acoustic+phonemes+surprisal,0.0042323918433641305
124,French,left,sub-010,acoustic+phonemes+surprisal,0.00153470593154303
125,French,right,sub-010,acoustic+phonemes+surprisal,0.0021012893048886214
126,French,left,sub-013,acoustic+phonemes+surprisal,0.0006275856710852671
127,French,right,sub-013,acoustic+phonemes+surprisal,0.0018382989576856744
128,French,left,sub-026,acoustic+phonemes+surprisal,0.0021511176054674415
129,French,right,sub-026,acoustic+phonemes+surprisal,0.0024484143004740834
130,French,left,sub-017,acoustic+phonemes+surprisal,0.0020852949903728784
131,French,right,sub-017,acoustic+phonemes+surprisal,0.0054455852580542604
132,French,left,sub-027,acoustic+phonemes+surprisal,0.0008330249747751387
133,French,right,sub-027,acoustic+phonemes+surprisal,0.0009773420861717062
134,French,left,sub-032,acoustic+phonemes+surprisal,0.0021621176793442604
135,French,right,sub-032,acoustic+phonemes+surprisal,0.00345911411670979
136,French,left,sub-011,acoustic+phonemes+surprisal,0.0017609488041863415
137,French,right,sub-011,acoustic+phonemes+surprisal,0.0016333718294373105
138,French,left,sub-025,acoustic+phonemes+surprisal,0.005754103320184131
139,French,right,sub-025,acoustic+phonemes+surprisal,0.003438504479103174
140,French,left,sub-028,acoustic+phonemes+surprisal,0.0013508801785915823
141,French,right,sub-028,acoustic+phonemes+surprisal,0.0018030921306314593
142,French,left,sub-023,acoustic+phonemes+surprisal,0.0022325918293948565
143,French,right,sub-023,acoustic+phonemes+surprisal,0.0013482623592879226
144,French,left,sub-001,acoustic+phonemes+surprisal+entropy,0.0022194804703502243
145,French,right,sub-001,acoustic+phonemes+surprisal+entropy,0.002375296449511132
146,French,left,sub-004,acoustic+phonemes+surprisal+entropy,0.001586960445149768
147,French,right,sub-004,acoustic+phonemes+surprisal+entropy,0.0023000515937920208
148,French,left,sub-018,acoustic+phonemes+surprisal+entropy,0.0010488994980342088
149,French,right,sub-018,acoustic+phonemes+surprisal+entropy,0.0011331160563115724
150,French,left,sub-014,acoustic+phonemes+surprisal+entropy,0.004016242589274436
151,French,right,sub-014,acoustic+phonemes+surprisal+entropy,0.004165603676602695
152,French,left,sub-019,acoustic+phonemes+surprisal+entropy,0.0020782637322379815
153,French,right,sub-019,acoustic+phonemes+surprisal+entropy,0.0016272944972991871
154,French,left,sub-021,acoustic+phonemes+surprisal+entropy,0.0019520418078319197
155,French,right,sub-021,acoustic+phonemes+surprisal+entropy,0.00199532469137747
156,French,left,sub-015,acoustic+phonemes+surprisal+entropy,0.0013905328831814532
157,French,right,sub-015,acoustic+phonemes+surprisal+entropy,0.0004596510150569471
158,French,left,sub-020,acoustic+phonemes+surprisal+entropy,0.0008841715645755893
159,French,right,sub-020,acoustic+phonemes+surprisal+entropy,0.0006273702723347194
160,French,left,sub-003,acoustic+phonemes+surprisal+entropy,0.001196069403796534
161,French,right,sub-003,acoustic+phonemes+surprisal+entropy,0.0009560556648098099
162,French,left,sub-033,acoustic+phonemes+surprisal+entropy,0.001965758246244512
163,French,right,sub-033,acoustic+phonemes+surprisal+entropy,0.0022172961452934094
164,French,left,sub-009,acoustic+phonemes+surprisal+entropy,0.0016570435110527591
165,French,right,sub-009,acoustic+phonemes+surprisal+entropy,0.0017199201087915311
166,French,left,sub-029,acoustic+phonemes+surprisal+entropy,0.0022198602177993963
167,French,right,sub-029,acoustic+phonemes+surprisal+entropy,0.002100384723138568
168,French,left,sub-008,acoustic+phonemes+surprisal+entropy,0.001497994868088628
169,French,right,sub-008,acoustic+phonemes+surprisal+entropy,0.00412015030977553
170,French,left,sub-030,acoustic+phonemes+surprisal+entropy,0.002509113603049171
171,French,right,sub-030,acoustic+phonemes+surprisal+entropy,0.0042275498502110905
172,French,left,sub-010,acoustic+phonemes+surprisal+entropy,0.0015277164965428248
173,French,right,sub-010,acoustic+phonemes+surprisal+entropy,0.0020949035630186213
