,Language,Word Entropy,hemisphere,subject,model,accuracy
49,French,High,Left,sub-003,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.953024171032224e-05
50,French,High,Right,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.7950795919901284e-05
51,French,High,Left,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.7301189478885536e-05
52,French,High,Right,sub-001,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-7.4683184572614025e-06
53,French,High,Left,sub-001,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.705851175479599e-06
54,French,High,Right,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.8627017882178868e-06
55,French,High,Left,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,6.2540381994517455e-06
56,French,High,Right,sub-021,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-8.39024717658535e-06
57,French,High,Left,sub-021,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-3.064468365422511e-06
58,French,High,Right,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,8.363344912012128e-06
59,French,High,Left,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.1846825553482507e-05
60,French,High,Right,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-6.520169011738643e-06
61,French,High,Left,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.5221737877747902e-05
62,French,High,Right,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-6.120335785221103e-06
63,French,High,Left,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.6479193036661213e-05
64,French,High,Right,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-3.3764540459552133e-06
65,French,High,Left,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-3.872880563410585e-06
66,French,High,Right,sub-023,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.380541459430701e-05
67,French,High,Left,sub-023,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-3.9882934315811205e-06
68,French,High,Right,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.4238193767355615e-05
69,French,High,Left,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.807828199982604e-05
70,French,High,Right,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.951578002849282e-05
71,French,High,Left,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-4.5377176328140565e-06
72,French,High,Right,sub-025,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,9.370397067067922e-06
73,French,High,Left,sub-025,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.358644858218536e-05
74,French,High,Right,sub-028,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.7947091872043565e-05
75,French,High,Left,sub-028,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-9.329909176923299e-06
76,French,High,Right,sub-027,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-8.987477546454158e-06
77,French,High,Left,sub-027,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-8.236629813646657e-06
78,French,High,Right,sub-014,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.3043679212063735e-05
79,French,High,Left,sub-014,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,4.443235912953927e-06
80,French,High,Right,sub-026,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,3.5549846140174554e-06
81,French,High,Left,sub-026,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,8.995643731750057e-06
82,French,High,Right,sub-029,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-6.798187014705121e-06
83,French,High,Left,sub-029,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-6.314417214939341e-06
84,French,High,Right,sub-033,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-9.561748978649482e-06
85,French,High,Left,sub-033,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.2188723664276971e-05
86,French,High,Right,sub-015,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.8999394887676803e-05
87,French,High,Left,sub-015,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.6086923153296517e-05
88,French,High,Right,sub-017,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,9.115850480661288e-05
89,French,High,Left,sub-017,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.4611577326158367e-05
90,French,High,Right,sub-032,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.2835667988250744e-05
91,French,High,Left,sub-032,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,4.328915434314755e-06
92,French,High,Right,sub-030,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-6.4592714614778094e-06
93,French,High,Left,sub-030,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-5.6282251410956e-06
94,French,High,Right,sub-013,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.9651512643360307e-05
95,French,High,Left,sub-013,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.8956838707586853e-05
96,Dutch,Low,Right,sub-003,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-5.263779897898944e-06
97,Dutch,Low,Left,sub-003,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,7.234347623935464e-06
98,Dutch,Low,Right,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,3.3284626860723903e-06
99,Dutch,Low,Left,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.2947675365104637e-05
100,Dutch,Low,Right,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,4.810719594124228e-05
101,Dutch,Low,Left,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.9372326877034947e-05
102,Dutch,Low,Right,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,4.030795154262075e-05
103,Dutch,Low,Left,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.612031969584078e-05
104,Dutch,Low,Right,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-4.7492209515874754e-06
105,Dutch,Low,Left,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,9.729717736430254e-06
106,Dutch,Low,Right,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-6.213802593829523e-06
107,Dutch,Low,Left,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,9.767376926632154e-05
108,Dutch,Low,Right,sub-014,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,9.351596212334992e-05
109,Dutch,Low,Left,sub-014,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.00010201181785134539
110,Dutch,Low,Right,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.9949871432346812e-05
111,Dutch,Low,Left,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.1179640578418602e-05
112,Dutch,Low,Right,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.4228888351428428e-05
113,Dutch,Low,Left,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.982060654645246e-05
114,Dutch,Low,Right,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.3525613495733794e-05
115,Dutch,Low,Left,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.2736997573318604e-05
116,Dutch,Low,Right,sub-021,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.211513309972174e-06
117,Dutch,Low,Left,sub-021,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.0215886890753026e-05
118,Dutch,Low,Right,sub-023,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,8.065229524032674e-06
119,Dutch,Low,Left,sub-023,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.767245578664823e-05
120,Dutch,Low,Right,sub-025,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,7.202625110550258e-05
121,Dutch,Low,Left,sub-025,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0001228981289083129
122,Dutch,Low,Right,sub-027,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.2005651122853352e-05
123,Dutch,Low,Left,sub-027,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.2182499276050912e-05
124,Dutch,Low,Right,sub-028,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.2023409652864268e-05
125,Dutch,Low,Left,sub-028,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.652017864079396e-05
126,Dutch,Low,Right,sub-017,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,0.0002236586704872696
127,Dutch,Low,Left,sub-017,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,6.244525604718578e-05
128,Dutch,Low,Right,sub-001,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,1.4142609458611782e-05
129,Dutch,Low,Left,sub-001,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,3.0394771319018703e-05
130,Dutch,Low,Right,sub-026,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-9.680771444874793e-06
131,Dutch,Low,Left,sub-026,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.6181022028287898e-05
