,Language,subject,model,accuracy
91,French,sub-015,acoustic+phonemes+surprisal+entropy,0.0009250919491192002
92,French,sub-017,acoustic+phonemes+surprisal+entropy,0.003860536574678947
93,French,sub-032,acoustic+phonemes+surprisal+entropy,0.0028224584214852884
94,French,sub-030,acoustic+phonemes+surprisal+entropy,0.0033683317266301306
95,French,sub-013,acoustic+phonemes+surprisal+entropy,0.0012296345402963667
96,French,sub-003,acoustic+phonemes+surprisal+entropy+freq,0.0010634722886781237
97,French,sub-020,acoustic+phonemes+surprisal+entropy+freq,0.0007428632314009074
98,French,sub-001,acoustic+phonemes+surprisal+entropy+freq,0.0022776230051422606
99,French,sub-004,acoustic+phonemes+surprisal+entropy+freq,0.0019351184340406806
100,French,sub-021,acoustic+phonemes+surprisal+entropy+freq,0.001984716862722725
101,French,sub-009,acoustic+phonemes+surprisal+entropy+freq,0.0016723589036559874
102,French,sub-011,acoustic+phonemes+surprisal+entropy+freq,0.0017115822838288657
103,French,sub-018,acoustic+phonemes+surprisal+entropy+freq,0.0010981261439696787
104,French,sub-019,acoustic+phonemes+surprisal+entropy+freq,0.0018274439666495963
105,French,sub-023,acoustic+phonemes+surprisal+entropy+freq,0.0017570939611272899
106,French,sub-010,acoustic+phonemes+surprisal+entropy+freq,0.0017864903598056028
107,French,sub-008,acoustic+phonemes+surprisal+entropy+freq,0.0028209297403316005
108,French,sub-025,acoustic+phonemes+surprisal+entropy+freq,0.0046500418602168185
109,French,sub-028,acoustic+phonemes+surprisal+entropy+freq,0.0015504244770580254
110,French,sub-027,acoustic+phonemes+surprisal+entropy+freq,0.0009022673571615009
111,French,sub-014,acoustic+phonemes+surprisal+entropy+freq,0.004077653865486508
112,French,sub-026,acoustic+phonemes+surprisal+entropy+freq,0.002295768032805059
113,French,sub-029,acoustic+phonemes+surprisal+entropy+freq,0.002156523405862372
114,French,sub-033,acoustic+phonemes+surprisal+entropy+freq,0.0020722868222103215
115,French,sub-015,acoustic+phonemes+surprisal+entropy+freq,0.0008996285856531476
116,French,sub-017,acoustic+phonemes+surprisal+entropy+freq,0.003869852459633968
117,French,sub-032,acoustic+phonemes+surprisal+entropy+freq,0.002798029670232859
118,French,sub-030,acoustic+phonemes+surprisal+entropy+freq,0.003358210887019702
119,French,sub-013,acoustic+phonemes+surprisal+entropy+freq,0.001222145512265374
120,Dutch,sub-003,acoustic,0.0010924460978616198
121,Dutch,sub-004,acoustic,0.0020553265038338133
122,Dutch,sub-008,acoustic,0.0024100881702597823
123,Dutch,sub-009,acoustic,0.0017239822949302792
124,Dutch,sub-010,acoustic,0.0021235621209006305
125,Dutch,sub-011,acoustic,0.002378102031430911
126,Dutch,sub-014,acoustic,0.0041741562241121785
127,Dutch,sub-018,acoustic,0.00127540446725284
128,Dutch,sub-019,acoustic,0.0017347179898338254
129,Dutch,sub-020,acoustic,0.0006628408173390251
130,Dutch,sub-021,acoustic,0.0018863284903725798
131,Dutch,sub-023,acoustic,0.001788801861579272
132,Dutch,sub-025,acoustic,0.0030486931584656923
133,Dutch,sub-027,acoustic,0.0015681904368351949
134,Dutch,sub-028,acoustic,0.00150916406534264
135,Dutch,sub-017,acoustic,0.003710379899588192
136,Dutch,sub-001,acoustic,0.001721233712607219
137,Dutch,sub-026,acoustic,0.0017209493907394775
138,Dutch,sub-029,acoustic,0.002169187827766068
139,Dutch,sub-033,acoustic,0.002105085919098022
140,Dutch,sub-030,acoustic,0.002634367184958494
141,Dutch,sub-032,acoustic,0.0026266668300223236
142,Dutch,sub-013,acoustic,0.0017701193178532235
143,Dutch,sub-015,acoustic,0.0006861639885784227
144,Dutch,sub-003,acoustic+phonemes,0.0011470858883543052
145,Dutch,sub-004,acoustic+phonemes,0.0021442342755907708
146,Dutch,sub-008,acoustic+phonemes,0.0024993006574079513
147,Dutch,sub-009,acoustic+phonemes,0.0018045382883421105
148,Dutch,sub-010,acoustic+phonemes,0.002170419586120238
149,Dutch,sub-011,acoustic+phonemes,0.0025115864973015182
150,Dutch,sub-014,acoustic+phonemes,0.004351462266483204
151,Dutch,sub-018,acoustic+phonemes,0.0013366691433880384
152,Dutch,sub-019,acoustic+phonemes,0.0018184599942396794
153,Dutch,sub-020,acoustic+phonemes,0.0007021117869762736
154,Dutch,sub-021,acoustic+phonemes,0.0019558812584179863
155,Dutch,sub-023,acoustic+phonemes,0.0018634288978951106
156,Dutch,sub-025,acoustic+phonemes,0.0032054899658678303
157,Dutch,sub-027,acoustic+phonemes,0.0016294312935301403
158,Dutch,sub-028,acoustic+phonemes,0.0015369429654214257
159,Dutch,sub-017,acoustic+phonemes,0.0039034460797383722
160,Dutch,sub-001,acoustic+phonemes,0.0017979772078016531
161,Dutch,sub-026,acoustic+phonemes,0.0017466659305173044
162,Dutch,sub-029,acoustic+phonemes,0.0022894514750754517
163,Dutch,sub-033,acoustic+phonemes,0.002163002278985044
164,Dutch,sub-030,acoustic+phonemes,0.002692848072899684
165,Dutch,sub-032,acoustic+phonemes,0.0027422641767136107
166,Dutch,sub-013,acoustic+phonemes,0.0018041226382411566
167,Dutch,sub-015,acoustic+phonemes,0.0007205698709702947
168,Dutch,sub-003,acoustic+phonemes+surprisal,0.0011609917141728804
169,Dutch,sub-004,acoustic+phonemes+surprisal,0.0021629475459244477
170,Dutch,sub-008,acoustic+phonemes+surprisal,0.00251842159396159
171,Dutch,sub-009,acoustic+phonemes+surprisal,0.0018219433898336137
172,Dutch,sub-010,acoustic+phonemes+surprisal,0.002176189482924774
173,Dutch,sub-011,acoustic+phonemes+surprisal,0.002546791681766602
174,Dutch,sub-014,acoustic+phonemes+surprisal,0.00438430713173991
175,Dutch,sub-018,acoustic+phonemes+surprisal,0.0013562788397145796
176,Dutch,sub-019,acoustic+phonemes+surprisal,0.0018483177737325042
177,Dutch,sub-020,acoustic+phonemes+surprisal,0.0007098531924651754
178,Dutch,sub-021,acoustic+phonemes+surprisal,0.0019691368790831824
179,Dutch,sub-023,acoustic+phonemes+surprisal,0.0018796414800102746
180,Dutch,sub-025,acoustic+phonemes+surprisal,0.003233400509359022
181,Dutch,sub-027,acoustic+phonemes+surprisal,0.0016466833543422638
182,Dutch,sub-028,acoustic+phonemes+surprisal,0.0015451835165697816
183,Dutch,sub-017,acoustic+phonemes+surprisal,0.003935035481258421
184,Dutch,sub-001,acoustic+phonemes+surprisal,0.0018252463864875596
185,Dutch,sub-026,acoustic+phonemes+surprisal,0.0017509272804848096
186,Dutch,sub-029,acoustic+phonemes+surprisal,0.0023151475374897134
187,Dutch,sub-033,acoustic+phonemes+surprisal,0.0021772412216897073
188,Dutch,sub-030,acoustic+phonemes+surprisal,0.0027150318721978653
189,Dutch,sub-032,acoustic+phonemes+surprisal,0.0027874987979413933
190,Dutch,sub-013,acoustic+phonemes+surprisal,0.0018151126088256399
191,Dutch,sub-015,acoustic+phonemes+surprisal,0.000734508615651345
192,Dutch,sub-003,acoustic+phonemes+surprisal+entropy,0.0011956804785002392
193,Dutch,sub-004,acoustic+phonemes+surprisal+entropy,0.0021899080594575313
194,Dutch,sub-008,acoustic+phonemes+surprisal+entropy,0.0025729544597133534
195,Dutch,sub-009,acoustic+phonemes+surprisal+entropy,0.0018966475512250274
196,Dutch,sub-010,acoustic+phonemes+surprisal+entropy,0.0022167052429903564
197,Dutch,sub-011,acoustic+phonemes+surprisal+entropy,0.002679353313169615
198,Dutch,sub-014,acoustic+phonemes+surprisal+entropy,0.004486613281629812
199,Dutch,sub-018,acoustic+phonemes+surprisal+entropy,0.0014043284771717173
