phonemes,phoneme_onset,phoneme_offset,words,word_onset,word_offset
h,0.15,0.18,hij,0.15,0.29
Ei,0.18,0.29,hij,0.15,0.29
h,0.29,0.34,hoopte,0.29,0.73
o:,0.34,0.55,hoopte,0.29,0.73
p,0.55,0.59,hoopte,0.29,0.73
t,0.59,0.64,hoopte,0.29,0.73
@,0.64,0.73,hoopte,0.29,0.73
t,0.73,0.79,dat,0.73,0.88
A,0.79,0.85,dat,0.73,0.88
t,0.85,0.88,dat,0.73,0.88
s,0.88,0.96,zijn,0.88,1.04
Ei,0.96,1.04,zijn,0.88,1.04
x,1.04,1.14,gelukszon,1.04,1.62
@,1.14,1.17,gelukszon,1.04,1.62
l,1.17,1.25,gelukszon,1.04,1.62
Y,1.25,1.29,gelukszon,1.04,1.62
k,1.29,1.37,gelukszon,1.04,1.62
s,1.37,1.45,gelukszon,1.04,1.62
O,1.45,1.55,gelukszon,1.04,1.62
n,1.55,1.62,gelukszon,1.04,1.62
n,1.62,1.65,nog,1.62,1.73
O,1.65,1.69,nog,1.62,1.73
G,1.69,1.73,nog,1.62,1.73
k,1.73,1.84,klaarder,1.73,2.12
l,1.84,1.88,klaarder,1.73,2.12
a:,1.88,2.01,klaarder,1.73,2.12
r,2.01,2.05,klaarder,1.73,2.12
d,2.05,2.09,klaarder,1.73,2.12
@,2.09,2.12,klaarder,1.73,2.12
z,2.12,2.2,zou,2.12,2.28
Au,2.2,2.28,zou,2.12,2.28
x,2.28,2.35,gaan,2.28,2.42
a:,2.35,2.39,gaan,2.28,2.42
n,2.39,2.42,gaan,2.28,2.42
s,2.42,2.5,schijnen,2.42,2.87
x,2.5,2.58,schijnen,2.42,2.87
Ei,2.58,2.76,schijnen,2.42,2.87
n,2.76,2.82,schijnen,2.42,2.87
@,2.82,2.87,schijnen,2.42,2.87
t,4.04,4.09,Tegen,4.04,4.26
e:,4.09,4.18,Tegen,4.04,4.26
G,4.18,4.23,Tegen,4.04,4.26
@,4.23,4.26,Tegen,4.04,4.26
z,4.26,4.33,zonsondergang,4.26,5.06
O,4.33,4.38,zonsondergang,4.26,5.06
n,4.38,4.41,zonsondergang,4.26,5.06
s,4.41,4.48,zonsondergang,4.26,5.06
O,4.48,4.63,zonsondergang,4.26,5.06
n,4.63,4.69,zonsondergang,4.26,5.06
@,4.69,4.72,zonsondergang,4.26,5.06
G,4.72,4.84,zonsondergang,4.26,5.06
A,4.84,4.9,zonsondergang,4.26,5.06
N,4.9,5.06,zonsondergang,4.26,5.06
