,Language,Word Entropy,hemisphere,model,time,subject,accuracy
77,French,Low,Left,Entropy,0,sub-019,-3.4789233824973152e-06
78,French,Low,Right,Phoneme_onset,0,sub-020,-7.174897870734314e-07
79,French,Low,Left,Phoneme_onset,0,sub-020,8.977828205114937e-08
80,French,Low,Right,Surprisal,0,sub-020,-3.0249416137490233e-06
81,French,Low,Left,Surprisal,0,sub-020,-1.8978097813116125e-06
82,French,Low,Right,Entropy,0,sub-020,-5.593768142053638e-06
83,French,Low,Left,Entropy,0,sub-020,-6.118615689007175e-06
84,French,Low,Right,Phoneme_onset,0,sub-021,-2.038156712618324e-06
85,French,Low,Left,Phoneme_onset,0,sub-021,-2.639430949448466e-07
86,French,Low,Right,Surprisal,0,sub-021,-4.63770490798543e-06
87,French,Low,Left,Surprisal,0,sub-021,-3.893658425884854e-06
88,French,Low,Right,Entropy,0,sub-021,-5.725648583231061e-06
89,French,Low,Left,Entropy,0,sub-021,-6.953230021148522e-06
90,French,Low,Right,Phoneme_onset,0,sub-023,2.003559441812069e-06
91,French,Low,Left,Phoneme_onset,0,sub-023,8.15948138450013e-06
92,French,Low,Right,Surprisal,0,sub-023,-3.4661136085147944e-06
93,French,Low,Left,Surprisal,0,sub-023,-3.908193869590048e-06
94,French,Low,Right,Entropy,0,sub-023,-6.51769753299487e-06
95,French,Low,Left,Entropy,0,sub-023,-6.351791772973222e-06
96,French,Low,Right,Phoneme_onset,0,sub-025,-2.2332381469621416e-07
97,French,Low,Left,Phoneme_onset,0,sub-025,4.3214228396130577e-07
98,French,Low,Right,Surprisal,0,sub-025,-2.1687588417947485e-06
99,French,Low,Left,Surprisal,0,sub-025,9.470335356490683e-07
100,French,Low,Right,Entropy,0,sub-025,-9.652026196508086e-06
101,French,Low,Left,Entropy,0,sub-025,-9.171673743983893e-06
102,French,Low,Right,Phoneme_onset,0,sub-026,-1.4404376467719422e-06
103,French,Low,Left,Phoneme_onset,0,sub-026,-1.3280420654998151e-06
104,French,Low,Right,Surprisal,0,sub-026,-3.014290523393109e-06
105,French,Low,Left,Surprisal,0,sub-026,-2.5102550010476156e-06
106,French,Low,Right,Entropy,0,sub-026,-7.346793681354661e-06
107,French,Low,Left,Entropy,0,sub-026,-4.658323800685466e-06
108,French,Low,Right,Phoneme_onset,0,sub-027,-1.4173078817931922e-06
109,French,Low,Left,Phoneme_onset,0,sub-027,-2.569151483463654e-06
110,French,Low,Right,Surprisal,0,sub-027,-2.5740230299662057e-06
111,French,Low,Left,Surprisal,0,sub-027,-2.4986874680803764e-06
112,French,Low,Right,Entropy,0,sub-027,-6.633071324289009e-06
113,French,Low,Left,Entropy,0,sub-027,-9.236843957694433e-06
114,French,Low,Right,Phoneme_onset,0,sub-028,-2.6720316853796936e-06
