,Language,subject,model,accuracy
90,French,sub-027,acoustic+phonemes+surprisal+entropy,0.0009258362655317444
91,French,sub-032,acoustic+phonemes+surprisal+entropy,0.00204985180896856
92,French,sub-011,acoustic+phonemes+surprisal+entropy,0.001495716359265139
93,French,sub-025,acoustic+phonemes+surprisal+entropy,0.004919246512731442
94,French,sub-028,acoustic+phonemes+surprisal+entropy,0.0012784549975493019
95,French,sub-023,acoustic+phonemes+surprisal+entropy,0.0014961931215931841
96,French,sub-001,acoustic+phonemes+surprisal+entropy+freq,0.0016442030474638058
97,French,sub-004,acoustic+phonemes+surprisal+entropy+freq,0.0016435657753517993
98,French,sub-018,acoustic+phonemes+surprisal+entropy+freq,0.0009583725148307177
99,French,sub-014,acoustic+phonemes+surprisal+entropy+freq,0.003945834916005071
100,French,sub-019,acoustic+phonemes+surprisal+entropy+freq,0.0015285152652254645
101,French,sub-021,acoustic+phonemes+surprisal+entropy+freq,0.0017345281772356118
102,French,sub-015,acoustic+phonemes+surprisal+entropy+freq,0.0007460234485261075
103,French,sub-020,acoustic+phonemes+surprisal+entropy+freq,0.0008279707264253601
104,French,sub-003,acoustic+phonemes+surprisal+entropy+freq,0.0006130581982623823
105,French,sub-033,acoustic+phonemes+surprisal+entropy+freq,0.0017716450622184453
106,French,sub-009,acoustic+phonemes+surprisal+entropy+freq,0.0012552560593952057
107,French,sub-029,acoustic+phonemes+surprisal+entropy+freq,0.001797622899096941
108,French,sub-008,acoustic+phonemes+surprisal+entropy+freq,0.0025236362624216553
109,French,sub-030,acoustic+phonemes+surprisal+entropy+freq,0.0026134263314626215
110,French,sub-010,acoustic+phonemes+surprisal+entropy+freq,0.0013834017852942418
111,French,sub-013,acoustic+phonemes+surprisal+entropy+freq,0.0016923473433190911
112,French,sub-026,acoustic+phonemes+surprisal+entropy+freq,0.0018756603238801392
113,French,sub-017,acoustic+phonemes+surprisal+entropy+freq,0.0029749880180090886
114,French,sub-027,acoustic+phonemes+surprisal+entropy+freq,0.0009030100922806086
115,French,sub-032,acoustic+phonemes+surprisal+entropy+freq,0.0020437479051885216
116,French,sub-011,acoustic+phonemes+surprisal+entropy+freq,0.001481162441212987
117,French,sub-025,acoustic+phonemes+surprisal+entropy+freq,0.004894868424225564
118,French,sub-028,acoustic+phonemes+surprisal+entropy+freq,0.001238815993427306
119,French,sub-023,acoustic+phonemes+surprisal+entropy+freq,0.0014516706557165591
120,Dutch,sub-009,acoustic,0.0025245703205002638
121,Dutch,sub-011,acoustic,0.0031252153762514126
122,Dutch,sub-017,acoustic,0.0056758532427331285
123,Dutch,sub-023,acoustic,0.0022590701306264786
