,Language,subject,model,accuracy
76,French,sub-019,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0015283096860512512
77,French,sub-021,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0019623770898496967
78,French,sub-015,first_2_parts_acoustic+phonemes+surprisal+entropy,0.001222193337657584
79,French,sub-020,first_2_parts_acoustic+phonemes+surprisal+entropy,0.000449393004224021
80,French,sub-003,first_2_parts_acoustic+phonemes+surprisal+entropy,0.001252216601409423
81,French,sub-033,first_2_parts_acoustic+phonemes+surprisal+entropy,0.001966662790234033
82,French,sub-009,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0018961243051866187
83,French,sub-029,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0021796967671609247
84,French,sub-008,first_2_parts_acoustic+phonemes+surprisal+entropy,0.002979578504175728
85,French,sub-030,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0039318581833052355
86,French,sub-010,first_2_parts_acoustic+phonemes+surprisal+entropy,0.002356851165722741
87,French,sub-013,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0008247585735494555
88,French,sub-026,first_2_parts_acoustic+phonemes+surprisal+entropy,0.002984213595031076
89,French,sub-017,first_2_parts_acoustic+phonemes+surprisal+entropy,0.004979350104837368
90,French,sub-027,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0009826654768601382
91,French,sub-032,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0038186508565339334
92,French,sub-011,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0016478858425538713
93,French,sub-025,first_2_parts_acoustic+phonemes+surprisal+entropy,0.00443351075441808
94,French,sub-028,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0021558742519370696
95,French,sub-023,first_2_parts_acoustic+phonemes+surprisal+entropy,0.0017870412938832854
96,French,sub-001,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.002795739132845418
97,French,sub-004,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0020643418827451573
98,French,sub-018,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0007425772777869411
99,French,sub-014,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.004060636930203916
100,French,sub-019,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.001502857845383313
101,French,sub-021,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0019733107634264226
102,French,sub-015,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.001170131049375665
103,French,sub-020,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0003933381479536384
104,French,sub-003,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0012621885121550046
105,French,sub-033,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0019514460560303662
106,French,sub-009,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0018662341927431169
107,French,sub-029,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0021742201491391656
108,French,sub-008,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0029622335733028005
109,French,sub-030,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.003905026336852525
110,French,sub-010,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.002336583361441742
111,French,sub-013,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0008113685970326894
112,French,sub-026,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.00294756712674573
113,French,sub-017,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.004953937255027605
114,French,sub-027,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0009507220647725293
115,French,sub-032,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0037665645772351343
116,French,sub-011,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.0016262394227518247
117,French,sub-025,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.004412039956784793
118,French,sub-028,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.002085625496862172
119,French,sub-023,first_2_parts_acoustic+phonemes+surprisal+entropy+freq,0.001727911710933367
120,Dutch,sub-009,first_2_parts_acoustic,0.0025245703205002638
121,Dutch,sub-011,first_2_parts_acoustic,0.0031252153762514126
122,Dutch,sub-017,first_2_parts_acoustic,0.0056758532427331285
123,Dutch,sub-023,first_2_parts_acoustic,0.0022590701306264786
124,Dutch,sub-018,first_2_parts_acoustic,0.0017986597749133951
125,Dutch,sub-029,first_2_parts_acoustic,0.00305970739787073
126,Dutch,sub-025,first_2_parts_acoustic,0.003960714858521933
127,Dutch,sub-033,first_2_parts_acoustic,0.0028571278109185117
128,Dutch,sub-001,first_2_parts_acoustic,0.0023307438988945483
129,Dutch,sub-010,first_2_parts_acoustic,0.002286721972528125
130,Dutch,sub-015,first_2_parts_acoustic,0.002301269166440006
131,Dutch,sub-019,first_2_parts_acoustic,0.0026208137636006597
132,Dutch,sub-004,first_2_parts_acoustic,0.00333613802657868
133,Dutch,sub-028,first_2_parts_acoustic,0.0022326144089629338
134,Dutch,sub-013,first_2_parts_acoustic,0.0011761992969578697
135,Dutch,sub-020,first_2_parts_acoustic,0.0010660145501449998
136,Dutch,sub-003,first_2_parts_acoustic,0.0016702996291845915
137,Dutch,sub-026,first_2_parts_acoustic,0.0028079054737286564
138,Dutch,sub-030,first_2_parts_acoustic,0.0036681581931917945
139,Dutch,sub-008,first_2_parts_acoustic,0.0030004468166056567
140,Dutch,sub-014,first_2_parts_acoustic,0.006703066795857654
141,Dutch,sub-027,first_2_parts_acoustic,0.002086753436731301
142,Dutch,sub-032,first_2_parts_acoustic,0.004061476020149803
143,Dutch,sub-021,first_2_parts_acoustic,0.003421615949370999
144,Dutch,sub-009,first_2_parts_acoustic+phonemes,0.0025698389066956297
145,Dutch,sub-011,first_2_parts_acoustic+phonemes,0.0031798605127124424
146,Dutch,sub-017,first_2_parts_acoustic+phonemes,0.005833156505252925
147,Dutch,sub-023,first_2_parts_acoustic+phonemes,0.002283472569907871
148,Dutch,sub-018,first_2_parts_acoustic+phonemes,0.0018362965943161023
149,Dutch,sub-029,first_2_parts_acoustic+phonemes,0.0031349407044362287
150,Dutch,sub-025,first_2_parts_acoustic+phonemes,0.0040802814333031085
