,onset,offset,words
0,0.0,0.7,
1,0.7,0.92,Wacht
2,0.92,1.14,eens
3,1.14,1.55,
4,1.55,1.71,Zet
5,1.71,1.77,je
6,1.77,2.02,pooten
7,2.02,2.16,niet
8,2.16,2.26,zoo
9,2.26,2.78,binnenwaarts
10,2.78,3.2,
11,3.2,3.29,een
12,3.29,3.94,welopgevoed
13,3.94,4.27,eendje
14,4.27,4.49,
15,4.49,4.63,zet
16,4.63,4.78,zijn
17,4.78,4.83,
18,4.83,5.16,pooten
19,5.16,5.23,
20,5.23,5.85,buitenwaarts
21,5.85,6.22,
22,6.22,6.6,evenals
23,6.6,6.91,vader
24,6.91,6.94,en
25,6.94,7.22,moeder
26,7.22,7.42,doen
27,7.42,8.2,
28,8.2,8.37,Ziet
29,8.37,8.62,eens
30,8.62,8.84,
31,8.84,9.13,Zoo
32,9.13,9.73,
33,9.73,9.91,Buigt
34,9.91,9.98,
35,9.98,10.06,je
36,10.06,10.5,hals
37,10.5,10.59,nu
38,10.59,10.68,
39,10.68,10.79,en
40,10.79,10.98,zegt
41,10.98,11.37,
42,11.37,11.85,Kwak
43,11.85,13.0,
44,13.0,13.12,En
45,13.12,13.28,dat
46,13.28,13.55,deden
47,13.55,13.78,zij
48,13.78,14.38,
49,14.38,14.53,maar
50,14.53,14.56,de
51,14.56,14.89,andere
52,14.89,15.25,eenden
53,15.25,15.37,in
54,15.37,15.46,de
55,15.46,15.82,rondte
56,15.82,16.07,
57,16.07,16.49,bekeken
58,16.49,16.65,ze
59,16.65,16.92,
60,16.92,17.01,en
61,17.01,17.31,zeiden
62,17.31,17.55,tegen
63,17.55,17.88,elkaar
64,17.88,18.67,
65,18.67,18.98,Kijk
66,18.98,19.33,eens
67,19.33,19.77,
68,19.77,19.85,Nu
69,19.85,20.02,moeten
70,20.02,20.14,wij
71,20.14,20.27,nog
72,20.27,20.35,het
73,20.35,20.41,
74,20.41,20.86,aanhangsel
75,20.86,21.29,krijgen
76,21.29,21.51,
77,21.51,21.83,alsof
78,21.83,21.91,wij
79,21.91,22.01,al
80,22.01,22.15,niet
81,22.15,22.21,
82,22.21,22.65,talrijk
83,22.65,22.94,genoeg
84,22.94,23.3,waren
85,23.3,23.89,
86,23.89,24.1,En
87,24.1,24.73,foei
88,24.73,25.06,
89,25.06,25.2,wat
90,25.2,25.32,ziet
91,25.32,25.45,dat
92,25.45,25.56,
