,onset,offset,words
245,77.69,77.77,hem
246,77.77,77.89,niet
247,77.89,78.51,bedrogen
248,78.51,79.45,
249,79.45,79.57,Toen
250,79.57,79.73,hij
251,79.73,79.99,weêr
252,79.99,80.09,een
253,80.09,80.27,dag
254,80.27,80.72,geloopen
255,80.72,81.02,had
256,81.02,81.45,
257,81.45,81.61,kwam
258,81.61,81.69,hij
259,81.69,81.87,bij
260,81.87,81.96,een
261,81.96,82.21,derden
262,82.21,82.98,kolenbrander
263,82.98,83.38,
264,83.38,83.55,die
265,83.55,83.7,hem
266,83.7,83.9,als
267,83.9,84.0,de
268,84.0,84.61,vorigen
269,84.61,85.03,
270,85.03,85.16,op
271,85.16,85.55,droge
272,85.55,86.12,aardappelen
273,86.12,86.56,noodde
274,86.56,87.83,
275,87.83,88.02,Hij
276,88.02,88.23,liet
277,88.23,88.38,hem
278,88.38,88.66,weêr
279,88.66,88.77,van
280,88.77,88.9,zijn
281,88.9,88.95,
282,88.95,89.7,tooverkleedje
283,89.7,90.3,meêeten
284,90.3,90.76,
285,90.76,90.81,en
286,90.81,90.93,dat
287,90.93,91.32,smaakte
288,91.32,91.41,den
289,91.41,92.07,kolenbrander
290,92.07,92.42,zóó
291,92.42,92.76,goed
292,92.76,93.16,
293,93.16,93.37,dat
294,93.37,93.44,hij
295,93.44,93.57,hem
296,93.57,93.76,ten
297,93.76,94.26,laatste
298,94.26,94.49,
299,94.49,94.61,een
300,94.61,95.06,hoorntje
301,95.06,95.19,er
302,95.19,95.28,voor
303,95.28,95.85,aanbood
304,95.85,96.13,
305,96.13,96.28,dat
306,96.28,96.45,nog
307,96.45,96.73,heel
308,96.73,97.08,andere
309,97.08,97.69,eigenschappen
310,97.69,97.97,had
311,97.97,98.25,als
312,98.25,98.32,het
313,98.32,98.66,hoedje
314,98.66,99.87,
315,99.87,100.04,Als
316,100.04,100.15,men
317,100.15,100.21,er
318,100.21,100.32,op
319,100.32,100.37,
320,100.37,100.7,blies
321,100.7,101.08,
322,101.08,101.2,dan
323,101.2,101.63,vielen
324,101.63,101.69,
325,101.69,102.08,vele
326,102.08,102.43,muren
327,102.43,102.53,en
328,102.53,103.38,vestingwerken
329,103.38,103.75,
330,103.75,103.86,en
331,103.86,103.97,
332,103.97,104.36,eindelijk
333,104.36,104.42,
334,104.42,104.6,alle
335,104.6,104.98,steden
336,104.98,105.14,en
337,105.14,105.45,dorpen
338,105.45,105.58,in
339,105.58,105.68,
340,105.68,105.97,puin
341,105.97,106.86,
342,106.86,106.96,Hij
343,106.96,107.22,gaf
344,107.22,107.27,er
345,107.27,107.36,den
346,107.36,108.03,kolenbrander
347,108.03,108.18,wel
348,108.18,108.25,het
349,108.25,108.66,kleedje
350,108.66,109.05,voor
351,109.05,109.38,
352,109.38,109.51,maar
353,109.51,109.68,liet
354,109.68,109.78,het
355,109.78,109.92,door
356,109.92,110.05,zijn
357,110.05,110.53,manschappen
358,110.53,110.61,weer
359,110.61,111.27,opeischen
360,111.27,111.59,
361,111.59,111.86,zoodat
362,111.86,111.92,hij
363,111.92,112.01,
364,112.01,112.44,eindelijk
365,112.44,112.59,den
366,112.59,113.14,ransel
367,113.14,113.43,
368,113.43,113.55,het
369,113.55,113.85,hoedje
370,113.85,114.21,
371,114.21,114.28,en
372,114.28,114.4,het
373,114.4,114.81,hoorntje
374,114.81,115.13,bijeen
375,115.13,115.39,had
376,115.39,116.63,
377,116.63,116.7,Nu
378,116.7,116.79,ben
379,116.79,116.93,ik
380,116.93,117.0,het
381,117.0,117.6,heertje
382,117.6,117.88,zei
383,117.88,118.23,hij
384,118.23,120.11,
385,120.11,120.33,en
386,120.33,120.47,nu
387,120.47,120.69,is
388,120.69,120.76,het
389,120.76,120.83,
390,120.83,121.17,tijd
391,121.17,121.22,
392,121.22,121.33,dat
393,121.33,121.4,ik
394,121.4,121.45,
395,121.45,121.52,naar
396,121.52,121.85,huis
397,121.85,122.11,ga
398,122.11,122.59,
399,122.59,122.74,en
400,122.74,122.93,eens
401,122.93,123.29,kijk
402,123.29,123.35,
403,123.35,123.44,hoe
404,123.44,123.61,mijn
405,123.61,123.9,broêrs
406,123.9,123.93,het
407,123.93,123.99,
408,123.99,124.38,maken
409,124.38,126.79,
410,126.79,126.92,Toen
411,126.92,127.02,hij
412,127.02,127.63,aankwam
413,127.63,127.68,
414,127.68,127.88,hadden
415,127.88,128.09,zijn
416,128.09,128.5,broêrs
417,128.5,128.61,van
418,128.61,128.75,hun
419,128.75,129.1,zilver
420,129.1,129.18,en
421,129.18,129.57,goud
422,129.57,129.62,een
423,129.62,129.82,mooi
424,129.82,130.08,huis
425,130.08,130.53,gebouwd
426,130.53,130.99,
427,130.99,131.06,en
428,131.06,131.4,leefden
429,131.4,131.52,een
430,131.52,132.03,leventje
431,132.03,132.18,van
432,132.18,132.6,vroolijken
433,132.6,133.13,Frans
434,133.13,134.54,
435,134.54,134.63,Hij
436,134.63,134.89,ging
437,134.89,134.97,bij
438,134.97,135.19,hen
439,135.19,135.58,binnen
440,135.58,136.09,
441,136.09,136.25,maar
442,136.25,136.52,omdat
443,136.52,136.82,hij
444,136.82,136.91,in
445,136.91,136.97,een
446,136.97,137.42,versleten
447,137.42,137.71,jas
448,137.71,138.05,was
449,138.05,138.18,
450,138.18,138.24,het
451,138.24,138.66,schunnige
452,138.66,138.9,hoedje
453,138.9,139.02,op
454,139.02,139.18,zijn
455,139.18,139.5,hoofd
456,139.5,139.73,had
457,139.73,140.01,
458,140.01,140.14,en
459,140.14,140.26,den
460,140.26,140.61,ouden
461,140.61,141.06,ransel
462,141.06,141.33,om
463,141.33,141.69,
464,141.69,141.97,wilden
465,141.97,142.12,zij
466,142.12,142.25,hem
467,142.25,142.44,niet
468,142.44,142.64,voor
469,142.64,142.73,hun
470,142.73,143.02,broeder
471,143.02,143.54,herkennen
472,143.54,144.98,
473,144.98,145.07,Zij
474,145.07,145.48,spotten
475,145.48,145.58,en
476,145.58,145.99,zeiden
477,145.99,146.75,
478,146.75,146.93,Geef
479,146.93,147.13,jij
480,147.13,147.18,je
481,147.18,147.4,uit
482,147.4,147.55,voor
483,147.55,147.82,onzen
484,147.82,148.22,broeder
485,148.22,148.49,
486,148.49,148.59,die
487,148.59,149.01,zilver
488,149.01,149.1,en
489,149.1,149.41,goud
490,149.41,149.91,verwierp
491,149.91,150.06,en
492,150.06,150.11,een
493,150.11,150.47,grooter
494,150.47,150.79,geluk
495,150.79,151.22,zocht
496,151.22,151.51,
497,151.51,152.15,Neen
498,152.15,152.52,
499,152.52,152.62,die
500,152.62,152.84,komt
501,152.84,153.2,zeker
502,153.2,153.3,in
503,153.3,153.55,volle
504,153.55,153.92,pracht
505,153.92,153.97,
506,153.97,154.29,als
507,154.29,154.56,
508,154.56,154.8,een
509,154.8,155.19,machtig
510,155.19,155.64,koning
511,155.64,156.3,aangereden
512,156.3,156.63,
513,156.63,156.77,en
514,156.77,157.06,niet
515,157.06,157.22,als
516,157.22,157.32,een
517,157.32,158.0,bedelaar
518,158.0,158.6,
519,158.6,158.71,en
520,158.71,158.86,zij
521,158.86,159.17,joegen
522,159.17,159.36,hem
523,159.36,159.49,de
524,159.49,159.72,deur
525,159.72,160.07,uit
526,160.07,161.41,
527,161.41,161.53,Toen
528,161.53,161.68,werd
529,161.68,161.75,hij
530,161.75,161.8,
531,161.8,162.18,kwaad
532,162.18,162.38,
533,162.38,162.49,en
534,162.49,162.53,hij
535,162.53,162.86,klopte
536,162.86,163.2,zóó
537,163.2,163.4,lang
538,163.4,163.52,op
539,163.52,163.64,zijn
540,163.64,164.14,ransel
541,164.14,164.39,
542,164.39,164.55,tot
543,164.55,164.64,er
544,164.64,165.38,honderdvijftig
545,165.38,165.66,man
546,165.66,165.78,in
547,165.78,165.83,’t
548,165.83,166.13,gelid
549,166.13,166.31,voor
550,166.31,166.39,hem
551,166.39,166.71,stonden
552,166.71,168.73,
553,168.73,168.84,Hij
554,168.84,169.4,gebood
555,169.4,169.51,hun
556,169.51,169.56,het
557,169.56,169.85,huis
558,169.85,170.02,van
559,170.02,170.18,zijn
560,170.18,170.52,broeders
561,170.52,170.55,te
562,170.55,171.13,omsingelen
563,171.13,171.46,
564,171.46,171.6,en
565,171.6,171.65,
566,171.65,171.99,twee
567,171.99,172.34,zouden
568,172.34,172.44,er
569,172.44,173.1,hazelroeden
570,173.1,173.63,meênemen
571,173.63,173.86,
572,173.86,173.97,en
573,173.97,174.04,de
574,174.04,174.7,overmoedige
575,174.7,175.07,rakkers
576,175.07,175.13,de
577,175.13,175.46,huid
578,175.46,175.61,van
579,175.61,175.81,hun
580,175.81,176.06,rug
581,176.06,176.29,
582,176.29,176.81,zoolang
583,176.81,177.04,warm
584,177.04,177.44,striemen
585,177.44,177.88,
586,177.88,178.03,tot
587,178.03,178.28,zij
588,178.28,178.59,wisten
589,178.59,178.71,wie
590,178.71,178.87,hij
591,178.87,179.25,was
592,179.25,181.28,
593,181.28,181.35,Er
594,181.35,181.6,kwam
595,181.6,181.67,een
596,181.67,182.04,hevig
597,182.04,182.8,opstootje
598,182.8,183.29,
599,183.29,183.42,de
600,183.42,183.77,menschen
601,183.77,184.01,liepen
602,184.01,184.15,te
603,184.15,184.52,hoop
604,184.52,184.76,
605,184.76,184.88,om
606,184.88,184.97,de
607,184.97,185.18,twee
608,185.18,185.49,mannen
