,onset,offset,words
0,0.0,2.57,
1,2.57,2.7,De
2,2.7,3.26,Ransel
3,3.26,3.74,
4,3.74,3.89,het
5,3.89,4.34,Hoedje
6,4.34,4.71,
7,4.71,4.83,en
8,4.83,4.95,het
9,4.95,5.5,Hoorntje
10,5.5,7.47,
11,7.47,7.6,Er
12,7.6,7.89,waren
13,7.89,8.07,eens
14,8.07,8.35,drie
15,8.35,8.9,broêrs
16,8.9,9.24,
17,9.24,9.36,die
18,9.36,10.09,langzamerhand
19,10.09,10.21,tot
20,10.21,10.71,armoede
21,10.71,10.96,waren
22,10.96,11.4,vervallen
23,11.4,12.59,
24,12.59,12.95,eindelijk
25,12.95,13.16,was
26,13.16,13.2,de
27,13.2,13.49,nood
28,13.49,13.82,zoo
29,13.82,14.04,hoog
30,14.04,14.67,gestegen
31,14.67,15.05,
32,15.05,15.24,dat
33,15.24,15.33,zij
34,15.33,15.66,niets
35,15.66,15.83,meer
36,15.83,15.91,te
37,15.91,16.26,eten
38,16.26,16.57,hadden
39,16.57,16.84,
40,16.84,16.95,en
41,16.95,17.23,honger
42,17.23,17.52,moesten
43,17.52,17.92,lijden
44,17.92,18.81,
45,18.81,18.94,Toen
46,18.94,19.24,zeiden
47,19.24,19.57,zij
48,19.57,20.17,
49,20.17,20.43,Zoo
50,20.43,20.59,kan
51,20.59,20.66,het
52,20.66,20.79,niet
53,20.79,21.27,blijven
54,21.27,21.65,
55,21.65,21.8,wij
56,21.8,22.1,zullen
57,22.1,22.2,de
58,22.2,22.56,wereld
59,22.56,22.73,in
60,22.73,23.05,moeten
61,23.05,23.49,
62,23.49,23.6,en
63,23.6,23.75,ons
64,23.75,24.04,geluk
65,24.04,24.41,zoeken
66,24.41,25.17,
67,25.17,25.24,En
68,25.24,25.38,zij
69,25.38,25.69,trokken
70,25.69,26.09,weg
71,26.09,28.0,
72,28.0,28.13,Op
73,28.13,28.51,verre
74,28.51,28.85,wegen
75,28.85,29.1,waren
76,29.1,29.24,zij
77,29.24,29.36,al
78,29.36,29.86,gegaan
79,29.86,30.2,
80,30.2,30.3,en
81,30.3,30.56,veel
82,30.56,31.4,grassprietjes
83,31.4,31.59,hadden
84,31.59,31.72,zij
85,31.72,31.83,al
86,31.83,32.1,plat
87,32.1,32.7,getreden
88,32.7,33.16,
89,33.16,33.3,maar
90,33.3,33.41,het
91,33.41,33.81,geluk
92,33.81,33.99,hadden
93,33.99,34.2,zij
94,34.2,34.31,nog
95,34.31,34.52,niet
96,34.52,34.94,ontmoet
97,34.94,36.13,
98,36.13,36.29,Op
99,36.29,36.38,een
100,36.38,36.52,dag
101,36.52,36.99,gebeurde
102,36.99,37.18,het
103,37.18,37.56,
104,37.56,37.72,dat
105,37.72,37.84,zij
106,37.84,37.93,in
107,37.93,37.97,een
108,37.97,38.28,groot
109,38.28,38.59,bosch
110,38.59,39.02,kwamen
111,39.02,39.34,
112,39.34,39.54,en
113,39.54,39.76,midden
114,39.76,40.18,daarin
115,40.18,40.31,was
116,40.31,40.44,een
117,40.44,40.88,berg
118,40.88,41.55,
