,onset,offset,words
249,64.47,64.82,kleine
250,64.82,65.23,eendjes
251,65.23,65.3,
252,65.3,65.46,wat
253,65.46,65.62,zij
254,65.62,66.04,konden
255,66.04,66.47,
256,66.47,66.57,en
257,66.57,66.68,zij
258,66.68,67.04,kwamen
259,67.04,67.23,uit
260,67.23,67.27,de
261,67.27,67.32,
262,67.32,67.65,eieren
263,67.65,67.73,te
264,67.73,68.27,voorschijn
265,68.27,68.55,
266,68.55,68.68,en
267,68.68,68.95,keken
268,68.95,69.07,naar
269,69.07,69.3,alle
270,69.3,69.69,kanten
271,69.69,69.95,
272,69.95,70.14,onder
273,70.14,70.18,de
274,70.18,70.49,groene
275,70.49,70.93,bladeren
276,70.93,71.42,
277,71.42,71.63,en
278,71.63,71.69,de
279,71.69,71.99,moeder
280,71.99,72.19,liet
281,72.19,72.28,ze
282,72.28,72.67,kijken
283,72.67,72.88,
284,72.88,73.19,zooveel
285,73.19,73.34,als
286,73.34,73.43,zij
287,73.43,73.56,maar
288,73.56,73.92,wilden
289,73.92,74.29,
290,74.29,74.43,want
291,74.43,74.8,groen
292,74.8,74.88,
293,74.88,74.98,is
294,74.98,75.21,goed
295,75.21,75.31,voor
296,75.31,75.34,de
297,75.34,75.75,oogen
298,75.75,77.05,
299,77.05,77.18,Wat
300,77.18,77.26,is
301,77.26,77.35,de
302,77.35,77.67,wereld
303,77.67,77.79,toch
304,77.79,78.36,groot
305,78.36,78.63,
306,78.63,78.82,zeiden
307,78.82,78.97,al
308,78.97,79.04,de
309,79.04,79.36,jongen
310,79.36,79.74,
311,79.74,79.91,want
312,79.91,80.19,nu
313,80.19,80.38,hadden
314,80.38,80.5,zij
315,80.5,80.77,heel
316,80.77,80.9,wat
317,80.9,80.95,
318,80.95,81.15,meer
319,81.15,81.51,plaats
320,81.51,81.65,dan
321,81.65,81.76,in
322,81.76,81.87,het
323,81.87,82.16,ei
324,82.16,83.58,
325,83.58,83.81,Denk
326,83.81,83.94,je
327,83.94,84.19,
328,84.19,84.35,dat
329,84.35,84.52,dit
330,84.52,84.69,
331,84.69,84.78,de
332,84.78,85.15,heele
333,85.15,85.49,wereld
334,85.49,85.71,is
335,85.71,86.1,
336,86.1,86.24,zei
337,86.24,86.33,de
338,86.33,86.56,moeder
339,86.56,87.33,
340,87.33,87.45,Die
341,87.45,87.74,strekt
342,87.74,87.79,
343,87.79,87.94,zich
344,87.94,88.09,nog
345,88.09,88.44,ver
346,88.44,88.6,aan
347,88.6,88.67,den
348,88.67,89.01,anderen
349,89.01,89.24,kant
350,89.24,89.4,van
351,89.4,89.47,het
352,89.47,89.89,geboomte
353,89.89,90.21,uit
354,90.21,90.61,
355,90.61,90.74,tot
356,90.74,90.81,aan
357,90.81,90.99,den
358,90.99,91.2,tuin
359,91.2,91.34,van
360,91.34,91.41,den
361,91.41,91.96,pastoor
362,91.96,92.54,
363,92.54,92.7,maar
364,92.7,92.75,
365,92.75,93.0,daar
366,93.0,93.13,ben
367,93.13,93.19,ik
368,93.19,93.35,nog
369,93.35,93.6,nooit
370,93.6,93.97,geweest
371,93.97,95.31,
372,95.31,95.36,--Je
373,95.36,95.5,bent
374,95.5,95.61,toch
375,95.61,95.89,allemaal
376,95.89,96.02,wel
377,96.02,96.14,bij
378,96.14,96.62,elkaar
379,96.62,97.08,
380,97.08,97.55,vervolgde
381,97.55,97.66,zij
382,97.66,97.86,
383,97.86,97.93,en
384,97.93,98.17,stond
385,98.17,98.33,op
386,98.33,99.12,
387,99.12,99.36,Neen
388,99.36,99.43,
389,99.43,99.59,ik
390,99.59,99.66,heb
391,99.66,99.74,ze
392,99.74,99.84,nog
393,99.84,99.99,niet
394,99.99,100.42,allemaal
395,100.42,100.76,
396,100.76,100.84,het
397,100.84,101.21,grootste
398,101.21,101.42,ei
399,101.42,101.61,ligt
400,101.61,101.75,daar
401,101.75,102.01,nog
402,102.01,102.49,
403,102.49,102.64,hoe
404,102.64,102.83,lang
405,102.83,102.96,zal
406,102.96,103.03,het
407,103.03,103.17,nog
408,103.17,103.34,wel
409,103.34,103.69,duren
410,103.69,103.88,
411,103.88,104.03,eer
412,104.03,104.25,dat
413,104.25,104.73,uitkomt
414,104.73,105.36,
415,105.36,105.55,Nu
416,105.55,105.85,begint
417,105.85,105.95,het
418,105.95,106.03,mij
419,106.03,106.36,haast
420,106.36,106.45,te
421,106.45,106.96,vervelen
422,106.96,107.81,
423,107.81,107.93,en
424,107.93,108.04,zij
425,108.04,108.22,ging
426,108.22,108.3,er
427,108.3,108.44,weer
428,108.44,108.59,op
429,108.59,108.98,zitten
430,108.98,110.01,
431,110.01,110.46,Wel
432,110.46,110.85,zoo
433,110.85,111.15,
434,111.15,111.24,hoe
435,111.24,111.53,gaat
436,111.53,111.66,het
437,111.66,112.26,
438,112.26,112.41,vroeg
439,112.41,112.49,een
440,112.49,112.71,oude
441,112.71,112.98,eend
442,112.98,113.21,
443,113.21,113.34,die
444,113.34,113.48,haar
445,113.48,113.64,eens
446,113.64,113.71,een
447,113.71,114.01,bezoek
448,114.01,114.19,kwam
449,114.19,114.55,brengen
450,114.55,115.74,
451,115.74,115.85499,Het
452,115.85499,116.05,duurt
453,116.05,116.47,geducht
454,116.47,116.52,
455,116.52,116.79,lang
456,116.79,116.89,met
457,116.89,117.01,dat
458,117.01,117.23,eene
459,117.23,117.5,ei
460,117.5,117.77,
461,117.77,117.91,zei
462,117.91,117.99,de
463,117.99,118.23,eend
464,118.23,118.48,
465,118.48,118.63,die
466,118.63,118.67,er
467,118.67,118.8,nu
468,118.8,118.91,weer
469,118.91,119.08,op
470,119.08,119.3,zat
471,119.3,119.82,
472,119.82,119.99,het
473,119.99,120.16,wil
474,120.16,120.27,maar
475,120.27,120.4,niet
476,120.4,120.93,opengaan
477,120.93,121.53,
478,121.53,121.66,maar
479,121.66,121.9,kijk
480,121.9,122.0,eens
481,122.0,122.08,naar
482,122.08,122.12,de
483,122.12,122.51,anderen
484,122.51,122.89,
485,122.89,123.05,zijn
486,123.05,123.18,dat
487,123.18,123.36,niet
488,123.36,123.54,de
489,123.54,123.87,liefste
490,123.87,124.27,eendjes
491,124.27,124.46,
492,124.46,124.58,die
493,124.58,124.68,je
494,124.68,124.96,ooit
495,124.96,125.06,van
496,125.06,125.18,je
497,125.18,125.52,leven
498,125.52,125.86,gezien
499,125.86,126.04,hebt
500,126.04,126.57,
501,126.57,126.7,Zij
502,126.7,126.91,lijken
503,126.91,127.38,allemaal
504,127.38,127.89,precies
505,127.89,128.02,op
506,128.02,128.13,hun
507,128.13,128.49,vader
508,128.49,129.03,
509,129.03,129.19,maar
510,129.19,129.28,die
511,129.28,129.33,
512,129.33,129.72,ondeugd
513,129.72,129.9,
514,129.9,130.07,komt
515,130.07,130.16,mij
516,130.16,130.33,niet
517,130.33,130.52,eens
518,130.52,131.03,bezoeken
519,131.03,132.45,
520,132.45,132.67,Laat
521,132.67,132.92,mij
522,132.92,132.95,het
523,132.95,133.24,ei
524,133.24,133.49,
525,133.49,133.66,dat
526,133.66,133.83,niet
527,133.83,133.95,wil
528,133.95,134.48,opengaan
529,134.48,134.86,
530,134.86,135.14,eens
531,135.14,135.36,zien
532,135.36,135.89,
533,135.89,136.04,zei
534,136.04,136.08,de
535,136.08,136.32,oude
536,136.32,136.56,eend
537,136.56,137.27,
538,137.27,137.74,Geloof
539,137.74,137.87,mij
540,137.87,138.25,
541,138.25,138.38,het
542,138.38,138.5,is
543,138.5,138.59,een
544,138.59,139.42,kalkoenenei
545,139.42,140.04,
546,140.04,140.17,Ik
547,140.17,140.3,ben
548,140.3,140.45,
549,140.45,140.68,ook
550,140.68,140.95,eens
551,140.95,141.14,zoo
552,141.14,141.83,beetgenomen
553,141.83,142.23,
554,142.23,142.36,en
555,142.36,142.48,had
556,142.48,142.67,toen
557,142.67,142.76,
558,142.76,142.94,heel
559,142.94,143.09,wat
560,143.09,143.36,werk
561,143.36,143.5,met
562,143.5,143.59,mijn
563,143.59,143.92,jongen
564,143.92,144.22,
565,144.22,144.35,want
566,144.35,144.44,zij
567,144.44,144.69,waren
568,144.69,144.92,bang
569,144.92,145.07,voor
570,145.07,145.15,het
571,145.15,145.49,water
572,145.49,146.54,
573,146.54,146.65,Ik
574,146.65,146.82,kon
575,146.82,146.88,ze
576,146.88,146.94,er
577,146.94,147.09,maar
578,147.09,147.27,niet
579,147.27,147.46,in
580,147.46,147.88,krijgen
581,147.88,148.35,
582,148.35,148.58,hoe
583,148.58,148.74,ik
584,148.74,148.88,ook
585,148.88,148.97,
586,148.97,149.35,kwakte
587,149.35,149.57,
588,149.57,149.75,het
589,149.75,149.85,
590,149.85,150.07,hielp
591,150.07,150.25,mij
592,150.25,150.9,niemendal
593,150.9,151.8,
594,151.8,151.94,--Laat
595,151.94,152.15,mij
596,152.15,152.18,het
597,152.18,152.23,ei
598,152.23,152.49,eens
599,152.49,152.77,zien
600,152.77,153.42,
601,153.42,153.81,Ja
602,153.81,154.05,
603,154.05,154.26,dat
604,154.26,154.33,is
605,154.33,154.4,een
606,154.4,155.23,kalkoenenei
607,155.23,155.7,
608,155.7,155.93499,Laat
609,155.93499,156.11,dat
610,156.11,156.29,maar
611,156.29,156.59,liggen
612,156.59,156.84,
613,156.84,156.94,en
614,156.94,157.1,leer
615,157.1,157.21,je
616,157.21,157.52,andere
617,157.52,157.97,kinderen
618,157.97,158.21,
619,158.21,158.44,liever
620,158.44,158.86,zwemmen
621,158.86,160.73,
622,160.73,160.9,Ik
623,160.9,161.02,zal
624,161.02,161.09,er
625,161.09,161.18,
626,161.18,161.33,toch
627,161.33,161.49,nog
628,161.49,161.56,een
629,161.56,161.83,beetje
630,161.83,161.89,op
631,161.89,162.16,blijven
632,162.16,162.53,zitten
633,162.53,162.8,
634,162.8,163.23,antwoordde
635,163.23,163.33,de
636,163.33,163.6,eend
637,163.6,164.03,
638,164.03,164.22,ik
639,164.22,164.32,heb
640,164.32,164.39,er
641,164.39,164.51,nu
642,164.51,164.62,al
643,164.62,164.86,zoo
644,164.86,165.04,lang
645,165.04,165.19,op
646,165.19,165.69,gezeten
647,165.69,166.1,
648,166.1,166.22,en
649,166.22,166.41,dus
650,166.41,166.53,kan
651,166.53,166.65,ik
652,166.65,166.69,er
653,166.69,166.82,nog
654,166.82,166.94,wel
655,166.94,167.01,een
656,167.01,167.17,paar
657,167.17,167.44,dagen
658,167.44,167.57,op
659,167.57,167.93,zitten
660,167.93,169.29,
661,169.29,169.41,Je
662,169.41,169.51,moet
663,169.51,169.66,het
664,169.66,169.98,zelf
665,169.98,170.35,weten
666,170.35,170.79,
667,170.79,171.01,hernam
668,171.01,171.06,de
669,171.06,171.3,oude
670,171.3,171.58,eend
671,171.58,171.84,
672,171.84,171.93,en
673,171.93,172.14,ging
674,172.14,172.43,weg
675,172.43,173.48,
676,173.48,173.92,Eindelijk
677,173.92,173.99,
678,173.99,174.18,ging
679,174.18,174.22,het
680,174.22,174.55,groote
681,174.55,174.82,ei
682,174.82,175.2,open
683,175.2,175.79,
684,175.79,175.89,Piep
685,175.89,176.17,
686,176.17,176.35,piep
687,176.35,176.63,
688,176.63,176.82,zei
689,176.82,177.37,
690,177.37,177.58,het
691,177.58,177.82,jong
692,177.82,178.17,
693,178.17,178.28,en
694,178.28,178.58,kroop
695,178.58,178.67,er
696,178.67,178.88,uit
697,178.88,179.62,
698,179.62,179.75,Het
699,179.75,179.89,was
700,179.89,179.93,een
701,179.93,180.43,groot
702,180.43,180.52,
703,180.52,180.75,en
704,180.75,181.04,leelijk
705,181.04,181.12,
706,181.12,181.42,beest
707,181.42,182.2,
708,182.2,182.29,De
709,182.29,182.54,eend
710,182.54,182.9,bekeek
711,182.9,182.98,het
712,182.98,183.26,eens
713,183.26,184.22,
714,184.22,184.34,Wat
715,184.34,184.45,is
716,184.45,184.54,
717,184.54,184.75,dat
718,184.75,184.81,een
719,184.81,185.48,verschrikkelijk
720,185.48,185.8,groot
721,185.8,186.2,eendje
722,186.2,186.39,
723,186.39,186.62,dacht
724,186.62,186.77,zij
725,186.77,187.34,
726,187.34,187.66,geen
727,187.66,187.77,van
728,187.77,187.83,de
729,187.83,188.29,anderen
730,188.29,188.46,ziet
731,188.46,188.51,er
732,188.51,188.76,zoo
733,188.76,189.0,uit
734,189.0,189.76,
735,189.76,189.91,Zou
736,189.91,190.01,het
737,190.01,190.29,misschien
738,190.29,190.34,een
739,190.34,190.89,kalkoensch
740,190.89,191.38,kuikentje
741,191.38,191.67,zijn
742,191.67,192.49,
743,192.49,192.71,Nu
744,192.71,192.98,
745,192.98,193.1,daar
746,193.1,193.23,zullen
747,193.23,193.4,we
748,193.4,193.54,wel
749,193.54,193.86,gauw
750,193.86,194.12,achter
751,194.12,194.48,komen
752,194.48,194.95,
753,194.95,195.07,in
754,195.07,195.14,het
755,195.14,195.42,water
756,195.42,195.59,moet
757,195.59,195.71,het
758,195.71,195.92,
759,195.92,196.06,al
760,196.06,196.2,zou
761,196.2,196.3,ik
762,196.3,196.38,het
763,196.38,196.41,er
764,196.41,196.56,ook
765,196.56,196.92,zelf
766,196.92,197.41,induwen
767,197.41,198.7,
768,198.7,198.81,Den
769,198.81,199.2,volgenden
770,199.2,199.43,dag
771,199.43,199.58,was
772,199.58,199.66,het
773,199.66,199.73,
774,199.73,200.04,mooi
775,200.04,200.28,
776,200.28,200.58,heerlijk
777,200.58,200.87,weer
778,200.87,201.41,
779,201.41,201.53,de
780,201.53,201.74,zon
781,201.74,202.04,scheen
782,202.04,202.14,op
783,202.14,202.34,alle
784,202.34,202.66,groene
785,202.66,203.16,bladeren
786,203.16,203.91,
787,203.91,203.98,De
788,203.98,204.25,moeder
789,204.25,204.42,der
790,204.42,204.79,eendjes
791,204.79,205.03,
792,205.03,205.19,ging
793,205.19,205.32,met
794,205.32,205.41,haar
795,205.41,205.71,heele
796,205.71,206.12,familie
797,206.12,206.24,naar
798,206.24,206.31,de
799,206.31,206.62,gracht
800,206.62,206.78,toe
801,206.78,207.48,
802,207.48,207.89,Plof
803,207.89,208.2,
804,208.2,208.33,daar
805,208.33,208.6,sprong
806,208.6,208.72,zij
807,208.72,208.8,in
808,208.8,208.84,het
809,208.84,209.18,water
810,209.18,210.07,
811,210.07,210.31,Kwak
812,210.31,210.58,
813,210.58,210.81,kwak
814,210.81,211.29,
815,211.29,211.51,zeide
816,211.51,211.64,zij
817,211.64,212.11,
818,212.11,212.26,en
819,212.26,212.33,het
820,212.33,212.39,
821,212.39,212.63,eene
822,212.63,213.02,eendje
823,213.02,213.12,na
824,213.12,213.23,het
825,213.23,213.57,andere
826,213.57,213.8,
827,213.8,214.07,plofte
828,214.07,214.21,er
829,214.21,214.32,nu
830,214.32,214.56,ook
831,214.56,214.74,in
832,214.74,215.19,
833,215.19,215.35,het
834,215.35,215.69,water
835,215.69,216.16,spatte
836,216.16,216.27,hun
837,216.27,216.38,om
838,216.38,216.46,den
839,216.46,216.72,kop
840,216.72,216.99,
841,216.99,217.1,en
842,217.1,217.22,zij
843,217.22,217.44,doken
844,217.44,217.69,even
845,217.69,217.95,onder
846,217.95,218.35,
