,onset,offset,words
0,0.0,0.86,
1,0.86,0.96,De
2,0.96,1.44,gouden
3,1.44,2.08,vogel
4,2.08,7.47,
5,7.47,7.63,Voor
6,7.63,7.91,lange
7,7.91,8.44,tijden
8,8.44,8.61,was
9,8.61,8.67,er
10,8.67,8.83,een
11,8.83,9.43,koning
12,9.43,9.98,
13,9.98,10.12,hij
14,10.12,10.36,had
15,10.36,10.45,een
16,10.45,11.09,prachtigen
17,11.09,11.39,tuin
18,11.39,11.61,achter
19,11.61,11.83,zijn
20,11.83,12.42,paleis
21,12.42,12.56,
22,12.56,12.79,en
23,12.79,13.07,daarin
24,13.07,13.44,stond
25,13.44,13.54,een
26,13.54,13.86,boom
27,13.86,13.94,die
28,13.94,14.27,gouden
29,14.27,14.68,appelen
30,14.68,15.18,droeg
31,15.18,16.24,
32,16.24,16.51,Toen
33,16.51,16.59,de
34,16.59,16.95,appelen
35,16.95,17.51,rijpten
36,17.51,17.66,werden
37,17.66,17.83,zij
38,17.83,18.67,geteld
39,18.67,18.76,
40,18.76,18.89,maar
41,18.89,18.95,den
42,18.95,19.45,volgenden
43,19.45,19.77,morgen
44,19.77,20.21,ontbrak
45,20.21,20.27,er
46,20.27,20.42,al
47,20.42,20.76,een
48,20.76,21.92,
49,21.92,22.03,Het
50,22.03,22.21,werd
51,22.21,22.28,den
52,22.28,22.59,koning
53,22.59,23.1,gemeld
54,23.1,23.28,en
55,23.28,23.44,hij
56,23.44,23.96,beval
57,23.96,24.14,dat
58,24.14,24.17,er
59,24.17,24.4,alle
60,24.4,24.99,nachten
61,24.99,25.04,
62,25.04,25.23,onder
63,25.23,25.36,den
64,25.36,25.6,boom
65,25.6,25.78,zou
66,25.78,26.22,gewaakt
67,26.22,26.66,worden
68,26.66,27.62,
69,27.62,27.77,De
70,27.77,28.07,koning
71,28.07,28.18,had
72,28.18,28.43,drie
73,28.43,28.99,zonen
74,28.99,29.31,
75,29.31,29.4,den
76,29.4,29.77,oudsten
77,29.77,30.01,zond
78,30.01,30.11,hij
79,30.11,30.4,uit
80,30.4,30.47,om
81,30.47,30.58,bij
82,30.58,30.68,den
83,30.68,30.92,boom
84,30.92,31.03,te
85,31.03,31.36,waken
86,31.36,31.52,toen
87,31.52,31.58,den
88,31.58,31.83,nacht
89,31.83,32.92,aanbrak
90,32.92,33.03,maar
91,33.03,33.2,toen
92,33.2,33.3,het
93,33.3,33.76,middernacht
94,33.76,34.24,was
95,34.24,34.48,kon
96,34.48,34.59,hij
97,34.59,34.77,zich
98,34.77,34.92,niet
99,34.92,35.09,meer
100,35.09,35.49,verweeren
101,35.49,35.74,tegen
102,35.74,35.8,den
103,35.8,36.24,slaap
104,36.24,36.3,
105,36.3,36.38,en
106,36.38,36.52,’s
107,36.52,36.88,morgens
108,36.88,37.21,miste
109,37.21,37.41,men
110,37.41,37.6,weêr
111,37.6,37.68,een
112,37.68,38.14,appel
113,38.14,39.04,
114,39.04,39.2,Den
115,39.2,39.41,
116,39.41,39.78,nacht
117,39.78,40.37,daarop
118,40.37,40.62,moest
119,40.62,40.7,de
120,40.7,41.0,tweede
121,41.0,41.24,zoon
122,41.24,41.74,waken
123,41.74,42.05,
124,42.05,42.31,maar
125,42.31,42.57,hem
126,42.57,42.78,ging
127,42.78,42.86,het
128,42.86,42.96,niet
129,42.96,43.72,beter
130,43.72,44.0,om
131,44.0,44.35,twaalf
132,44.35,44.53,uur
133,44.53,44.64,te
134,44.64,45.28,middernacht
135,45.28,45.56,sliep
136,45.56,45.61,hij
137,45.61,45.98,in
138,45.98,46.03,
139,46.03,46.11,en
140,46.11,46.27,’s
141,46.27,46.61,morgens
142,46.61,47.05,ontbrak
143,47.05,47.12,er
144,47.12,47.2,een
145,47.2,47.6,appel
146,47.6,48.94,
147,48.94,49.12,Nu
148,49.12,49.32,kwam
149,49.32,49.43,de
150,49.43,49.7,beurt
151,49.7,49.76,aan
152,49.76,49.86,den
153,49.86,50.07,derden
154,50.07,50.54,zoon
155,50.54,50.66,
156,50.66,50.95,en
157,50.95,51.15,hij
158,51.15,51.32,was
159,51.32,51.51,ook
160,51.51,52.11,bereid
161,52.11,52.29,
162,52.29,52.46,maar
163,52.46,52.58,de
164,52.58,53.03,koning
165,53.03,53.22,had
166,53.22,53.34,niet
167,53.34,53.52,veel
168,53.52,54.03,verwachting
169,54.03,54.45,van
170,54.45,54.55,
171,54.55,54.86,hem
172,54.86,54.92,en
173,54.92,55.24,meende
174,55.24,55.42,dat
175,55.42,55.52,hij
176,55.52,55.66,nog
177,55.66,55.9,minder
178,55.9,56.15,zou
179,56.15,56.63,uitrichten
180,56.63,56.75,dan
181,56.75,56.91,zijn
182,56.91,57.32,broêrs
183,57.32,57.43,maar
184,57.43,57.83,hij
185,57.83,58.06,gaf
186,58.06,58.15,hem
187,58.15,58.31,toch
188,58.31,58.67,verlof
189,58.67,58.77,te
190,58.77,59.19,gaan
191,59.19,59.68,
192,59.68,60.36,éénhonderdzesendertig
193,60.36,60.39,De
194,60.39,60.79,jongeling
195,60.79,61.06,legde
196,61.06,61.26,zich
197,61.26,61.46,onder
198,61.46,61.59,den
199,61.59,61.9,boom
200,61.9,62.01,en
201,62.01,62.23,bleef
202,62.23,62.75,waken
203,62.75,63.11,
204,63.11,63.51,hij
205,63.51,63.63,liet
206,63.63,63.69,den
207,63.69,64.06,slaap
208,64.06,64.5,niet
209,64.5,64.62,
210,64.62,64.84,over
211,64.84,65.01,zich
212,65.01,65.35,baas
213,65.35,65.66,worden
214,65.66,67.34,
215,67.34,67.51,Toen
216,67.51,67.62,het
217,67.62,68.0,twaalf
218,68.0,68.21,uur
219,68.21,68.87,sloeg
220,68.87,69.38,ruischte
221,69.38,69.44,het
222,69.44,69.56,in
223,69.56,69.59,de
224,69.59,69.99,lucht
225,69.99,70.15,
226,70.15,70.39,en
227,70.39,70.46,hij
228,70.46,70.73,zag
229,70.73,70.8,in
230,70.8,70.91,den
231,70.91,71.59,maneschijn
232,71.59,71.68,een
233,71.68,72.03,vogel
234,72.03,72.34,vliegen
235,72.34,72.49,met
236,72.49,72.98,glanzend
237,72.98,73.33,goud
238,73.33,74.09,gevederte
239,74.09,75.08,
240,75.08,75.19,De
241,75.19,75.65,vogel
242,75.65,75.83,liet
243,75.83,76.01,zich
244,76.01,76.09,op
245,76.09,76.27,den
246,76.27,76.51,boom
247,76.51,76.81,neêr
248,76.81,76.87,en
249,76.87,77.10499,hij
250,77.10499,77.44,had
251,77.44,77.74,juist
252,77.74,78.12,even
253,78.12,78.15,een
254,78.15,78.39,appel
255,78.39,79.07,aangepikt
256,79.07,79.24,
257,79.24,79.45,toen
258,79.45,79.48,de
259,79.48,79.88,jongeling
260,79.88,80.02,een
261,80.02,80.24,pijl
262,80.24,80.35,op
263,80.35,80.45,hem
264,80.45,81.05,afschoot
265,81.05,81.83,
266,81.83,81.96,De
267,81.96,82.31,vogel
268,82.31,82.58,vloog
269,82.58,83.17,weg
270,83.17,83.37,maar
271,83.37,83.53,de
272,83.53,83.8,pijl
273,83.8,83.99,had
274,83.99,84.14,zijn
275,84.14,84.45,veêren
276,84.45,85.02,getroffen
277,85.02,85.2,
278,85.2,85.47,en
279,85.47,85.67,een
280,85.67,85.82,van
281,85.82,85.97,zijn
282,85.97,86.32,gouden
283,86.32,86.71,veêren
284,86.71,86.97,viel
285,86.97,87.14,naar
286,87.14,87.68,beneden
287,87.68,88.93,
288,88.93,89.04,De
289,89.04,89.39,
290,89.39,89.87,jongeling
291,89.87,90.22,raapte
292,90.22,90.39,haar
293,90.39,90.63,op
294,90.63,90.85,en
295,90.85,91.1,bracht
296,91.1,91.19,ze
297,91.19,91.3,’s
298,91.3,91.72,morgens
299,91.72,91.86,bij
300,91.86,91.99,den
301,91.99,92.36,koning
302,92.36,92.55,en
303,92.55,93.46,vertelde
304,93.46,93.62,wat
305,93.62,93.65,er
306,93.65,93.73,’s
307,93.73,93.98,nachts
308,93.98,94.38,gebeurd
309,94.38,94.76,was
310,94.76,96.78,
311,96.78,96.92,De
312,96.92,97.18,
313,97.18,97.57,koning
314,97.57,97.69,liet
315,97.69,97.84,zijn
316,97.84,98.09,raad
317,98.09,98.86,bijeenroepen
318,98.86,99.02,
319,99.02,99.31,en
320,99.31,99.5,allen
321,99.5,100.12,verklaarden
322,100.12,100.26,
323,100.26,100.46,dat
324,100.46,100.81,één
325,100.81,101.29,zulk
326,101.29,101.36,een
327,101.36,101.72,gouden
328,101.72,102.18,veer
329,102.18,102.52,
330,102.52,102.69,hun
331,102.69,102.94,meer
332,102.94,103.24,waard
333,103.24,103.6,was
334,103.6,103.77,dan
335,103.77,103.87,het
336,103.87,104.15,halve
337,104.15,105.02,koninkrijk
338,105.02,105.72,
339,105.72,105.9,Is
340,105.9,106.0,die
341,106.0,106.24,veer
342,106.24,106.55,zoo
343,106.55,107.35499,kostbaar
344,107.35499,107.57,zei
345,107.57,107.63,de
346,107.63,108.29,koning
347,108.29,108.64,
348,108.64,108.83,dan
349,108.83,108.95,is
350,108.95,109.1,mij
351,109.1,109.2,die
352,109.2,109.47,ééne
353,109.47,109.71,niets
354,109.71,110.12,waard
355,110.12,110.25,dan
356,110.25,110.36,wil
357,110.36,110.43,ik
358,110.43,110.53,den
359,110.53,110.88,heelen
360,110.88,111.6,vogel
361,111.6,112.72,
362,112.72,112.8,De
363,112.8,113.09,oudste
364,113.09,113.32,zoon
365,113.32,113.49,ging
366,113.49,113.6,op
367,113.6,113.95,weg
368,113.95,114.41,vertrouwde
369,114.41,114.53,op
370,114.53,114.7,zijn
371,114.7,115.33,slimheid
372,115.33,115.57,
373,115.57,115.73,en
374,115.73,116.09,meende
375,116.09,116.24,hij
376,116.24,116.5,zou
377,116.5,116.56,den
378,116.56,116.89,gouden
379,116.89,117.29,vogel
380,117.29,117.42,wel
381,117.42,118.04,vinden
382,118.04,119.05,
383,119.05,119.25,Toen
384,119.25,119.44,hij
385,119.44,119.57,een
386,119.57,119.76,eind
387,119.76,120.17,gegaan
388,120.17,120.49,was
389,120.49,120.72,
390,120.72,120.96,zag
391,120.96,121.03,hij
392,121.03,121.14,aan
393,121.14,121.2,den
394,121.2,121.56,rand
395,121.56,121.74,van
396,121.74,121.81,een
397,121.81,122.14,bosch
398,122.14,122.24,een
399,122.24,122.54,vos
400,122.54,122.89,zitten
401,122.89,122.97,
402,122.97,123.51,legde
403,123.51,123.68,zijn
404,123.68,124.07,geweer
405,124.07,124.36,aan
406,124.36,124.57,
407,124.57,124.72,en
408,124.72,125.0,mikte
409,125.0,125.23,op
410,125.23,125.52,hem
411,125.52,126.64,
412,126.64,126.74,De
413,126.74,127.02,vos
414,127.02,127.28,riep
415,127.28,127.59,
416,127.59,127.91,schiet
417,127.91,128.11,mij
418,128.11,128.59,niet
419,128.59,128.65,
420,128.65,128.78,dan
421,128.78,129.1,geef
422,129.1,129.21,ik
423,129.21,129.31,je
424,129.31,129.68,daarvoor
425,129.68,129.73,een
426,129.73,130.03,goeden
427,130.03,130.62,raad
428,130.62,130.9,
429,130.9,131.03,Je
430,131.03,131.26,bent
431,131.26,131.38,op
432,131.38,131.6,weg
433,131.6,131.74,naar
434,131.74,131.81,den
435,131.81,132.11,gouden
436,132.11,132.66,vogel
437,132.66,132.71,
438,132.71,133.04,en
439,133.04,133.13,je
440,133.13,133.37,zult
441,133.37,133.67,dezen
442,133.67,134.09,avond
443,134.09,134.18,in
444,134.18,134.29,een
445,134.29,134.54,dorp
446,134.54,135.03499,komen
447,135.03499,135.19,waar
448,135.19,135.52,twee
449,135.52,136.1,logementen
450,136.1,136.62,tegenover
451,136.62,136.98,elkaar
452,136.98,137.37,zijn
453,137.37,137.58,
454,137.58,137.75,het
455,137.75,138.04,eene
456,138.04,138.21,is
457,138.21,138.42,hel
458,138.42,139.01,verlicht
459,139.01,139.28,
460,139.28,139.34,en
461,139.34,139.41,daar
462,139.41,139.64,gaat
463,139.64,139.74,het
464,139.74,140.14,vroolijk
465,140.14,140.35,toe
466,140.35,140.6,maar
467,140.6,140.94,ga
468,140.94,141.01,
469,141.01,141.34,daar
470,141.34,141.59,niet
471,141.59,141.94,binnen
472,141.94,142.14,
473,142.14,142.27,ga
474,142.27,142.45,in
475,142.45,142.56,het
476,142.56,143.1,andere
477,143.1,143.37,hoe
478,143.37,143.69,veel
479,143.69,144.03,minder
480,144.03,144.18,je
481,144.18,144.37,dat
482,144.37,144.47,ook
483,144.47,145.23,aanstaat
484,145.23,146.99,
485,146.99,147.14,Hoe
486,147.14,147.37,kan
487,147.37,147.47,nu
488,147.47,147.87,zoo’n
489,147.87,148.47,onnoozel
490,148.47,148.92,beest
491,148.92,148.96,een
492,148.96,149.77,verstandigen
493,149.77,150.04,raad
494,150.04,150.46,geven
495,150.46,150.74,
496,150.74,151.05,dacht
497,151.05,151.1,de
498,151.1,151.61,prins
499,151.61,151.78,
500,151.78,151.96,en
501,151.96,152.04,hij
502,152.04,152.37,schoot
503,152.37,152.52,zijn
504,152.52,152.8,geweer
505,152.8,153.19,af
506,153.19,153.36,
507,153.36,153.53,maar
508,153.53,153.64,hij
509,153.64,153.97,miste
510,153.97,154.04,den
511,154.04,154.51,vos
512,154.51,154.65,die
513,154.65,154.8,met
514,154.8,155.27,gestrekten
515,155.27,155.71,staart
516,155.71,155.83,
517,155.83,156.01,het
518,156.01,156.24,bosch
519,156.24,156.33,in
520,156.33,156.76,vluchtte
521,156.76,157.35,
522,157.35,157.57,Toen
523,157.57,157.83,zette
524,157.83,157.96,de
525,157.96,158.22,prins
526,158.22,158.38,zijn
527,158.38,158.53,weg
528,158.53,159.05,voort
529,159.05,159.19,
530,159.19,159.3,en
531,159.3,159.44,kwam
532,159.44,159.6,’s
533,159.6,159.98,avonds
534,159.98,160.1,in
535,160.1,160.22,het
536,160.22,160.5,dorp
537,160.5,160.68,waar
538,160.68,160.77,de
539,160.77,160.98,twee
540,160.98,161.61,logementen
541,161.61,162.08,waren
542,162.08,162.86,
543,162.86,163.0,in
544,163.0,163.12,het
545,163.12,163.33,eene
