,onset,offset,words
0,0.0,0.62,
1,0.62,1.27,Goddank
2,1.27,1.66,
3,1.66,1.78,zei
4,1.78,1.92,het
5,1.92,2.22,eendje
6,2.22,2.35,met
7,2.35,2.45,een
8,2.45,2.69,zucht
9,2.69,3.51,
10,3.51,3.65499,ik
11,3.65499,3.82,ben
12,3.82,4.05,zoo
13,4.05,4.37,leelijk
14,4.37,4.73,
15,4.73,4.91,dat
16,4.91,4.95,de
17,4.95,5.24499,hond
18,5.24499,5.41,mij
19,5.41,5.62,zelfs
20,5.62,5.76,niet
21,5.76,5.92,wil
22,5.92,6.34,bijten
23,6.34,7.43,
24,7.43,7.62,En
25,7.62,7.93,zoo
26,7.93,7.99,
27,7.99,8.2,bleef
28,8.2,8.29,het
29,8.29,8.83,roerloos
30,8.83,9.14,liggen
31,9.14,9.5,
32,9.5,9.68,terwijl
33,9.68,9.75,de
34,9.75,10.25,hagel
35,10.25,10.42,door
36,10.42,10.54,het
37,10.54,10.75,riet
38,10.75,11.22,snorde
39,11.22,11.48,
40,11.48,11.58,en
41,11.58,11.66,er
42,11.66,11.97,schot
43,11.97,12.16,
44,12.16,12.28,op
45,12.28,12.63,schot
46,12.63,12.69,
47,12.69,13.1,knalde
48,13.1,14.14,
49,14.14,14.35,Eerst
50,14.35,14.61,laat
51,14.61,14.74,op
52,14.74,14.8,den
53,14.8,15.09,dag
54,15.09,15.23,werd
55,15.23,15.34,het
56,15.34,15.65,stil
57,15.65,16.22,
58,16.22,16.35,maar
59,16.35,16.44,het
60,16.44,16.73499,arme
61,16.73499,17.11,eendje
62,17.11,17.43,durfde
63,17.43,17.55,nog
64,17.55,17.71,niet
65,17.71,18.17,opstaan
66,18.17,18.68,
67,18.68,18.83,het
68,18.83,19.1,wachtte
69,19.1,19.22,nog
70,19.22,19.80499,verscheidene
71,19.80499,20.15,uren
72,20.15,20.4,
73,20.4,20.77,voordat
74,20.77,20.87,het
75,20.87,21.36,omkeek
76,21.36,21.66,
77,21.66,21.82,en
78,21.82,21.88,
79,21.88,22.12,toen
80,22.12,22.55,snelde
81,22.55,22.59,het
82,22.59,22.75,uit
83,22.75,22.87,het
84,22.87,23.25,moeras
85,23.25,23.53,weg
86,23.53,23.9,
87,23.9,24.03,zoo
88,24.03,24.36,vlug
89,24.36,24.46,als
90,24.46,24.54,het
91,24.54,24.64,maar
92,24.64,24.92,kon
93,24.92,25.68,
94,25.68,25.85,Het
95,25.85,26.12,liep
96,26.12,26.46,over
97,26.46,26.82,veld
98,26.82,27.01,en
99,27.01,27.37,weide
100,27.37,27.81,
101,27.81,28.06,maar
102,28.06,28.11,er
103,28.11,28.31,woei
104,28.31,28.67,zulk
105,28.67,28.75,een
106,28.75,28.85,
107,28.85,29.24,hevige
108,29.24,29.61,storm
109,29.61,29.95,
110,29.95,30.11,dat
111,30.11,30.25,het
112,30.25,30.51,werk
113,30.51,30.7,had
114,30.7,30.87,
115,30.87,31.01,om
116,31.01,31.09,op
117,31.09,31.28,zijn
118,31.28,31.56,pooten
119,31.56,31.63,
120,31.63,31.71,te
121,31.71,32.02,blijven
122,32.02,32.32,staan
123,32.32,33.58,
124,33.58,33.85,Tegen
125,33.85,33.91,den
126,33.91,34.26,avond
127,34.26,34.53,
128,34.53,34.95,bereikte
129,34.95,35.0,
130,35.0,35.03,het
131,35.03,35.15,een
132,35.15,35.59,kleine
133,35.59,36.09,armoedige
134,36.09,36.58,boerenhut
135,36.58,37.18,
136,37.18,37.46,deze
137,37.46,37.68,was
138,37.68,37.9,zoo
139,37.9,38.54,bouwvallig
140,38.54,38.87,
141,38.87,39.0,dat
142,39.0,39.11,zij
143,39.11,39.42,zelf
144,39.42,39.54,niet
145,39.54,39.77,wist
146,39.77,40.07,
147,40.07,40.19,naar
148,40.19,40.39,welken
149,40.39,40.65,kant
150,40.65,40.76,zij
151,40.76,40.91,zou
152,40.91,41.23,vallen
153,41.23,41.6,
154,41.6,41.74,en
155,41.74,42.06,daarom
156,42.06,42.27,bleef
157,42.27,42.39,zij
158,42.39,42.47,maar
159,42.47,42.82,staan
160,42.82,43.72,
161,43.72,43.82,De
162,43.82,44.33,storm
163,44.33,44.66,
164,44.66,45.14,gierde
165,45.14,45.37,zoo
166,45.37,46.02,verschrikkelijk
167,46.02,46.11,om
168,46.11,46.19,het
169,46.19,46.28,
170,46.28,46.57,eendje
171,46.57,46.82,heen
172,46.82,47.11,
173,47.11,47.27499,dat
174,47.27499,47.31998,het
175,47.31998,47.52,moest
176,47.52,47.71,gaan
177,47.71,48.01,zitten
178,48.01,48.2,
179,48.2,48.31,om
180,48.31,48.46,niet
181,48.46,48.75,omver
182,48.75,48.86,te
183,48.86,49.24,waaien
184,49.24,50.32,
185,50.32,50.45,Nu
186,50.45,51.03,bemerkte
187,51.03,51.09,het
188,51.09,51.39,
189,51.39,51.56,dat
190,51.56,51.61,de
191,51.61,52.0,deur
192,52.0,52.2,uit
193,52.2,52.33,het
194,52.33,52.55,eene
195,52.55,52.98,scharnier
196,52.98,53.36,geraakt
197,53.36,53.56,was
198,53.56,53.79,
199,53.79,53.92,en
200,53.92,54.19,zoo
201,54.19,54.61,scheef
202,54.61,54.81,hing
203,54.81,55.1,
204,55.1,55.26,dat
205,55.26,55.36,het
206,55.36,55.47,door
207,55.47,55.59,de
208,55.59,55.85,reet
209,55.85,56.01,
210,56.01,56.11,in
211,56.11,56.2,de
212,56.2,56.48,kamer
213,56.48,56.65,kon
214,56.65,57.13,sluipen
215,57.13,57.57,
216,57.57,57.67,en
217,57.67,57.83,dit
218,57.83,58.08,deed
219,58.08,58.17,het
220,58.17,58.29,dan
221,58.29,58.43,ook
222,58.43,59.62,
223,59.62,59.87,Hier
224,59.87,60.07,
225,60.07,60.37,woonde
226,60.37,60.41,een
227,60.41,60.71,oude
228,60.71,61.03,vrouw
229,61.03,61.16,met
230,61.16,61.25,haar
231,61.25,61.66,kater
232,61.66,61.72,
233,61.72,61.84,en
234,61.84,61.91,haar
235,61.91,61.96,
236,61.96,62.12,kip
237,62.12,62.74,
238,62.74,62.84,En
239,62.84,62.91,de
240,62.91,63.3,kater
241,63.3,63.59,
242,63.59,63.72,dien
243,63.72,63.86,zij
244,63.86,64.02,haar
245,64.02,64.37,zoontje
246,64.37,64.66,noemde
247,64.66,65.01,
248,65.01,65.2,kon
249,65.2,65.26,een
250,65.26,65.71,hoogen
251,65.71,65.97,rug
252,65.97,66.27,zetten
253,66.27,66.47,
254,66.47,66.53,en
255,66.53,66.96,spinnen
256,66.96,67.51,
257,67.51,67.6,hij
258,67.6,67.85,gaf
259,67.85,68.13,zelfs
260,68.13,68.21,
261,68.21,68.57,vonken
262,68.57,68.73,van
263,68.73,68.95,zich
264,68.95,69.41,
265,69.41,69.51,maar
266,69.51,69.61,dan
267,69.61,69.80499,moest
268,69.80499,69.92,men
269,69.92,70.06,zijn
270,70.06,70.35,haar
271,70.35,70.41,den
272,70.41,70.76,verkeerden
273,70.76,70.98,kant
274,70.98,71.52,opstrijken
275,71.52,72.21,
276,72.21,72.24,De
277,72.24,72.53,
278,72.53,72.77,kip
279,72.77,73.09,
280,73.09,73.23,had
281,73.23,73.31,
282,73.31,73.62,korte
283,73.62,73.78,
284,73.78,74.09,lage
