,onset,offset,words
0,0.0,0.38,
1,0.38,0.51,Het
2,0.51,0.82,arme
3,0.82,1.23,eendje
4,1.23,1.44,
5,1.44,1.59,had
6,1.59,1.72,het
7,1.72,1.83,al
8,1.83,2.12,heel
9,2.12,2.56,slecht
10,2.56,3.29,
11,3.29,3.46,Op
12,3.46,3.83,zekeren
13,3.83,4.28,avond
14,4.28,4.55,
15,4.55,4.91,juist
16,4.91,5.1,toen
17,5.1,5.13,de
18,5.13,5.42,zon
19,5.42,5.49,in
20,5.49,5.64,haar
21,5.64,5.72,
22,5.72,6.02,pracht
23,6.02,6.53,onderging
24,6.53,6.94,
25,6.94,7.11,kwam
26,7.11,7.19,er
27,7.19,7.26,een
28,7.26,7.6,heele
29,7.6,7.71,
30,7.71,7.95,troep
31,7.95,8.44,groote
32,8.44,8.82,vogels
33,8.82,8.92,uit
34,8.92,9.05499,het
35,9.05499,9.36,bosch
36,9.36,10.01,
37,10.01,10.12,het
38,10.12,10.46,eendje
39,10.46,10.55,
40,10.55,10.79,had
41,10.79,10.89,er
42,10.89,11.19,nooit
43,11.19,11.5,zulke
44,11.5,11.83,mooie
45,11.83,12.25,gezien
46,12.25,12.9,
47,12.9,13.01,zij
48,13.01,13.22,waren
49,13.22,14.06,spierwit
50,14.06,14.33,
51,14.33,14.41,en
52,14.41,14.73,hadden
53,14.73,15.0,lange
54,15.0,15.28,
55,15.28,15.79,buigzame
56,15.79,16.26,halzen
57,16.26,16.79,
58,16.79,16.9,het
59,16.9,17.12,waren
60,17.12,17.64,zwanen
61,17.64,18.54,
62,18.54,18.67,Zij
63,18.67,18.87,lieten
64,18.87,19.01,een
65,19.01,19.72,eigenaardig
66,19.72,20.09,geluid
67,20.09,20.42,hooren
68,20.42,20.75,
69,20.75,21.21,spreidden
70,21.21,21.38,hun
71,21.38,21.94,prachtige
72,21.94,22.16,
73,22.16,22.47,lange
74,22.47,22.92,vleugels
75,22.92,23.16,uit
76,23.16,23.42,
77,23.42,23.56,en
78,23.56,23.97,trokken
79,23.97,24.08,
80,24.08,24.3,uit
81,24.3,24.34,de
82,24.34,24.61,koude
83,24.61,25.09,streken
84,25.09,25.37,
85,25.37,25.47,naar
86,25.47,25.94,warmere
87,25.94,26.33,landen
88,26.33,27.09,
89,27.09,27.18,Zij
90,27.18,27.51,stegen
91,27.51,27.85,zoo
92,27.85,28.29,hoog
93,28.29,28.64,
94,28.64,29.01,zoo
95,29.01,29.42,hoog
96,29.42,29.89,
97,29.89,30.06,dat
98,30.06,30.21,het
99,30.21,30.26,
100,30.26,30.43,het
101,30.43,30.78,leelijke
102,30.78,31.04,jonge
103,31.04,31.42,eendje
104,31.42,31.59,
105,31.59,32.03,wonderlijk
106,32.03,32.1,
107,32.1,32.2,te
108,32.2,32.46,moede
109,32.46,32.72,werd
110,32.72,33.52,
111,33.52,33.69,Het
112,33.69,34.16,draaide
113,34.16,34.3,zich
114,34.3,34.45,als
115,34.45,34.56,een
116,34.56,34.68,
117,34.68,34.99,tol
118,34.99,35.05,in
119,35.05,35.12,het
120,35.12,35.45,water
121,35.45,35.75,rond
122,35.75,36.17,
123,36.17,36.59,strekte
124,36.59,36.75,zijn
125,36.75,36.81,
126,36.81,37.02,kop
127,37.02,37.42,hoog
128,37.42,37.49,in
129,37.49,37.59,de
130,37.59,37.79,lucht
131,37.79,37.86,
132,37.86,37.94,naar
133,37.94,38.0,de
134,38.0,38.41,zwanen
135,38.41,38.68,uit
136,38.68,39.0,
137,39.0,39.09,en
138,39.09,39.33,gaf
