phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_surprisal_GPT;word_number
s;6.04;6.15;se;6.04;6.21;4.409139780035069;3.649530068972855;8.32452400063517;7.2659197;5.885623;26
@;6.15;6.21;se;6.04;6.21;0.2796023770778397;3.156702398958208;8.32452400063517;7.2659197;5.885623;26
k;6.21;6.24;croyait;6.21;6.51;4.409139780035069;4.296214187739292;15.268059193107623;7.3178353;6.1879168;27
R;6.24;6.29;croyait;6.21;6.51;0.385222146039297;5.200267484062547;15.268059193107623;7.3178353;6.1879168;27
w;6.29;6.33;croyait;6.21;6.51;0.0181846271151068;1.2254626801580777;15.268059193107623;7.3178353;6.1879168;27
a;6.33;6.37;croyait;6.21;6.51;0.0076830794136166;0.0919793418523065;15.268059193107623;7.3178353;6.1879168;27
j;6.37;6.47;croyait;6.21;6.51;0.0084910894052819;1.3189040711614612;15.268059193107623;7.3178353;6.1879168;27
E;6.47;6.51;croyait;6.21;6.51;0.0043753264927208;2.016492835129774;15.268059193107623;7.3178353;6.1879168;27
d;6.51;6.58;déjà;6.51;6.79;4.409139780035069;3.5165938505373133;10.346663347913434;7.294745;8.017972;28
e;6.58;6.64;déjà;6.51;6.79;0.3164590011854679;3.922555441251599;10.346663347913434;7.294745;8.017972;28
Z;6.64;6.72;déjà;6.51;6.79;0.0382167469953201;1.9858490983832808;10.346663347913434;7.294745;8.017972;28
a;6.72;6.79;déjà;6.51;6.79;0.0094752377805835;0.1543947529844836;10.346663347913434;7.294745;8.017972;28
p;6.79;6.88;près;6.79;6.98;4.409139780035069;3.530081653227226;12.043639660237883;6.7926893;10.87989;29
R;6.88;6.93;près;6.79;6.98;0.3111310643031198;2.6666723586729733;12.043639660237883;6.7926893;10.87989;29
E;6.93;6.98;près;6.79;6.98;0.0650434435005669;3.272954298689311;12.043639660237883;6.7926893;10.87989;29
d;6.98;7.01;de;6.98;7.01;4.409139780035069;3.5165938505373133;5.160477121150187;1.9653271;0.7894498;30
s;7.01;7.14;succomber;7.01;7.52;4.409139780035069;3.649530068972855;19.581178830377727;5.181987;4.602365;31
y;7.14;7.21;succomber;7.01;7.52;0.2796023770778397;4.621087551253416;19.581178830377727;5.181987;4.602365;31
k;7.21;7.29;succomber;7.01;7.52;0.0162678382276122;4.331754954435653;19.581178830377727;5.181987;4.602365;31
o~;7.29;7.33;succomber;7.01;7.52;0.0018042256919498;4.122112586435312;19.581178830377727;5.181987;4.602365;31
b;7.33;7.46;succomber;7.01;7.52;0.000918675330068;2.9295945417071474;19.581178830377727;5.181987;4.602365;31
e;7.46;7.52;succomber;7.01;7.52;0.0009201288782501;3.172639386139349;19.581178830377727;5.181987;4.602365;31
d;7.52;7.58;dans;7.52;7.67;4.409139780035069;3.5165938505373133;7.597135041666439;2.0494714;7.8218527;32
a~;7.58;7.67;dans;7.52;7.67;0.3164590011854679;7.062559624207903;7.597135041666439;2.0494714;7.8218527;32
s;7.67;7.74;ce;7.67;7.74;4.409139780035069;3.649530068972855;6.82455905822299;3.8232133;5.7828674;33
p;7.74;7.85;péril;7.74;8.26;4.409139780035069;3.530081653227226;17.122888133144997;4.824232;8.465339;34
e;7.85;7.99;péril;7.74;8.26;0.3111310643031198;7.566436622545441;17.122888133144997;4.824232;8.465339;34
R;7.99;8.05;péril;7.74;8.26;0.0039561503038749;3.257870920086762;17.122888133144997;4.824232;8.465339;34
i;8.05;8.19;péril;7.74;8.26;0.0012262824873503;1.4372088802774643;17.122888133144997;4.824232;8.465339;34
l;8.19;8.26;péril;7.74;8.26;0.0011911073376685;3.858236091059789;17.122888133144997;4.824232;8.465339;34
l;8.51;8.54;Le;8.51;8.58;4.409139780035069;3.755260160408023;5.733517167758018;2.8665595;14.717276;35
@;8.54;8.58;Le;8.51;8.58;0.2258054342494331;0.8278069017369164;5.733517167758018;2.8665595;14.717276;35
p;8.58;8.64;prince;8.58;8.91;4.409139780035069;3.530081653227226;14.296420097271413;9.923461;6.542527;36
R;8.64;8.71;prince;8.58;8.91;0.3111310643031198;2.6666723586729733;14.296420097271413;9.923461;6.542527;36
e~;8.71;8.8;prince;8.58;8.91;0.0650434435005669;6.086719827202139;14.296420097271413;9.923461;6.542527;36
s;8.8;8.91;prince;8.58;8.91;0.0021646374197159;1.092413468298815;14.296420097271413;9.923461;6.542527;36
a;8.91;8.96;alla;8.91;9.04;4.409139780035069;3.7941932878383366;17.55939014161244;7.9160914;10.056747;37
l;8.96;9.0;alla;8.91;9.04;0.2290040949793377;2.822961061731484;17.55939014161244;7.9160914;10.056747;37
a;9.0;9.04;alla;8.91;9.04;0.0407948838050389;8.21297622187894;17.55939014161244;7.9160914;10.056747;37
S;9.04;9.19;chez;9.04;9.31;4.409139780035069;6.628288652147766;10.064827886825398;6.4263177;5.6809645;38
e;9.19;9.31;chez;9.04;9.31;0.0657095430179095;1.770256699119079;10.064827886825398;6.4263177;5.6809645;38
l;9.31;9.34;lui;9.31;9.4;4.409139780035069;3.755260160408023;8.606546025913323;5.2952294;3.1631963;39
H;9.34;9.37;lui;9.31;9.4;0.2258054342494331;11.694211657307571;8.606546025913323;5.2952294;3.1631963;39
i;9.37;9.4;lui;9.31;9.4;0.0009795730541815;2.335751933624913;8.606546025913323;5.2952294;3.1631963;39
o;9.4;9.51;aussitôt;9.4;9.93;4.409139780035069;6.104572272028173;16.025789445039916;4.307253;10.21262;40
s;9.51;9.66;aussitôt;9.4;9.93;0.0567433298350444;1.779606804934211;16.025789445039916;4.307253;10.21262;40
i;9.66;9.71;aussitôt;9.4;9.93;0.0157497128377967;0.0527530470326943;16.025789445039916;4.307253;10.21262;40
t;9.71;9.8;aussitôt;9.4;9.93;0.0010852723727307;1.84882295584227;16.025789445039916;4.307253;10.21262;40
o;9.8;9.93;aussitôt;9.4;9.93;0.0010682574285837;1.8249532744598247;16.025789445039916;4.307253;10.21262;40
e;9.93;9.99;et;9.93;9.99;4.409139780035069;4.815820454336018;6.126714125197328;3.5694091;3.3949082;41
l;9.99;10.08;lui;9.99;10.19;4.409139780035069;3.755260160408023;8.606546025913323;5.708504;2.0752172;42
H;10.08;10.12;lui;9.99;10.19;0.2258054342494331;11.694211657307571;8.606546025913323;5.708504;2.0752172;42
i;10.12;10.19;lui;9.99;10.19;0.0009795730541815;2.335751933624913;8.606546025913323;5.708504;2.0752172;42
