phonemes,phoneme_onset,phoneme_offset,words,word_onset,word_offset
i,0.01,0.11,Il,0.01,0.11
e,0.11,0.19,était,0.11,0.3
t,0.19,0.24,était,0.11,0.3
E,0.24,0.3,était,0.11,0.3
y,0.3,0.43,une,0.3,0.46
n,0.43,0.46,une,0.3,0.46
f,0.46,0.63,fois,0.46,0.71
w,0.63,0.67,fois,0.46,0.71
a,0.67,0.71,fois,0.46,0.71
9~,0.71,0.79,un,0.71,0.79
R,0.79,0.98,roi,0.79,1.16
w,0.98,1.13,roi,0.79,1.16
a,1.13,1.16,roi,0.79,1.16
k,1.16,1.23,qui,1.16,1.31
i,1.23,1.31,qui,1.16,1.31
t,1.31,1.38,tomba,1.31,1.63
o~,1.38,1.42,tomba,1.31,1.63
b,1.42,1.55,tomba,1.31,1.63
a,1.55,1.63,tomba,1.31,1.63
m,1.63,1.7,malade,1.63,2.16
a,1.7,1.76,malade,1.63,2.16
l,1.76,1.86,malade,1.63,2.16
a,1.86,2.0,malade,1.63,2.16
d,2.0,2.16,malade,1.63,2.16
e,2.65,2.71,et,2.65,2.71
p,2.71,2.79,personne,2.71,3.14
E,2.79,2.83,personne,2.71,3.14
R,2.83,2.91,personne,2.71,3.14
s,2.91,2.99,personne,2.71,3.14
O,2.99,3.06,personne,2.71,3.14
n,3.06,3.14,personne,2.71,3.14
n,3.14,3.18,ne,3.14,3.24
@,3.18,3.24,ne,3.14,3.24
k,3.24,3.29,croyait,3.24,3.59
R,3.29,3.35,croyait,3.24,3.59
w,3.35,3.4,croyait,3.24,3.59
a,3.4,3.43,croyait,3.24,3.59
j,3.43,3.54,croyait,3.24,3.59
E,3.54,3.59,croyait,3.24,3.59
k,3.59,3.67,qu’il,3.59,3.76
y,3.67,3.7,qu’il,3.59,3.76
i,3.7,3.73,qu’il,3.59,3.76
j,3.73,3.76,qu’il,3.59,3.76
p,3.76,3.87,pût,3.76,3.93
y,3.87,3.93,pût,3.76,3.93
k,3.93,4.01,conserver,3.93,4.54
o~,4.01,4.1,conserver,3.93,4.54
s,4.1,4.21,conserver,3.93,4.54
E,4.21,4.27,conserver,3.93,4.54
R,4.27,4.38,conserver,3.93,4.54
v,4.38,4.45,conserver,3.93,4.54
e,4.45,4.54,conserver,3.93,4.54
l,4.54,4.66,la,4.54,4.69
a,4.66,4.69,la,4.54,4.69
v,4.69,4.76,vie,4.69,4.89
i,4.76,4.89,vie,4.69,4.89
s,5.96,6.07,Ce,5.96,6.07
R,6.07,6.19,roi,6.07,6.37
w,6.19,6.26,roi,6.07,6.37
a,6.26,6.37,roi,6.07,6.37
a,6.37,6.46,avait,6.37,6.56
v,6.46,6.5,avait,6.37,6.56
E,6.5,6.56,avait,6.37,6.56
t,6.56,6.64,trois,6.56,6.83
R,6.64,6.69,trois,6.56,6.83
w,6.69,6.78,trois,6.56,6.83
a,6.78,6.83,trois,6.56,6.83
f,6.83,6.97,fils,6.83,7.1
i,6.97,7.1,fils,6.83,7.1
k,7.25,7.31,qui,7.25,7.38
i,7.31,7.38,qui,7.25,7.38
a~,7.38,7.51,en,7.38,7.51
R,7.51,7.58,ressentirent,7.51,8.13
@,7.58,7.61,ressentirent,7.51,8.13
s,7.61,7.72,ressentirent,7.51,8.13
a~,7.72,7.81,ressentirent,7.51,8.13
t,7.81,7.93,ressentirent,7.51,8.13
i,7.93,7.99,ressentirent,7.51,8.13
R,7.99,8.13,ressentirent,7.51,8.13
9~,8.13,8.19,un,8.13,8.19
v,8.19,8.24,vif,8.19,8.5
i,8.24,8.39,vif,8.19,8.5
f,8.39,8.5,vif,8.19,8.5
S,8.5,8.65,chagrin,8.5,9.03
a,8.65,8.73,chagrin,8.5,9.03
g,8.73,8.8,chagrin,8.5,9.03
R,8.8,8.9,chagrin,8.5,9.03
9~,8.9,9.03,chagrin,8.5,9.03
e,9.37,9.4,et,9.37,9.4
k,10.47,10.56,comme,10.47,10.66
O,10.56,10.6,comme,10.47,10.66
m,10.6,10.66,comme,10.47,10.66
i,10.66,10.76,ils,10.66,10.88
l,10.76,10.79,ils,10.66,10.88
z,10.79,10.88,ils,10.66,10.88
a,10.88,10.91,allaient,10.88,11.04
