phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_number;entropy_class;word_freq_log
h;0.15;0.18;hij;0.15;0.29;4.483571099;3.919556756;8875.7405;6.794337;1;-1;13.11565177
Ei;0.18;0.29;hij;0.15;0.29;0.242825887;8.481156837;8875.7405;6.794337;1;-1;13.11565177
h;0.29;0.34;hoopte;0.29;0.73;4.483571099;3.919556756;34.5991;9.459154;2;1;5.112662606
o:;0.34;0.55;hoopte;0.29;0.73;0.242825887;3.573447514;34.5991;9.459154;2;1;5.112662606
p;0.55;0.59;hoopte;0.29;0.73;0.028050885;2.36667969;34.5991;9.459154;2;1;5.112662606
t;0.59;0.64;hoopte;0.29;0.73;0.002335907;3.074912572;34.5991;9.459154;2;1;5.112662606
@;0.64;0.73;hoopte;0.29;0.73;0.00093927;2.337902126;34.5991;9.459154;2;1;5.112662606
t;0.73;0.79;dat;0.73;0.88;4.483571099;5.057095733;22077.2184;9.070339;3;1;14.43027079
A;0.79;0.85;dat;0.73;0.88;0.143024519;5.300799328;22077.2184;9.070339;3;1;14.43027079
t;0.85;0.88;dat;0.73;0.88;0.00603939;4.194684511;22077.2184;9.070339;3;1;14.43027079
s;0.88;0.96;zijn;0.88;1.04;4.483571099;5.246233842;7968.2279;9.197114;4;1;12.9600432
Ei;0.96;1.04;zijn;0.88;1.04;0.185596842;8.244089243;7968.2279;9.197114;4;1;12.9600432
x;1.04;1.14;gelukszon;1.04;1.62;4.483571099;4.34040029;1.03E-06;7.880547;5;-1;9.5269
@;1.14;1.17;gelukszon;1.04;1.62;0.25552616;0.982486747;1.03E-06;7.880547;5;-1;9.5269
l;1.17;1.25;gelukszon;1.04;1.62;0.175334568;2.882643238;1.03E-06;7.880547;5;-1;9.5269
u;1.25;1.29;gelukszon;1.04;1.62;0.028307268;2.262262019;1.03E-06;7.880547;5;-1;9.5269
k;1.29;1.37;gelukszon;1.04;1.62;0.006778573;0.244312076;1.03E-06;7.880547;5;-1;9.5269
s;1.37;1.45;gelukszon;1.04;1.62;0.004658226;4.856933947;1.03E-06;7.880547;5;-1;9.5269
O;1.45;1.55;gelukszon;1.04;1.62;0.000983981;5.438421816;1.03E-06;7.880547;5;-1;9.5269
n;1.55;1.62;gelukszon;1.04;1.62;0.000801555;5.104982635;1.03E-06;7.880547;5;-1;9.5269
n;1.62;1.65;nog;1.62;1.73;4.483571099;4.299642361;4025.6192;8.73483;6;1;11.97499499
O;1.65;1.69;nog;1.62;1.73;0.276849336;6.51634121;4025.6192;8.73483;6;1;11.97499499
G;1.69;1.73;nog;1.62;1.73;0.006343676;8.86796872;4025.6192;8.73483;6;1;11.97499499
k;1.73;1.84;klaarder;1.73;2.12;4.483571099;4.803206421;1.03E-06;9.120393;7;1;9.5269
l;1.84;1.88;klaarder;1.73;2.12;0.181988476;2.784999366;1.03E-06;9.120393;7;1;9.5269
a:;1.88;2.01;klaarder;1.73;2.12;0.033471987;1.996053927;1.03E-06;9.120393;7;1;9.5269
r;2.01;2.05;klaarder;1.73;2.12;0.008203779;0.177442678;1.03E-06;9.120393;7;1;9.5269
d;2.05;2.09;klaarder;1.73;2.12;0.001803224;6.371237745;1.03E-06;9.120393;7;1;9.5269
@;2.09;2.12;klaarder;1.73;2.12;0.000802415;5.049705881;1.03E-06;9.120393;7;1;9.5269
z;2.12;2.2;zou;2.12;2.28;4.483571099;4.235657498;2506.9163;8.653926;8;1;11.29169811
Au;2.2;2.28;zou;2.12;2.28;0.287255793;3.575360359;2506.9163;8.653926;8;1;11.29169811
x;2.28;2.35;gaan;2.28;2.42;4.483571099;4.34040029;2650.4123;8.383901;9;1;11.37200109
a:;2.35;2.39;gaan;2.28;2.42;0.25552616;2.580847877;2650.4123;8.383901;9;1;11.37200109
n;2.39;2.42;gaan;2.28;2.42;0.028146666;0.151493685;2650.4123;8.383901;9;1;11.37200109
s;2.42;2.5;schijnen;2.42;2.87;4.483571099;5.246233842;8.6669;7.428783;10;-1;3.115516059
x;2.5;2.58;schijnen;2.42;2.87;0.185596842;2.50712199;8.6669;7.428783;10;-1;3.115516059
Ei;2.58;2.76;schijnen;2.42;2.87;0.043355018;4.764107078;8.6669;7.428783;10;-1;3.115516059
n;2.76;2.82;schijnen;2.42;2.87;0.002785481;1.271581303;8.6669;7.428783;10;-1;3.115516059
@;2.82;2.87;schijnen;2.42;2.87;0.00166601;3.256437511;8.6669;7.428783;10;-1;3.115516059
t;4.04;4.09;Tegen;4.04;4.26;4.483571099;5.057095733;1031.7539;8.934699;11;1;10.01088318
e:;4.09;4.18;Tegen;4.04;4.26;0.143024519;2.853837896;1031.7539;8.934699;11;1;10.01088318
G;4.18;4.23;Tegen;4.04;4.26;0.022799755;0.68300123;1031.7539;8.934699;11;1;10.01088318
@;4.23;4.26;Tegen;4.04;4.26;0.013305284;0.044189814;1031.7539;8.934699;11;1;10.01088318
z;4.26;4.33;zonsondergang;4.26;5.06;4.483571099;4.235657498;11.3882;7.5695558;12;-1;3.50946783
O;4.33;4.38;zonsondergang;4.26;5.06;0.287255793;4.516091271;11.3882;7.5695558;12;-1;3.50946783
n;4.38;4.41;zonsondergang;4.26;5.06;0.017107871;1.151420062;11.3882;7.5695558;12;-1;3.50946783
s;4.41;4.48;zonsondergang;4.26;5.06;0.00859954;4.742140289;11.3882;7.5695558;12;-1;3.50946783
O;4.48;4.63;zonsondergang;4.26;5.06;0.001202752;1.314142615;11.3882;7.5695558;12;-1;3.50946783
n;4.63;4.69;zonsondergang;4.26;5.06;0.00120864;2.309536795;11.3882;7.5695558;12;-1;3.50946783
@;4.69;4.72;zonsondergang;4.26;5.06;0.000994288;5.670642088;11.3882;7.5695558;12;-1;3.50946783
G;4.72;4.84;zonsondergang;4.26;5.06;0.000798962;5.285402219;11.3882;7.5695558;12;-1;3.50946783
A;4.84;4.9;zonsondergang;4.26;5.06;0.000798962;5.285402219;11.3882;7.5695558;12;-1;3.50946783
N;4.9;5.06;zonsondergang;4.26;5.06;0.000798962;5.285402219;11.3882;7.5695558;12;-1;3.50946783
k;5.53;5.56;kwam;5.53;5.66;4.483571099;4.803206421;478.8538;9.150199;13;1;8.90344144
w;5.56;5.59;kwam;5.53;5.66;0.181988476;4.028426642;478.8538;9.150199;13;1;8.90344144
