phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq
i;0.01;0.11;Il;0.01;0.11;4.409139780035069;5.083806629288414;6.09201368788793
e;0.11;0.19;était;0.11;0.3;4.409139780035069;4.815820454336018;8.380035098324694
t;0.19;0.24;était;0.11;0.3;0.11194717628853766;0.26448132325836654;8.380035098324694
E;0.24;0.3;était;0.11;0.3;0.08875360946102835;0.10134287456922948;8.380035098324694
y;0.3;0.43;une;0.3;0.46;4.409139780035069;6.506829787871369;6.793146780513575
n;0.43;0.46;une;0.3;0.46;0.008059297464271439;1.826414231116221;6.793146780513575
f;0.46;0.63;fois;0.46;0.71;4.409139780035069;5.1197770207622835;9.970234247411996
w;0.63;0.67;fois;0.46;0.71;0.14435107234724462;1.981674478144335;9.970234247411996
a;0.67;0.71;fois;0.46;0.71;0.03272754784385066;0.015233750063023126;9.970234247411996
9~;0.71;0.79;un;0.71;0.79;4.409139780035069;6.148275262534002;6.151914241151773
R;0.79;0.98;roi;0.79;1.16;4.409139780035069;5.400144139330587;12.39997254707214
w;0.98;1.13;roi;0.79;1.16;0.09537290166016033;7.897322038837397;12.39997254707214
a;1.13;1.16;roi;0.79;1.16;0.0014275525764924299;0.9760464157217696;12.39997254707214
k;1.16;1.23;qui;1.16;1.31;4.409139780035069;4.296214187739292;7.353269951835012
i;1.23;1.31;qui;1.16;1.31;0.385222146039297;1.5390330520759636;7.353269951835012
t;1.31;1.38;tomba;1.31;1.63;4.409139780035069;3.9974562187304596;17.722765307877438
o~;1.38;1.42;tomba;1.31;1.63;0.18010796168345372;6.9199734549472405;17.722765307877438
b;1.42;1.55;tomba;1.31;1.63;0.003071977441440657;0.34769808414764297;17.722765307877438
a;1.55;1.63;tomba;1.31;1.63;0.002524741906582571;4.383741798031949;17.722765307877438
m;1.63;1.7;malade;1.63;2.16;4.409139780035069;4.216572460592083;12.34676748279347
a;1.7;1.76;malade;1.63;2.16;0.2093762024126659;3.509233286394972;12.34676748279347
l;1.76;1.86;malade;1.63;2.16;0.02532465198368433;2.7562735814526973;12.34676748279347
a;1.86;2.0;malade;1.63;2.16;0.005171051720745247;1.828245893312535;12.34676748279347
d;2.0;2.16;malade;1.63;2.16;0.002138272398295073;0.5742155841484675;12.34676748279347
e;2.65;2.71;et;2.65;2.71;4.409139780035069;4.815820454336018;6.126714125197328
p;2.71;2.79;personne;2.71;3.14;4.409139780035069;3.5300816532272266;10.196798609034857
E;2.79;2.83;personne;2.71;3.14;0.3111310643031198;4.618915031868996;10.196798609034857
R;2.83;2.91;personne;2.71;3.14;0.01848210732477514;0.5308192718555578;10.196798609034857
s;2.91;2.99;personne;2.71;3.14;0.013304666249871411;1.4432602071848246;10.196798609034857
O;2.99;3.06;personne;2.71;3.14;0.005792806409723827;0.8565669507576091;10.196798609034857
n;3.06;3.14;personne;2.71;3.14;0.003651735110628234;0.23147633733114317;10.196798609034857
n;3.14;3.18;ne;3.14;3.24;4.409139780035069;4.963258404314488;6.077501058722607
@;3.18;3.24;ne;3.14;3.24;0.29472615507796995;1.6557989144332277;6.077501058722607
k;3.24;3.29;croyait;3.24;3.59;4.409139780035069;4.296214187739292;15.268059193107623
R;3.29;3.35;croyait;3.24;3.59;0.385222146039297;5.200267484062547;15.268059193107623
w;3.35;3.4;croyait;3.24;3.59;0.01818462711510685;1.2254626801580772;15.268059193107623
a;3.4;3.43;croyait;3.24;3.59;0.007683079413616617;0.09197934185230658;15.268059193107623
j;3.43;3.54;croyait;3.24;3.59;0.008491089405281909;1.3189040711614615;15.268059193107623
E;3.54;3.59;croyait;3.24;3.59;0.004375326492720849;2.016492835129774;15.268059193107623
k;3.59;3.67;qu'il;3.59;3.76;4.409139780035069;4.296214187739292;NAN
y;3.67;3.7;qu'il;3.59;3.76;0.385222146039297;8.334905208781201;NAN
i;3.7;3.73;qu'il;3.59;3.76;0.0030131537440004413;7.474273787722556;NAN
j;3.73;3.76;qu'il;3.59;3.76;0.0008333963937691516;5.247927513443586;NAN
p;3.76;3.87;pût;3.76;3.93;4.409139780035069;3.5300816532272266;20.782812691547377
y;3.87;3.93;pût;3.76;3.93;0.3111310643031198;7.320677527000215;20.782812691547377
k;3.93;4.01;conserver;3.93;4.54;4.409139780035069;4.296214187739292;17.352527418569597
o~;4.01;4.1;conserver;3.93;4.54;0.385222146039297;3.8550514903652857;17.352527418569597
s;4.1;4.21;conserver;3.93;4.54;0.04022197765732244;3.0407247155849992;17.352527418569597
E;4.21;4.27;conserver;3.93;4.54;0.006938213424890347;1.3607215957840084;17.352527418569597
R;4.27;4.38;conserver;3.93;4.54;0.003414463896683601;1.634380186031027;17.352527418569597
v;4.38;4.45;conserver;3.93;4.54;0.001756887913910373;2.290083227147414;17.352527418569597
e;4.45;4.54;conserver;3.93;4.54;0.0010189077233129721;3.321324330475584;17.352527418569597
l;4.54;4.66;la;4.54;4.69;4.409139780035069;3.755260160408023;5.814498696260873
a;4.66;4.69;la;4.54;4.69;0.22580543424943314;1.7693520610671596;5.814498696260873
v;4.69;4.76;vie;4.69;4.89;4.409139780035069;4.287664674052159;9.836505837411586
i;4.76;4.89;vie;4.69;4.89;0.42762299253125835;4.895406208944401;9.836505837411586
s;5.96;6.07;Ce;5.96;6.07;4.409139780035069;3.6495300689728554;6.82455905822299
R;6.07;6.19;roi;6.07;6.37;4.409139780035069;5.400144139330587;12.39997254707214
w;6.19;6.26;roi;6.07;6.37;0.09537290166016033;7.897322038837397;12.39997254707214
a;6.26;6.37;roi;6.07;6.37;0.0014275525764924299;0.9760464157217696;12.39997254707214
a;6.37;6.46;avait;6.37;6.56;4.409139780035069;3.794193287838337;9.828107455548036
v;6.46;6.5;avait;6.37;6.56;0.22900409497933777;1.6606541598025744;9.828107455548036
E;6.5;6.56;avait;6.37;6.56;0.0678906809470009;0.22834063475064373;9.828107455548036
t;6.56;6.64;trois;6.56;6.83;4.409139780035069;3.9974562187304596;11.209923023126795
R;6.64;6.69;trois;6.56;6.83;0.18010796168345372;1.0022456348444526;11.209923023126795
w;6.69;6.78;trois;6.56;6.83;0.09021057839220219;4.601997795433878;11.209923023126795
a;6.78;6.83;trois;6.56;6.83;0.006056391539346276;0.11946990887876718;11.209923023126795
f;6.83;6.97;fils;6.83;7.1;4.409139780035069;5.1197770207622835;10.836666699879377
i;6.97;7.1;fils;6.83;7.1;0.14435107234724462;1.8983860241084427;10.836666699879377
k;7.25;7.31;qui;7.25;7.38;4.409139780035069;4.296214187739292;7.353269951835012
i;7.31;7.38;qui;7.25;7.38;0.385222146039297;1.5390330520759636;7.353269951835012
a~;7.38;7.51;en;7.38;7.51;4.409139780035069;5.5578611269601135;6.5845242063489335
R;7.51;7.58;ressentirent;7.51;8.13;4.409139780035069;5.400144139330587;NAN
@;7.58;7.61;ressentirent;7.51;8.13;0.09537290166016033;1.4613692023253284;NAN
s;7.61;7.72;ressentirent;7.51;8.13;0.0426173616487669;3.5077661055680887;NAN
a~;7.72;7.81;ressentirent;7.51;8.13;0.005279470590481442;1.4159808308953439;NAN
t;7.81;7.93;ressentirent;7.51;8.13;0.0025509151876098595;2.360074314330995;NAN
i;7.93;7.99;ressentirent;7.51;8.13;0.0013190940028056256;2.1165843428221995;NAN
R;7.99;8.13;ressentirent;7.51;8.13;0.0010434656207840252;2.084133821870984;NAN
9~;8.13;8.19;un;8.13;8.19;4.409139780035069;6.148275262534002;6.151914241151773
v;8.19;8.24;vif;8.19;8.5;4.409139780035069;4.287664674052159;16.263019205306275
i;8.24;8.39;vif;8.19;8.5;0.42762299253125835;4.895406208944401;16.263019205306275
f;8.39;8.5;vif;8.19;8.5;0.028855762430579784;8.3522038560844;16.263019205306275
S;8.5;8.65;chagrin;8.5;9.03;4.409139780035069;6.628288652147766;15.319451805730719
a;8.65;8.73;chagrin;8.5;9.03;0.06570954301790954;3.1031053053590276;15.319451805730719
g;8.73;8.8;chagrin;8.5;9.03;0.0099939483469352;7.441632662364401;15.319451805730719
R;8.8;8.9;chagrin;8.5;9.03;0.0008913150912714808;3.355708080210247;15.319451805730719
9~;8.9;9.03;chagrin;8.5;9.03;0.0008914546571673287;3.5671318006904924;15.319451805730719
e;9.37;9.4;et;9.37;9.4;4.409139780035069;4.815820454336018;6.126714125197328
k;10.47;10.56;comme;10.47;10.66;4.409139780035069;4.296214187739292;8.27912606308575
O;10.56;10.6;comme;10.47;10.66;0.385222146039297;2.6740760742407703;8.27912606308575
m;10.6;10.66;comme;10.47;10.66;0.06111268696389407;0.0444403121054927;8.27912606308575
i;10.66;10.76;ils;10.66;10.88;4.409139780035069;5.083806629288414;8.196409154968887
l;10.76;10.79;ils;10.66;10.88;0.04637674414754396;5.529353029942596;8.196409154968887
z;10.79;10.88;ils;10.66;10.88;0.0016070931557069256;6.445594291341182;8.196409154968887
a;10.88;10.91;allaient;10.88;11.04;4.409139780035069;3.794193287838337;15.734053379627522
l;10.91;10.97;allaient;10.88;11.04;0.22900409497933777;2.8229610617314833;15.734053379627522
E;10.97;11.04;allaient;10.88;11.04;0.04079488380503898;3.0984225462905823;15.734053379627522
d;11.04;11.1;dans;11.04;11.21;4.409139780035069;3.5165938505373138;7.597135041666439
a~;11.1;11.21;dans;11.04;11.21;0.31645900118546794;7.062559624207903;7.597135041666439
l;11.21;11.26;le;11.21;11.26;4.409139780035069;3.755260160408023;5.733517167758018
p;11.26;11.37;parc;11.26;11.65;4.409139780035069;3.5300816532272266;14.82768591028601
a;11.37;11.42;parc;11.26;11.65;0.3111310643031198;3.3044449540316907;14.82768591028601
R;11.42;11.52;parc;11.26;11.65;0.039570269746988795;0.5137488120570814;14.82768591028601
k;11.52;11.59;parc;11.26;11.65;0.0336545255177201;7.108436878732469;14.82768591028601
@;11.59;11.65;parc;11.26;11.65;0.0011437414825344401;5.795455272044121;14.82768591028601
d;11.65;11.68;du;11.65;11.78;4.409139780035069;3.5165938505373138;7.681263722354963
y;11.68;11.78;du;11.65;11.78;0.31645900118546794;7.978437984881886;7.681263722354963
S;11.78;11.94;château;11.78;12.22;4.409139780035069;6.628288652147766;14.442606511635665
a;11.94;12.03;château;11.78;12.22;0.06570954301790954;3.1031053053590276;14.442606511635665
t;12.03;12.13;château;11.78;12.22;0.0099939483469352;4.489621295663808;14.442606511635665
o;12.13;12.22;château;11.78;12.22;0.0012908425700869548;3.023142861369349;14.442606511635665
p;12.22;12.32;pour;12.22;12.44;4.409139780035069;3.5300816532272266;6.98794199305955
u;12.32;12.38;pour;12.22;12.44;0.3111310643031198;1.6591072050158528;6.98794199305955
R;12.38;12.44;pour;12.22;12.44;0.08905575049548084;0.14609982660098528;6.98794199305955
p;12.44;12.53;pleurer;12.44;12.84;4.409139780035069;3.5300816532272266;13.837954245739837
l;12.53;12.65;pleurer;12.44;12.84;0.3111310643031198;4.481441229949785;13.837954245739837
2;12.65;12.69;pleurer;12.44;12.84;0.021980307155451583;4.6097124174294;13.837954245739837
R;12.69;12.8;pleurer;12.44;12.84;0.0016209773693062319;1.5099343166686268;13.837954245739837
e;12.8;12.84;pleurer;12.44;12.84;0.0013352832326578574;5.655954332292595;13.837954245739837
i;12.84;13.08;ils;12.84;13.24;4.409139780035069;5.083806629288414;8.196409154968887
l;13.08;13.12;ils;12.84;13.24;0.04637674414754396;5.529353029942596;8.196409154968887
z;13.12;13.24;ils;12.84;13.24;0.0016070931557069256;6.445594291341182;8.196409154968887
j;13.24;13.27;y;13.24;13.27;4.409139780035069;11.487059359955671;7.686763043039505
R;13.27;13.31;rencontrèrent;13.27;13.81;4.409139780035069;5.400144139330587;20.051629449975177
a~;13.31;13.43;rencontrèrent;13.27;13.81;0.09537290166016033;2.803010467340581;20.051629449975177
k;13.43;13.46;rencontrèrent;13.27;13.81;0.012996375768616541;2.2935850498391144;20.051629449975177
o~;13.46;13.57;rencontrèrent;13.27;13.81;0.003429213295012513;0.34144245404037593;20.051629449975177
