phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_number;entropy_class;word_freq_log
i;7.65;7.76;environ;7.42;8.06;0.005013702;3.009705003;55.55;2.4409668;15;-1;5.795715007
R;7.76;7.83;environ;7.42;8.06;0.001356717;1.669408313;55.55;2.4409668;15;-1;5.795715007
o~;7.83;8.06;environ;7.42;8.06;0.001183198;1.564115716;55.55;2.4409668;15;-1;5.795715007
a;8.06;8.14;après;8.06;8.47;4.40913978;3.794193288;787.6;3.4070537;16;-1;9.621319301
p;8.14;8.17;après;8.06;8.47;0.229004095;2.819440548;787.6;3.4070537;16;-1;9.621319301
R;8.17;8.29;après;8.06;8.47;0.036926711;0.408796955;787.6;3.4070537;16;-1;9.621319301
E;8.29;8.47;après;8.06;8.47;0.027556221;0.182910307;787.6;3.4070537;16;-1;9.621319301
n;8.47;8.5;notre;8.47;8.68;4.40913978;4.963258404;1023.03;3.6060984;17;-1;9.998632737
o;8.5;8.53;notre;8.47;8.68;0.294726155;8.234981654;1023.03;3.6060984;17;-1;9.998632737
t;8.53;8.59;notre;8.47;8.68;0.003018209;1.032649259;1023.03;3.6060984;17;-1;9.998632737
R;8.59;8.68;notre;8.47;8.68;0.002173603;0.825762434;1023.03;3.6060984;17;-1;9.998632737
d;8.68;8.75;départ;8.68;9.28;4.40913978;3.516593851;67.97;2.1753354;18;-1;6.086826218
e;8.75;8.88;départ;8.68;9.28;0.316459001;3.922555441;67.97;2.1753354;18;-1;6.086826218
p;8.88;8.98;départ;8.68;9.28;0.038216747;3.727316085;67.97;2.1753354;18;-1;6.086826218
a;8.98;9.23;départ;8.68;9.28;0.004433287;3.241314519;67.97;2.1753354;18;-1;6.086826218
R;9.23;9.28;départ;8.68;9.28;0.001290102;2.994613453;67.97;2.1753354;18;-1;6.086826218
l;9.67;9.72;le;9.67;9.82;4.40913978;3.75526016;16953.5;8.980401;19;1;14.04929552
@;9.72;9.82;le;9.67;9.82;0.225805434;0.827806902;16953.5;8.980401;19;1;14.04929552
b;9.82;9.85;baromètre;9.82;10.46;4.40913978;5.580931033;0.56;6.4832196;20;1;-0.836501268
a;9.85;9.97;baromètre;9.82;10.46;0.108661243;3.712846838;0.56;6.4832196;20;1;-0.836501268
R;9.97;10.03;baromètre;9.82;10.46;0.011490455;2.53864229;0.56;6.4832196;20;1;-0.836501268
o;10.03;10.12;baromètre;9.82;10.46;0.00259899;3.506267938;0.56;6.4832196;20;1;-0.836501268
m;10.12;10.2;baromètre;9.82;10.46;0.000840268;5.176714167;0.56;6.4832196;20;1;-0.836501268
E;10.2;10.35;baromètre;9.82;10.46;0.000834615;5.221634504;0.56;6.4832196;20;1;-0.836501268
t;10.35;10.41;baromètre;9.82;10.46;0.000833803;5.220117475;0.56;6.4832196;20;1;-0.836501268
