phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_number;entropy_class;word_freq_log
a;3.72;3.75;à;3.72;3.75;4.40913978;3.794193288;12190.4;3.2793326;15;-1;13.57345785
l;3.75;3.94;la;3.75;4.09499;4.40913978;3.75526016;16028.08;5.559074;16;1;13.968314
a;3.94;4.09499;la;3.75;4.09499;0.225805434;1.769352061;16028.08;5.559074;16;1;13.968314
f;4.09499;4.24998;famine;4.09499;4.62;4.40913978;5.119777021;4.4;2.51991;17;-1;2.137503524
a;4.24998;4.34;famine;4.09499;4.62;0.144351072;3.409569006;4.4;2.51991;17;-1;2.137503524
m;4.34;4.41;famine;4.09499;4.62;0.018750768;1.267303976;4.4;2.51991;17;-1;2.137503524
i;4.41;4.52;famine;4.09499;4.62;0.002171953;0.824614726;4.4;2.51991;17;-1;2.137503524
n;4.52;4.62;famine;4.09499;4.62;0.001928575;5.772634385;4.4;2.51991;17;-1;2.137503524
e;4.62;4.67;et;4.62;4.67;4.40913978;4.815820454;12909.08;3.6621134;18;-1;13.65609857
a;4.67;4.79;à;4.67;4.79;4.40913978;3.794193288;12190.4;1.7143399;19;-1;13.57345785
l;4.79;4.83;la;4.79;4.92;4.40913978;3.75526016;16028.08;4.8139777;20;-1;13.968314
a;4.83;4.92;la;4.79;4.92;0.225805434;1.769352061;16028.08;4.8139777;20;-1;13.968314
g;4.92;5.06;guerre;4.92;5.42;4.40913978;7.296423784;212.82;2.5499368;21;-1;7.733489926
E;5.06;5.31;guerre;4.92;5.42;0.03405562;4.74253599;212.82;2.5499368;21;-1;7.733489926
R;5.31;5.42;guerre;4.92;5.42;0.002148097;0.733914009;212.82;2.5499368;21;-1;7.733489926
e;5.5;5.58;et;5.5;5.58;4.40913978;4.815820454;12909.08;5.7386103;22;1;13.65609857
d;5.58;5.62;dont;5.58;5.74;4.40913978;3.516593851;223.42;3.54338;23;-1;7.803614528
o~;5.62;5.74;dont;5.58;5.74;0.316459001;5.108237199;223.42;3.54338;23;-1;7.803614528
l;5.74;5.77;le;5.74;5.81;4.40913978;3.75526016;16953.5;6.614622;24;1;14.04929552
@;5.77;5.81;le;5.74;5.81;0.225805434;0.827806902;16953.5;6.614622;24;1;14.04929552
R;5.81;5.89;roi;5.81;6.04;4.40913978;5.400144139;166.9;7.724127;25;1;7.382840144
w;5.89;6;roi;5.81;6.04;0.095372902;7.897322039;166.9;7.724127;25;1;7.382840144
a;6;6.04;roi;5.81;6.04;0.001427553;0.976046416;166.9;7.724127;25;1;7.382840144
s;6.04;6.15;se;6.04;6.21;4.40913978;3.649530069;2813.77;7.257235;26;1;11.45828869
@;6.15;6.21;se;6.04;6.21;0.279602377;3.156702399;2813.77;7.257235;26;1;11.45828869
k;6.21;6.24;croyait;6.21;6.51;4.40913978;4.296214188;22.86;7.356249;27;1;4.514753498
R;6.24;6.29;croyait;6.21;6.51;0.385222146;5.200267484;22.86;7.356249;27;1;4.514753498
w;6.29;6.33;croyait;6.21;6.51;0.018184627;1.22546268;22.86;7.356249;27;1;4.514753498
a;6.33;6.37;croyait;6.21;6.51;0.007683079;0.091979342;22.86;7.356249;27;1;4.514753498
j;6.37;6.47;croyait;6.21;6.51;0.008491089;1.318904071;22.86;7.356249;27;1;4.514753498
E;6.47;6.51;croyait;6.21;6.51;0.004375326;2.016492835;22.86;7.356249;27;1;4.514753498
