phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_number;entropy_class;word_freq_log
i;0.01;0.11;Il;0.01;0.11;4.40913978;5.083806629;13223.34;6.873826;1;1;13.690799
e;0.11;0.19;était;0.11;0.3;4.40913978;4.815820454;2707.56;8.476179;2;1;11.40277759
t;0.19;0.24;était;0.11;0.3;0.111947176;0.264481323;2707.56;8.476179;2;1;11.40277759
E;0.24;0.3;était;0.11;0.3;0.088753609;0.101342875;2707.56;8.476179;2;1;11.40277759
y;0.3;0.43;une;0.3;0.46;4.40913978;6.506829788;8133.53;0.5101742;3;-1;12.98966591
n;0.43;0.46;une;0.3;0.46;0.008059297;1.826414231;8133.53;0.5101742;3;-1;12.98966591
f;0.46;0.63;fois;0.46;0.71;4.40913978;5.119777021;899.25;4.6805477;4;-1;9.812578444
w;0.63;0.67;fois;0.46;0.71;0.144351072;1.981674478;899.25;4.6805477;4;-1;9.812578444
a;0.67;0.71;fois;0.46;0.71;0.032727548;0.01523375;899.25;4.6805477;4;-1;9.812578444
9~;0.71;0.79;un;0.71;0.79;4.40913978;6.148275263;12685.55;8.596155;5;1;13.63089845
R;0.79;0.98;roi;0.79;1.16;4.40913978;5.400144139;166.9;7.2030735;6;1;7.382840144
w;0.98;1.13;roi;0.79;1.16;0.095372902;7.897322039;166.9;7.2030735;6;1;7.382840144
a;1.13;1.16;roi;0.79;1.16;0.001427553;0.976046416;166.9;7.2030735;6;1;7.382840144
k;1.16;1.23;qui;1.16;1.31;4.40913978;4.296214188;5516.52;7.3028116;7;1;12.42954274
i;1.23;1.31;qui;1.16;1.31;0.385222146;1.539033052;5516.52;7.3028116;7;1;12.42954274
t;1.31;1.38;tomba;1.31;1.63;4.40913978;3.997456219;4.17;3.749255;8;-1;2.060047384
o~;1.38;1.42;tomba;1.31;1.63;0.180107962;6.919973455;4.17;3.749255;8;-1;2.060047384
b;1.42;1.55;tomba;1.31;1.63;0.003071977;0.347698084;4.17;3.749255;8;-1;2.060047384
a;1.55;1.63;tomba;1.31;1.63;0.002524742;4.383741798;4.17;3.749255;8;-1;2.060047384
m;1.63;1.7;malade;1.63;2.16;4.40913978;4.216572461;173.17;4.496436;9;-1;7.436045209
a;1.7;1.76;malade;1.63;2.16;0.209376202;3.509233286;173.17;4.496436;9;-1;7.436045209
l;1.76;1.86;malade;1.63;2.16;0.025324652;2.756273581;173.17;4.496436;9;-1;7.436045209
a;1.86;2;malade;1.63;2.16;0.005171052;1.828245893;173.17;4.496436;9;-1;7.436045209
d;2;2.16;malade;1.63;2.16;0.002138272;0.574215584;173.17;4.496436;9;-1;7.436045209
e;2.65;2.71;et;2.65;2.71;4.40913978;4.815820454;12909.08;4.401873;10;-1;13.65609857
p;2.71;2.79;personne;2.71;3.14;4.40913978;3.530081653;768.56;1.89287;11;-1;9.586014083
E;2.79;2.83;personne;2.71;3.14;0.311131064;4.618915032;768.56;1.89287;11;-1;9.586014083
R;2.83;2.91;personne;2.71;3.14;0.018482107;0.530819272;768.56;1.89287;11;-1;9.586014083
s;2.91;2.99;personne;2.71;3.14;0.013304666;1.443260207;768.56;1.89287;11;-1;9.586014083
O;2.99;3.06;personne;2.71;3.14;0.005792806;0.856566951;768.56;1.89287;11;-1;9.586014083
n;3.06;3.14;personne;2.71;3.14;0.003651735;0.231476337;768.56;1.89287;11;-1;9.586014083
n;3.14;3.18;ne;3.14;3.24;4.40913978;4.963258404;13357.03;5.0463367;12;-1;13.70531163
@;3.18;3.24;ne;3.14;3.24;0.294726155;1.655798914;13357.03;5.0463367;12;-1;13.70531163
k;3.24;3.29;croyait;3.24;3.59;4.40913978;4.296214188;22.86;3.7444417;13;-1;4.514753498
R;3.29;3.35;croyait;3.24;3.59;0.385222146;5.200267484;22.86;3.7444417;13;-1;4.514753498
w;3.35;3.4;croyait;3.24;3.59;0.018184627;1.22546268;22.86;3.7444417;13;-1;4.514753498
a;3.4;3.43;croyait;3.24;3.59;0.007683079;0.091979342;22.86;3.7444417;13;-1;4.514753498
j;3.43;3.54;croyait;3.24;3.59;0.008491089;1.318904071;22.86;3.7444417;13;-1;4.514753498
E;3.54;3.59;croyait;3.24;3.59;0.004375326;2.016492835;22.86;3.7444417;13;-1;4.514753498
k;3.59;3.67;qu’il;3.59;3.76;4.40913978;4.296214188;1.11E-06;6.554238;14;1;9.0073
y;3.67;3.7;qu’il;3.59;3.76;0.385222146;8.334905209;1.11E-06;6.554238;14;1;9.0073
i;3.7;3.73;qu’il;3.59;3.76;0.003013154;7.474273788;1.11E-06;6.554238;14;1;9.0073
j;3.73;3.76;qu’il;3.59;3.76;0.000833396;5.247927513;1.11E-06;6.554238;14;1;9.0073
p;3.76;3.87;pût;3.76;3.93;4.40913978;3.530081653;0.5;6.3405814;15;1;-1
y;3.87;3.93;pût;3.76;3.93;0.311131064;7.320677527;0.5;6.3405814;15;1;-1
k;3.93;4.01;conserver;3.93;4.54;4.40913978;4.296214188;5.39;4.8235035;16;-1;2.430285273
o~;4.01;4.1;conserver;3.93;4.54;0.385222146;3.85505149;5.39;4.8235035;16;-1;2.430285273
s;4.1;4.21;conserver;3.93;4.54;0.040221978;3.040724716;5.39;4.8235035;16;-1;2.430285273
E;4.21;4.27;conserver;3.93;4.54;0.006938213;1.360721596;5.39;4.8235035;16;-1;2.430285273
R;4.27;4.38;conserver;3.93;4.54;0.003414464;1.634380186;5.39;4.8235035;16;-1;2.430285273
v;4.38;4.45;conserver;3.93;4.54;0.001756888;2.290083227;5.39;4.8235035;16;-1;2.430285273
e;4.45;4.54;conserver;3.93;4.54;0.001018908;3.32132433;5.39;4.8235035;16;-1;2.430285273
l;4.54;4.66;la;4.54;4.69;4.40913978;3.75526016;16028.08;5.373342;17;1;13.968314
a;4.66;4.69;la;4.54;4.69;0.225805434;1.769352061;16028.08;5.373342;17;1;13.968314
v;4.69;4.76;vie;4.69;4.89;4.40913978;4.287664674;986.59;4.2989216;18;-1;9.946306854
i;4.76;4.89;vie;4.69;4.89;0.427622993;4.895406209;986.59;4.2989216;18;-1;9.946306854
s;5.96;6.07;Ce;5.96;6.07;4.40913978;3.649530069;7958.35;7.136862;19;1;12.95825363
R;6.07;6.19;roi;6.07;6.37;4.40913978;5.400144139;166.9;7.0734825;20;1;7.382840144
w;6.19;6.26;roi;6.07;6.37;0.095372902;7.897322039;166.9;7.0734825;20;1;7.382840144
a;6.26;6.37;roi;6.07;6.37;0.001427553;0.976046416;166.9;7.0734825;20;1;7.382840144
a;6.37;6.46;avait;6.37;6.56;4.40913978;3.794193288;992.35;7.8165307;21;1;9.954705236
v;6.46;6.5;avait;6.37;6.56;0.229004095;1.66065416;992.35;7.8165307;21;1;9.954705236
E;6.5;6.56;avait;6.37;6.56;0.067890681;0.228340635;992.35;7.8165307;21;1;9.954705236
t;6.56;6.64;trois;6.56;6.83;4.40913978;3.997456219;380.8;5.0370746;22;-1;8.572889668
R;6.64;6.69;trois;6.56;6.83;0.180107962;1.002245635;380.8;5.0370746;22;-1;8.572889668
w;6.69;6.78;trois;6.56;6.83;0.090210578;4.601997795;380.8;5.0370746;22;-1;8.572889668
a;6.78;6.83;trois;6.56;6.83;0.006056392;0.119469909;380.8;5.0370746;22;-1;8.572889668
f;6.83;6.97;fils;6.83;7.1;4.40913978;5.119777021;493.24;3.9982781;23;-1;8.946145992
i;6.97;7.1;fils;6.83;7.1;0.144351072;1.898386024;493.24;3.9982781;23;-1;8.946145992
k;7.25;7.31;qui;7.25;7.38;4.40913978;4.296214188;5516.52;6.540785;24;1;12.42954274
i;7.31;7.38;qui;7.25;7.38;0.385222146;1.539033052;5516.52;6.540785;24;1;12.42954274
a~;7.38;7.51;en;7.38;7.51;4.40913978;5.557861127;9398.98;6.6184087;25;1;13.19828849
R;7.51;7.58;ressentirent;7.51;8.13;4.40913978;5.400144139;1.11E-06;4.6013365;26;-1;9.0073
@;7.58;7.61;ressentirent;7.51;8.13;0.095372902;1.461369202;1.11E-06;4.6013365;26;-1;9.0073
s;7.61;7.72;ressentirent;7.51;8.13;0.042617362;3.507766106;1.11E-06;4.6013365;26;-1;9.0073
a~;7.72;7.81;ressentirent;7.51;8.13;0.005279471;1.415980831;1.11E-06;4.6013365;26;-1;9.0073
t;7.81;7.93;ressentirent;7.51;8.13;0.002550915;2.360074314;1.11E-06;4.6013365;26;-1;9.0073
i;7.93;7.99;ressentirent;7.51;8.13;0.001319094;2.116584343;1.11E-06;4.6013365;26;-1;9.0073
R;7.99;8.13;ressentirent;7.51;8.13;0.001043466;2.084133822;1.11E-06;4.6013365;26;-1;9.0073
9~;8.13;8.19;un;8.13;8.19;4.40913978;6.148275263;12685.55;6.676794;27;1;13.63089845
v;8.19;8.24;vif;8.19;8.5;4.40913978;4.287664674;11.47;4.164058;28;-1;3.519793486
i;8.24;8.39;vif;8.19;8.5;0.427622993;4.895406209;11.47;4.164058;28;-1;3.519793486
f;8.39;8.5;vif;8.19;8.5;0.028855762;8.352203856;11.47;4.164058;28;-1;3.519793486
S;8.5;8.65;chagrin;8.5;9.03;4.40913978;6.628288652;22.06;3.0327415;29;-1;4.463360886
a;8.65;8.73;chagrin;8.5;9.03;0.065709543;3.103105305;22.06;3.0327415;29;-1;4.463360886
g;8.73;8.8;chagrin;8.5;9.03;0.009993948;7.441632662;22.06;3.0327415;29;-1;4.463360886
R;8.8;8.9;chagrin;8.5;9.03;0.000891315;3.35570808;22.06;3.0327415;29;-1;4.463360886
9~;8.9;9.03;chagrin;8.5;9.03;0.000891455;3.567131801;22.06;3.0327415;29;-1;4.463360886
e;9.37;9.4;et;9.37;9.4;4.40913978;4.815820454;12909.08;6.4068856;30;1;13.65609857
k;10.47;10.56;comme;10.47;10.66;4.40913978;4.296214188;2903.72;7.5693016;31;1;11.50368663
O;10.56;10.6;comme;10.47;10.66;0.385222146;2.674076074;2903.72;7.5693016;31;1;11.50368663
m;10.6;10.66;comme;10.47;10.66;0.061112687;0.044440312;2903.72;7.5693016;31;1;11.50368663
i;10.66;10.76;ils;10.66;10.88;4.40913978;5.083806629;3075.07;6.4287634;32;1;11.58640354
l;10.76;10.79;ils;10.66;10.88;0.046376744;5.52935303;3075.07;6.4287634;32;1;11.58640354
z;10.79;10.88;ils;10.66;10.88;0.001607093;6.445594291;3075.07;6.4287634;32;1;11.58640354
