phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq
@;6.22;6.26;anderen;5.98;6.26;0.016729142618113018;1.205996552709033;12.464429143254144
k;6.26;6.36;kolenbrander;6.26;7.07;4.483571098705468;4.803206420928256;NAN
o:;6.36;6.51;kolenbrander;6.26;7.07;0.18198847581797384;4.43676880130151;NAN
l;6.51;6.54;kolenbrander;6.26;7.07;0.01256189712788457;3.2606616371601884;NAN
@;6.54;6.57;kolenbrander;6.26;7.07;0.002101677553260595;3.3981555606799985;NAN
b;6.57;6.65;kolenbrander;6.26;7.07;0.0008741656260481371;5.3091964563721055;NAN
r;6.65;6.69;kolenbrander;6.26;7.07;0.0008006940602557404;5.288783038968186;NAN
A;6.69;6.82;kolenbrander;6.26;7.07;0.0007989615837472102;5.285402218862248;NAN
n;6.82;6.87;kolenbrander;6.26;7.07;0.0007989615837472102;5.285402218862248;NAN
d;6.87;6.95;kolenbrander;6.26;7.07;0.0007989615837472102;5.285402218862248;NAN
@;6.95;7.07;kolenbrander;6.26;7.07;0.0007989615837472102;5.285402218862248;NAN
d;7.07;7.13;die;7.07;7.18;4.483571098705468;3.3458377164999593;7.074230793222043
i;7.13;7.18;die;7.07;7.18;0.22678006925983496;4.884738689942096;7.074230793222043
b;7.18;7.25;bij;7.18;7.46;4.483571098705468;4.642635153594779;8.620958256571136
Ei;7.25;7.46;bij;7.18;7.46;0.19463427520225487;4.895575048821243;8.620958256571136
t;7.46;7.5;het;7.46;7.5;4.483571098705468;5.057095733487645;5.312395807632838
f;7.5;7.6;vuur;7.5;7.72;4.483571098705468;7.950002850545294;13.236779244816988
y;7.6;7.69;vuur;7.5;7.72;0.04092170923077619;7.561261287083937;13.236779244816988
r;7.69;7.72;vuur;7.5;7.72;0.0010858294705325105;3.413813552643701;13.236779244816988
z;7.72;7.79;zijn;7.72;7.85;4.483571098705468;4.235657497565434;6.928835288022308
@;7.79;7.82;zijn;7.72;7.85;0.28725579252042865;1.8637989448166465;6.928835288022308
n;7.82;7.85;zijn;7.72;7.85;0.0008250788958054296;5.336104825448103;6.928835288022308
a:;7.85;8.02;avondmaal;7.85;8.36;4.483571098705468;6.962709981974043;18.625182993756503
f;8.02;8.07;avondmaal;7.85;8.36;0.07052116705366361;7.670106021764077;18.625182993756503
O;8.07;8.1;avondmaal;7.85;8.36;0.001334534719332416;6.220763317480115;18.625182993756503
n;8.1;8.14;avondmaal;7.85;8.36;0.0007989615837472102;5.285402218862248;18.625182993756503
d;8.14;8.17;avondmaal;7.85;8.36;0.0007989615837472102;5.285402218862248;18.625182993756503
m;8.17;8.21;avondmaal;7.85;8.36;0.0007989615837472102;5.285402218862248;18.625182993756503
A;8.21;8.33;avondmaal;7.85;8.36;0.0007989615837472102;5.285402218862248;18.625182993756503
