,onset,offset,words
245,73.72,74.06,partout
246,74.06,74.2,de
247,74.2,74.49499,riches
248,74.49499,75.08,fleurs
249,75.08,75.46,
250,75.46,75.64,sans
251,75.64,76.15,mépriser
252,76.15,76.3,la
253,76.3,76.94,dent-de-lion
254,76.94,77.1,si
255,77.1,77.48,souvent
256,77.48,78.19,dédaignée
257,78.19,78.62,
258,78.62,78.83,ni
259,78.83,78.98,la
260,78.98,79.3,pensée
261,79.3,79.96,sauvage
262,79.96,81.05,
263,81.05,81.19,Nous
264,81.19,81.42,avons
265,81.42,81.65,assez
266,81.65,81.76,de
267,81.76,82.13,fleurs
268,82.13,82.77,maintenant
269,82.77,83.1,
270,83.1,83.32,dit
271,83.32,83.36,l’
272,83.36,83.85,enfant
273,83.85,84.48,
274,84.48,84.6,et
275,84.6,84.66,l’
276,84.66,84.96,ange
277,84.96,85.14499,fit
278,85.14499,85.27998,un
279,85.27998,85.59,signe
280,85.59,85.68,d’
281,85.68,86.32,assentiment
282,86.32,86.85,
283,86.85,87.07,mais
284,87.07,87.12,ils
285,87.12,87.27,ne
286,87.27,87.54,volèrent
287,87.54,87.76,pas
288,87.76,88.08,encore
289,88.08,88.29,vers
290,88.29,88.67,Dieu
291,88.67,89.92,
292,89.92,90.26,Déjà
293,90.26,90.4,il
294,90.4,90.68,faisait
295,90.68,91.05,nuit
296,91.05,91.43,
297,91.43,91.85,partout
298,91.85,92.22499,régnait
299,92.22499,92.33998,un
300,92.33998,92.68,profond
301,92.68,93.42,silence
302,93.42,93.97,
303,93.97,94.1,ils
304,94.1,94.49,passaient
305,94.49,94.87,au-dessus
306,94.87,94.92,d’
307,94.92,95.11,une
308,95.11,95.39,petite
309,95.39,95.52,rue
310,95.52,95.99,sombre
311,95.99,96.16,et
312,96.16,96.66,étroite
313,96.66,96.96,
314,96.96,97.41,remplie
315,97.41,97.47,d’
316,97.47,97.63,un
317,97.63,97.89,amas
318,97.89,98.06,de
319,98.06,98.38,vieille
320,98.38,98.85,paille
321,98.85,99.22,
322,99.22,99.33,de
323,99.33,99.83,cendres
324,99.83,99.89,et
325,99.89,100.03,de
326,100.03,100.78,balayures
327,100.78,101.54,
328,101.54,101.87,C’était
329,101.87,101.98,le
330,101.98,102.29,jour
331,102.29,102.41,des
332,102.41,103.09,déménagements
333,103.09,103.69,
334,103.69,103.88,toutes
335,103.88,104.14,ces
336,104.14,104.44,assiettes
337,104.44,105.14,brisées
338,105.14,105.4,
339,105.4,105.55,tous
340,105.55,105.74,ces
341,105.74,106.17,morceaux
342,106.17,106.28,de
343,106.28,106.77,statues
344,106.77,106.97,en
345,106.97,107.44,plâtre
346,107.44,107.75,
347,107.75,107.89,tous
348,107.89,108.13,ces
349,108.13,108.6,haillons
350,108.6,108.66,
351,108.66,109.08,offraient
352,109.08,109.19,un
353,109.19,109.53,aspect
354,109.53,109.66,peu
355,109.66,110.42,agréable
356,110.42,111.38,
357,111.38,111.46,Et
358,111.46,111.52,l’
359,111.52,111.8,ange
360,111.8,112.23,montra
361,112.23,112.29,à
362,112.29,112.32,l’
363,112.32,112.89,enfant
364,112.89,113.25,
365,113.25,113.33,au
366,113.33,113.71,milieu
367,113.71,113.82,de
368,113.82,113.98,ces
369,113.98,114.51,débris
370,114.51,114.8,
371,114.8,115.11,quelques
372,115.11,115.52,fragments
373,115.52,115.59,
374,115.59,115.63,d’
375,115.63,115.78,un
376,115.78,115.9,pot
377,115.9,116.0,de
378,116.0,116.55,fleurs
379,116.55,117.43,
380,117.43,117.6,une
381,117.6,117.94,motte
382,117.94,118.01,
383,118.01,118.11,de
384,118.11,118.5,terre
385,118.5,118.57,
386,118.57,118.72,s’en
387,118.72,118.9,était
388,118.9,119.61,détachée
389,119.61,119.83,
390,119.83,119.91,à
391,119.91,120.29,laquelle
392,120.29,120.6,tenaient
393,120.6,120.93,encore
394,120.93,121.1,les
395,121.1,121.63,racines
396,121.63,121.66,d’
397,121.66,121.8,une
398,121.8,122.15,grande
399,122.15,122.47,fleur
400,122.47,122.63,des
401,122.63,123.03,champs
402,123.03,123.41,
403,123.41,124.12,fanée
404,124.12,124.28,
405,124.28,124.38,et
406,124.38,124.9,jetée
407,124.9,125.04,au
408,125.04,125.46,rebut
409,125.46,126.81,
410,126.81,127.62,Emportons-la
411,127.62,128.07,
412,128.07,128.32,dit
413,128.32,128.36,l’
414,128.36,128.81,ange
415,128.81,129.38,
416,129.38,129.49,en
417,129.49,129.69,nous
418,129.69,130.15,envolant
419,130.15,130.27,je
420,130.27,130.4,te
421,130.4,130.69,dirai
422,130.69,131.19,pourquoi
423,131.19,132.52,
424,132.52,132.78,Ils
425,132.78,133.17,s’élevèrent
426,133.17,133.32,dans
427,133.32,133.41,l’
428,133.41,133.78,air
429,133.78,134.14,
430,134.14,134.26,et
431,134.26,134.31,l’
432,134.31,134.67,ange
433,134.67,134.9,fit
434,134.9,135.09,ce
435,135.09,135.54,récit
436,135.54,136.46,
437,136.46,136.92,Là-bas
438,136.92,137.24,
439,137.24,137.41,dans
440,137.41,137.61,cette
441,137.61,137.74,rue
442,137.74,138.23,sombre
443,138.23,138.49,
444,138.49,138.73,dans
445,138.73,138.84,une
446,138.84,139.16,espèce
447,139.16,139.29,de
448,139.29,139.71,cave
449,139.71,140.13,
450,140.13,140.53,demeurait
451,140.53,140.73,un
452,140.73,141.03,pauvre
453,141.03,141.29,petit
454,141.29,141.7,garçon
455,141.7,142.23,malade
456,142.23,143.13,
457,143.13,143.27,Dès
458,143.27,143.43,sa
459,143.43,143.59,plus
460,143.59,143.89,tendre
461,143.89,144.55,enfance
462,144.55,144.76,
463,144.76,144.96,il
464,144.96,145.18,était
465,145.18,145.75,alité
466,145.75,146.62,
467,146.62,147.16,Parfois
468,147.16,147.53,lorsqu’il
469,147.53,147.67,se
470,147.67,148.02,sentait
471,148.02,148.36,mieux
472,148.36,148.69,
473,148.69,148.81,il
474,148.81,149.1,faisait
475,149.1,149.19,le
476,149.19,149.46,tour
477,149.46,149.53,de
478,149.53,149.67,la
479,149.67,150.12,chambre
480,150.12,150.18,à
481,150.18,150.24,l’
482,150.24,150.34,aide
483,150.34,150.51,de
484,150.51,151.12,béquilles
485,151.12,151.42,
486,151.42,151.56,et
487,151.56,151.84,c’était
488,151.84,152.11,tout
489,152.11,153.27,
490,153.27,153.45,En
491,153.45,153.99,été
492,153.99,154.29,
493,154.29,154.47,les
494,154.47,154.76,rayons
495,154.76,154.84,du
496,154.84,155.22499,soleil
497,155.22499,155.5,venaient
498,155.5,155.62,de
499,155.62,155.87,temps
500,155.87,156.02,en
501,156.02,156.18,temps
502,156.18,156.65,éclairer
503,156.65,156.9,cette
504,156.9,157.46,misérable
505,157.46,157.52,
506,157.52,158.11,demeure
507,158.11,158.49,
508,158.49,158.64,et
509,158.64,158.96,alors
510,158.96,159.06,le
511,159.06,159.32,petit
512,159.32,159.73,garçon
513,159.73,159.86,se
514,159.86,160.39,réchauffait
515,160.39,160.45,au
516,160.45,160.95,soleil
517,160.95,161.43,
518,161.43,161.92,regardait
519,161.92,162.03,le
520,162.03,162.34,sang
521,162.34,162.73499,rouge
522,162.73499,163.32,circuler
523,163.32,163.45,dans
524,163.45,163.63,ses
525,163.63,163.87,doigts
526,163.87,164.42,délicats
527,164.42,164.46,et
528,164.46,165.14,diaphanes
529,165.14,165.51,
530,165.51,165.67,en
531,165.67,166.19,disant
532,166.19,166.97,
533,166.97,167.77,Aujourd’hui
534,167.77,168.04,
535,168.04,168.34,Dieu
536,168.34,168.9,merci
537,168.9,169.18,
538,169.18,169.43,j’ai
539,169.43,169.54,pu
540,169.54,170.23,sortir
541,170.23,171.55,
542,171.55,171.73,Il
543,171.73,171.79,ne
544,171.79,172.22,connaissait
545,172.22,172.33,la
546,172.33,172.8,magnifique
547,172.8,173.2,verdure
548,173.2,173.28,de
549,173.28,173.42,la
550,173.42,173.91,forêt
551,173.91,174.1,que
552,174.1,174.3,par
553,174.3,174.48,une
554,174.48,174.89,branche
555,174.89,174.99,de
556,174.99,175.44,hêtre
557,175.44,175.61,
558,175.61,175.74,que
559,175.74,175.86,le
560,175.86,176.14,fils
561,176.14,176.27,du
562,176.27,176.67,voisin
563,176.67,176.8,lui
564,176.8,177.03,avait
565,177.03,177.6,apportée
566,177.6,178.59,
567,178.59,178.73,Il
568,178.73,179.02,tenait
569,179.02,179.29,cette
570,179.29,179.67,branche
571,179.67,180.01,au-dessus
572,180.01,180.12,de
573,180.12,180.36,sa
574,180.36,180.72,tête
575,180.72,181.09,
576,181.09,181.27,et
577,181.27,181.33,il
578,181.33,181.46,lui
579,181.46,181.88,semblait
580,181.88,182.29,ainsi
581,182.29,182.43,se
582,182.43,182.99,reposer
583,182.99,183.17,sous
584,183.17,183.33,les
585,183.33,183.61,grands
586,183.61,184.01,arbres
587,184.01,184.38,
588,184.38,184.68,ayant
589,184.68,184.76,le
590,184.76,185.16,soleil
591,185.16,185.25,en
592,185.25,186.1,perspective
593,186.1,186.55,
594,186.55,186.67,et
595,186.67,186.85,pour
596,186.85,187.28,musique
597,187.28,187.43,le
598,187.43,187.7,chant
599,187.7,188.28,délicieux
600,188.28,188.43,de
601,188.43,188.65,mille
602,188.65,188.98,petits
603,188.98,189.03,
604,189.03,189.44,oiseaux
605,189.44,190.47,
606,190.47,190.62,Un
607,190.62,190.83,jour
608,190.83,190.95,de
609,190.95,191.57,printemps
610,191.57,191.91,
611,191.91,192.02,le
612,192.02,192.32,fils
613,192.32,192.43,du
614,192.43,192.77,voisin
615,192.77,192.9,lui
616,192.9,193.26,apporta
617,193.26,193.52,aussi
618,193.52,193.79,quelques
619,193.79,194.06,fleurs
620,194.06,194.17,des
621,194.17,194.52,champs
622,194.52,195.12,
623,195.12,195.34,dont
624,195.34,195.37,l’
625,195.37,195.6,une
626,195.6,195.66,
627,195.66,195.75,par
628,195.75,196.68,hasard
629,196.68,196.95,
630,196.95,197.21,avait
631,197.21,197.56,encore
632,197.56,197.74,ses
633,197.74,198.31,racines
634,198.31,199.32,
635,199.32,199.44,Elle
636,199.44,199.66,fut
637,199.66,199.98,plantée
638,199.98,200.18,dans
639,200.18,200.41,un
640,200.41,200.74,pot
641,200.74,201.1,
642,201.1,201.23,et
643,201.23,201.62,placée
644,201.62,201.81,sur
645,201.81,201.93,la
646,201.93,202.49,fenêtre
647,202.49,202.61,
648,202.61,202.9,près
649,202.9,203.03,du
650,203.03,203.43,lit
651,203.43,204.18,
652,204.18,204.68,Plantée
653,204.68,204.88,par
654,204.88,205.01,une
655,205.01,205.27,main
656,205.27,205.9,heureuse
657,205.9,206.19,
658,206.19,206.37,elle
659,206.37,206.75,poussa
660,206.75,206.86,des
