,onset,offset,words
251,68.51,68.85,nain
252,68.85,68.95,au
253,68.95,69.24,bord
254,69.24,69.35,du
255,69.35,69.86,chemin
256,69.86,70.15,
257,70.15,70.33,qui
258,70.33,70.47,lui
259,70.47,71.12,cria
260,71.12,71.57,
261,71.57,71.71,Où
262,71.71,72.07,allez-vous
263,72.07,72.32,si
264,72.32,72.62,vite
265,72.62,73.41,
266,73.41,73.97,Petit
267,73.97,74.64,nabot
268,74.64,74.96,
269,74.96,75.47,répartit
270,75.47,75.91,fièrement
271,75.91,76.03,le
272,76.03,76.7,prince
273,76.7,76.98,
274,76.98,77.11,tu
275,77.11,77.17,
276,77.17,77.32,n’as
277,77.32,77.45,pas
278,77.45,77.86,besoin
279,77.86,77.89,de
280,77.89,78.04,le
281,78.04,78.7,savoir
282,78.7,79.38,
283,79.38,79.55,Et
284,79.55,79.61,il
285,79.61,80.08,continua
286,80.08,80.29,sa
287,80.29,80.58,route
288,80.58,81.43,
289,81.43,81.73,Mais
290,81.73,81.84,le
291,81.84,82.21499,petit
292,82.21499,82.4,homme
293,82.4,82.48,
294,82.48,82.68,s’était
295,82.68,83.38,fâché
296,83.38,83.5,
297,83.5,83.54,et
298,83.54,83.73,avait
299,83.73,84.23,prononcé
300,84.23,84.36,un
301,84.36,84.61,vœu
302,84.61,85.31,malveillant
303,85.31,86.22,
304,86.22,86.28,Le
305,86.28,86.62,prince
306,86.62,87.01,arriva
307,87.01,87.19,dans
308,87.19,87.26,un
309,87.26,87.84,ravin
310,87.84,88.12,
311,88.12,88.29,et
312,88.29,88.66,plus
313,88.66,88.87,il
314,88.87,89.3,allait
315,89.3,89.59,
316,89.59,89.84,plus
317,89.84,89.95,les
318,89.95,90.44,montagnes
319,90.44,90.6,se
320,90.6,91.41,resserraient
321,91.41,91.92,
322,91.92,92.46,Enfin
323,92.46,92.7,
324,92.7,92.77,la
325,92.77,92.95,route
326,92.95,93.31,devint
327,93.31,93.64,tellement
328,93.64,93.99,étroite
329,93.99,94.17,qu’il
330,94.17,94.29,ne
331,94.29,94.49,put
332,94.49,94.89,avancer
333,94.89,95.35,davantage
334,95.35,95.66,avec
335,95.66,95.83,son
336,95.83,96.35,cheval
337,96.35,96.69,
338,96.69,96.77,et
339,96.77,96.95,qu’il
340,96.95,97.06,ne
341,97.06,97.23,put
342,97.23,97.48,en
343,97.48,97.62,
344,97.62,98.23,descendre
345,98.23,98.3,non
346,98.3,98.39,plus
347,98.39,98.46,
348,98.46,98.66,si
349,98.66,98.88,bien
350,98.88,99.07,qu’il
351,99.07,99.43,demeura
352,99.43,99.78,ainsi
353,99.78,100.51,emprisonné
354,100.51,101.56,
355,101.56,101.62,Le
356,101.62,101.81,roi
357,101.81,102.27,malade
358,102.27,102.3,l’
359,102.3,102.71,attendait
360,102.71,103.08,toujours
361,103.08,103.16,mais
362,103.16,103.59,
363,103.59,103.74,il
364,103.74,103.87,ne
365,103.87,104.53,reparaissait
366,104.53,104.76,pas
367,104.76,105.48,
368,105.48,105.77,Alors
369,105.77,105.86,le
370,105.86,106.22,second
371,106.22,106.62,fils
372,106.62,106.97,dit
373,106.97,108.05,
374,108.05,108.14,Je
375,108.14,108.27,m’en
376,108.27,108.49,vais
377,108.49,108.66,aller
378,108.66,108.75,à
379,108.75,108.85,la
380,108.85,109.26,recherche
381,109.26,109.33,de
382,109.33,109.66,cette
383,109.66,109.86,eau
384,109.86,110.44,
385,110.44,110.49,Et
386,110.49,110.76,il
387,110.76,111.4,pensait
388,111.4,112.16,
389,112.16,112.46,Cela
390,112.46,112.73,m’irait
391,112.73,113.17,fort
392,113.17,113.26,que
393,113.26,113.39,mon
394,113.39,113.72,frère
395,113.72,113.9,fût
396,113.9,114.24,mort
397,114.24,114.54,
398,114.54,114.72,car
