,onset,offset,words
0,0.0,0.04,
1,0.04,0.26,Puis
2,0.26,0.41,ils
3,0.41,0.5,
4,0.5,0.6,s’en
5,0.6,0.85,furent
6,0.85,1.01,tous
7,1.01,1.22,trois
8,1.22,1.88,ensemble
9,1.88,2.07,
10,2.07,2.18,et
11,2.18,2.58,parvinrent
12,2.58,2.75,dans
13,2.75,2.86,un
14,2.86,3.18,pays
15,3.18,3.31,en
16,3.31,3.72,proie
17,3.72,3.75,à
18,3.75,4.09499,la
19,4.09499,4.62,famine
20,4.62,4.67,et
21,4.67,4.79,à
22,4.79,4.92,la
23,4.92,5.42,guerre
24,5.42,5.5,
25,5.5,5.58,et
26,5.58,5.74,dont
27,5.74,5.81,le
28,5.81,6.04,roi
29,6.04,6.21,se
30,6.21,6.51,croyait
31,6.51,6.79,déjà
32,6.79,6.98,près
33,6.98,7.01,de
34,7.01,7.52,succomber
35,7.52,7.67,dans
36,7.67,7.74,ce
37,7.74,8.26,péril
38,8.26,8.51,
39,8.51,8.58,Le
40,8.58,8.91,prince
41,8.91,9.04,alla
42,9.04,9.31,chez
43,9.31,9.4,lui
44,9.4,9.93,aussitôt
45,9.93,9.99,et
46,9.99,10.19,lui
47,10.19,10.49,donna
48,10.49,10.65,le
49,10.65,10.84,pain
50,10.84,11.08,avec
51,11.08,11.37,lequel
52,11.37,11.57,fut
53,11.57,11.62,
54,11.62,12.02,apaisée
55,12.02,12.13,la
56,12.13,12.61,faim
57,12.61,12.75,de
58,12.75,12.88,tout
59,12.88,12.91,le
60,12.91,13.56,royaume
61,13.56,13.85,
62,13.85,14.29,ensuite
63,14.29,14.43,
64,14.43,14.49,il
65,14.49,14.69,lui
66,14.69,14.91,donna
67,14.91,15.19,son
68,15.19,15.52,épée
69,15.52,15.62,et
70,15.62,15.79,
71,15.79,15.89,le
72,15.89,16.16,roi
73,16.16,16.41,ayant
74,16.41,16.75,battu
75,16.75,16.83,l’
76,16.83,17.14,armée
77,17.14,17.17,de
78,17.17,17.42,ses
79,17.42,17.78,ennemis
80,17.78,17.91,put
81,17.91,18.24,vivre
82,18.24,18.74,désormais
83,18.74,18.83,en
84,18.83,19.39,liberté
85,19.39,19.47,et
86,19.47,19.69,en
87,19.69,19.89,paix
88,19.89,20.6,
89,20.6,20.87,Alors
90,20.87,20.99,le
91,20.99,21.36,prince
92,21.36,21.69,reprit
93,21.69,22.0,son
94,22.0,22.21,épée
95,22.21,22.33,et
96,22.33,22.6,son
97,22.6,22.95,pain
98,22.95,23.06,et
99,23.06,23.18,les
100,23.18,23.37,trois
101,23.37,23.7,frères
102,23.7,24.22,continuèrent
103,24.22,24.38,leur
104,24.38,24.77,route
105,24.77,25.22,
106,25.22,25.36,Ils
107,25.36,25.7,passèrent
108,25.7,26.03,encore
109,26.03,26.17,par
110,26.17,26.41,deux
111,26.41,26.69,pays
112,26.69,26.85,où
113,26.85,27.19,régnaient
114,27.19,27.25,la
115,27.25,27.75,disette
116,27.75,27.81,et
117,27.81,27.87,la
118,27.87,28.29,guerre
119,28.29,28.41,
120,28.41,28.44,et
121,28.44,28.74,
122,28.74,28.85,le
123,28.85,29.18,prince
124,29.18,29.55,prêta
125,29.55,29.59,à
126,29.59,29.88,chaque
127,29.88,30.08,roi
128,30.08,30.34,son
129,30.34,30.53,pain
130,30.53,30.59,et
131,30.59,30.89,son
132,30.89,31.32,épée
133,31.32,31.47,
134,31.47,31.58,et
135,31.58,31.61,de
136,31.61,31.74,la
137,31.74,32.14,sorte
138,32.14,32.25,
139,32.25,32.37,il
140,32.37,32.67,sauva
141,32.67,32.95,trois
142,32.95,33.3,pays
143,33.3,33.6,
144,33.6,33.8,Après
145,33.8,34.05,ces
146,34.05,34.44,aventures
147,34.44,34.53,les
148,34.53,35.04,voyageurs
149,35.04,35.2,se
150,35.2,35.42,mirent
151,35.42,35.67,dans
152,35.67,35.77,un
153,35.77,36.13,vaisseau
154,36.13,36.28,pour
155,36.28,36.83,traverser
156,36.83,36.96,la
157,36.96,37.37,mer
158,37.37,37.81,
159,37.81,38.08,Pendant
160,38.08,38.12,le
161,38.12,38.57,trajet
162,38.57,38.68,les
163,38.68,38.9,deux
164,38.9,39.19,aînés
165,39.19,39.38,se
166,39.38,39.61,dirent
167,39.61,39.69,
168,39.69,40.0,entre
169,40.0,40.1,eux
170,40.1,40.19,C’est
171,40.19,40.93,
172,40.93,41.13,notre
173,41.13,41.32,jeune
174,41.32,41.66,frère
175,41.66,41.82,qui
176,41.82,41.86,a
177,41.86,42.17,trouvé
178,42.17,42.2,l
179,42.2,42.35,Eau
180,42.35,42.39,de
181,42.39,42.51,la
182,42.51,42.68,vie
183,42.68,42.72,et
184,42.72,42.79,non
185,42.79,42.95,pas
186,42.95,43.29,nous
187,43.29,43.84,
188,43.84,43.91,et
189,43.91,44.08499,pour
190,44.08499,44.53,cela
191,44.53,44.73,
192,44.73,45.03,notre
193,45.03,45.34,père
194,45.34,45.51,
195,45.51,45.65,va
196,45.65,45.82,lui
197,45.82,46.05,donner
198,46.05,46.12,le
199,46.12,46.55,royaume
200,46.55,46.72,qui
201,46.72,46.87,nous
202,46.87,47.4,appartient
203,47.4,47.45,et
204,47.45,47.92,
205,47.92,48.1,il
206,48.1,48.18,nous
207,48.18,48.56,prendra
208,48.56,48.87,notre
209,48.87,49.44,bonheur
210,49.44,49.99,
211,49.99,50.29,Ils
212,50.29,50.32,l’
213,50.32,50.71,enviaient
214,50.71,50.76,et
215,50.76,51.12,songeaient
216,51.12,51.22,aux
217,51.22,51.54,moyens
218,51.54,51.61,de
219,51.61,51.78,le
220,51.78,52.3,perdre
221,52.3,53.0,
222,53.0,53.27,Ils
223,53.27,53.66,attendirent
224,53.66,53.86,qu’il
225,53.86,54.04,fût
226,54.04,54.27,bien
227,54.27,54.99,endormi
228,54.99,55.27,
229,55.27,55.75,ôtèrent
230,55.75,55.8,l
231,55.8,55.92,Eau
232,55.92,55.98,de
233,55.98,56.08,la
234,56.08,56.31,vie
235,56.31,56.42,du
236,56.42,56.82,gobelet
237,56.82,57.01,pour
238,57.01,57.16,se
239,57.16,57.21,l’
240,57.21,58.02,approprier
241,58.02,58.35,
242,58.35,58.41,et
243,58.41,58.57,y
244,58.57,58.93,remirent
245,58.93,59.11,de
246,59.11,59.16,l’
247,59.16,59.23,eau
248,59.23,59.32,de
249,59.32,59.55,mer
250,59.55,59.6,
251,59.6,60.08,salée
252,60.08,60.2,et
253,60.2,60.69,âcre
254,60.69,61.66,
255,61.66,62.05,Lorsqu’ils
256,62.05,62.21,furent
257,62.21,62.33,de
258,62.33,62.6,retour
259,62.6,62.92,chez
260,62.92,63.18,eux
261,63.18,63.36,le
262,63.36,63.59,jeune
263,63.59,63.77,fils
264,63.77,63.83,du
265,63.83,63.92,roi
266,63.92,64.26,apporta
267,64.26,64.47,son
268,64.47,64.87,gobelet
269,64.87,64.99,au
270,64.99,65.19499,prince
271,65.19499,65.81,malade
272,65.81,66.16,
273,66.16,66.35,pour
274,66.35,66.56,qu’il
275,66.56,66.73,y
276,66.73,67.07,bût
277,67.07,67.22,
278,67.22,67.28,et
279,67.28,67.77,recouvrât
280,67.77,67.84,
281,67.84,67.92,la
282,67.92,68.49,santé
283,68.49,68.78,
284,68.78,68.87,Mais
285,68.87,68.93,à
286,68.93,69.25,peine
287,69.25,69.33,le
288,69.33,69.44,roi
289,69.44,69.54,eût-il
290,69.54,69.68,pris
291,69.68,69.84,une
292,69.84,70.18,gorgée
293,70.18,70.21,de
