,onset,offset,words
248,90.23,90.77,
249,90.77,90.92,et
250,90.92,91.27,quinze
251,91.27,91.64,minutes
252,91.64,92.29,après
253,92.29,92.54,
254,92.54,92.71,la
255,92.71,93.14,ligne
256,93.14,93.29,des
257,93.29,93.82,brisants
258,93.82,93.91,de
259,93.91,94.06,la
260,94.06,94.11,
261,94.11,94.54,côte
262,94.54,94.82,
263,94.82,95.33,apparut
264,95.33,95.4,
265,95.4,96.28499,brusquement
266,96.28499,96.91,au-dessous
267,96.91,97.0,de
268,97.0,97.05,
269,97.05,97.31,nous
270,97.31,97.8,
271,97.8,97.94,et
272,97.94,98.13,nous
273,98.13,98.71,marchâmes
274,98.71,99.3,rondement
275,99.3,99.36,
276,99.36,99.91,au-dessus
277,99.91,99.96,de
278,99.96,100.01,
279,100.01,100.18,la
280,100.18,100.52,mer
281,100.52,101.32,
282,101.32,101.44,Nous
283,101.44,102.08,résolûmes
284,102.08,102.43,alors
285,102.43,102.48,
286,102.48,102.59,de
287,102.59,103.06,lâcher
288,103.06,103.43,assez
289,103.43,103.5,de
290,103.5,103.58,
291,103.58,104.02,gaz
292,104.02,104.36,
293,104.36,104.5,pour
294,104.5,104.88499,laisser
295,104.88499,105.19,notre
296,105.19,105.26,
297,105.26,105.99,guide-rope
298,105.99,106.32,
299,106.32,106.83,traîner
300,106.83,107.09,dans
301,107.09,107.12,l
302,107.12,107.27,eau
303,107.27,107.54,avec
304,107.54,107.69,les
305,107.69,108.02,bouées
306,108.02,108.08,
307,108.08,108.84,attenantes
308,108.84,109.48,
309,109.48,109.87,Cela
310,109.87,109.93,
311,109.93,110.08,fut
312,110.08,110.39,fait
313,110.39,110.45,à
314,110.45,110.59,la
315,110.59,111.08,minute
316,111.08,111.72,
317,111.72,111.83,et
318,111.83,111.99,nous
319,111.99,112.74,commençâmes
320,112.74,112.86,à
321,112.86,113.41,descendre
322,113.41,113.48,
323,113.48,114.3,graduellement
324,114.3,114.8,
325,114.8,114.95,Au
326,114.95,115.14,bout
327,115.14,115.34,de
328,115.34,115.52,vingt
329,115.52,115.93,minutes
330,115.93,116.58,environ
331,116.58,116.8,
332,116.8,117.16,notre
333,117.16,117.61,première
334,117.61,117.66,
335,117.66,118.12,bouée
336,118.12,118.63,toucha
337,118.63,119.16,
338,119.16,119.24,et
339,119.24,119.41,au
340,119.41,119.96,plongeon
341,119.96,120.1,de
342,120.1,120.25,la
343,120.25,120.94,seconde
344,120.94,121.23,
345,121.23,121.36,nous
346,121.36,121.98,restâmes
347,121.98,122.08,à
348,122.08,122.24,une
349,122.24,122.98,élévation
350,122.98,123.55,fixe
351,123.55,124.28,
352,124.28,124.45,Nous
353,124.45,124.85,étions
354,124.85,125.2,tous
355,125.2,126.16,très-inquiets
356,126.16,126.43,
357,126.43,126.48,de
358,126.48,127.16,vérifier
359,127.16,127.19,l
360,127.19,128.05,efficacité
361,128.05,128.13,du
362,128.13,128.93,gouvernail
363,128.93,129.07,et
364,129.07,129.16,
365,129.16,129.3,de
366,129.3,129.54,la
367,129.54,129.82,vis
368,129.82,130.45,
369,130.45,130.55,et
370,130.55,130.61,nous
371,130.61,130.73,les
372,130.73,130.99,mîmes
373,130.99,132.23,immédiatement
374,132.23,132.52,
375,132.52,132.67,en
376,132.67,133.54,réquisition
377,133.54,133.7,dans
378,133.7,133.84,le
379,133.84,134.15,but
380,134.15,134.34,
381,134.34,134.37,de
382,134.37,135.1,déterminer
383,135.1,135.95,davantage
384,135.95,136.3,
385,136.3,136.57,notre
386,136.57,136.95,route
387,136.95,137.2,vers
388,137.2,137.26,l
389,137.26,137.58,est
390,137.58,137.95,
391,137.95,138.06,et
392,138.06,138.22,de
393,138.22,138.59,mettre
394,138.59,138.8,le
395,138.8,139.02,cap
396,139.02,139.08,
397,139.08,139.29,sur
398,139.29,139.36,
399,139.36,139.82,Paris
400,139.82,140.94,
401,140.94,141.09,Au
402,141.09,141.43,moyen
403,141.43,141.57,du
404,141.57,142.3,gouvernail
405,142.3,142.7,
406,142.7,142.96,nous
407,142.96,143.7,effectuâmes
408,143.7,143.81,à
409,143.81,143.88,l
410,143.88,143.94,
411,143.94,144.36,instant
412,144.36,144.45,le
413,144.45,144.97,changement
414,144.97,145.67,nécessaire
415,145.67,145.72,
416,145.72,145.81,de
417,145.81,146.65,direction
418,146.65,147.23,
419,147.23,147.35,et
420,147.35,147.65,notre
421,147.65,148.09,route
422,148.09,148.42,
423,148.42,148.56,se
424,148.56,148.61,
425,148.61,149.0,trouva
426,149.0,149.55,presque
427,149.55,149.99,à
428,149.99,150.15,angle
429,150.15,150.24,
430,150.24,150.59,droit
431,150.59,150.85,avec
432,150.85,150.99,le
433,150.99,151.39,vent
434,151.39,151.92,
435,151.92,152.37,puis
436,152.37,152.63,
437,152.63,152.79,nous
438,152.79,153.12,mîmes
439,153.12,153.33,en
440,153.33,153.81,mouvement
441,153.81,153.85,le
442,153.85,154.42,ressort
443,154.42,154.5,de
444,154.5,154.68,la
445,154.68,154.73,
446,154.73,154.9,vis
447,154.9,155.14,et
448,155.14,155.71,
449,155.71,155.88,nous
450,155.88,156.24,fûmes
451,156.24,156.67,ravis
452,156.67,156.8,de
453,156.8,157.31,voir
454,157.31,157.59,
455,157.59,157.73499,qu'elle
456,157.73499,157.95,nous
457,157.95,158.42,portait
458,158.42,159.07,docilement
459,159.07,159.18,dans
460,159.18,159.31,le
461,159.31,159.74,sens
462,159.74,160.14,voulu
463,160.14,160.86,
464,160.86,161.67,Là-dessus
465,161.67,162.03,
466,162.03,162.24,nous
467,162.24,162.8,poussâmes
468,162.8,163.09,neuf
469,163.09,163.44,fois
470,163.44,163.56,un
471,163.56,163.96,fort
472,163.96,164.47,vivat
473,164.47,164.98,
474,164.98,165.11,et
475,165.11,165.26,nous
476,165.26,165.85,jetâmes
477,165.85,165.93,à
478,165.93,166.09,la
479,166.09,166.42,mer
480,166.42,166.75,
481,166.75,166.91,une
482,166.91,167.35,bouteille
483,167.35,167.52,qui
484,167.52,168.16,contenait
485,168.16,168.28,une
486,168.28,168.69,bande
487,168.69,168.86,de
488,168.86,169.58,parchemin
489,169.58,169.99,
490,169.99,170.32,avec
491,170.32,170.42,le
492,170.42,170.76,bref
493,170.76,171.08,compte
494,171.08,171.55,rendu
495,171.55,171.7,du
496,171.7,172.23499,principe
497,172.23499,172.37,de
498,172.37,172.44,l
499,172.44,173.19,invention
500,173.19,173.65,
501,173.65,174.34,Toutefois
502,174.34,174.74,
503,174.74,174.98,nous
504,174.98,175.09,en
505,175.09,175.14,
506,175.14,175.52,avions
507,175.52,175.69,à
508,175.69,175.92,peine
509,175.92,176.34,fini
510,176.34,176.61,avec
511,176.61,176.76,nos
512,176.76,177.73,manifestations
513,177.73,177.82,de
514,177.82,178.43,triomphe
515,178.43,178.81,
516,178.81,178.98,qu'il
517,178.98,179.45,survint
518,179.45,179.54,
519,179.54,179.66,un
520,179.66,180.30499,accident
521,180.30499,181.07,imprévu
522,181.07,181.46,
523,181.46,181.6,qui
524,181.6,181.96,n'était
525,181.96,182.18,pas
526,182.18,182.41,peu
527,182.41,182.83,propre
528,182.83,182.99,à
529,182.99,183.15,nous
530,183.15,183.97,décourager
531,183.97,184.93,
532,184.93,185.1,La
533,185.1,185.42,verge
534,185.42,185.49,
535,185.49,185.56,d
536,185.56,186.17,acier
537,186.17,186.46,
538,186.46,186.59,qui
539,186.59,187.14,reliait
540,187.14,187.25,le
541,187.25,187.79,levier
542,187.79,187.96,au
543,187.96,188.88,propulseur
544,188.88,189.12,
545,189.12,189.32,fut
546,189.32,190.13,soudainement
547,190.13,190.52,jetée
548,190.52,190.58,
549,190.58,190.85,hors
550,190.85,191.0,de
551,191.0,191.28,sa
552,191.28,191.75,place
553,191.75,192.04,
554,192.04,192.24,par
555,192.24,192.42,le
556,192.42,192.8,bout
557,192.8,193.02,
558,193.02,193.21,qui
559,193.21,193.87,confinait
560,193.87,194.02,à
561,194.02,194.17,la
562,194.17,194.95,nacelle
563,194.95,195.22,
564,195.22,195.4,ce
565,195.4,195.6,fut
566,195.6,195.66,
567,195.66,195.69,l
568,195.69,196.18,effet
569,196.18,196.31,de
570,196.31,196.39,l
571,196.39,196.44,
572,196.44,197.28,inclinaison
573,197.28,197.43,de
574,197.43,197.6,la
575,197.6,198.15,nacelle
576,198.15,198.58,
577,198.58,198.72,par
578,198.72,199.11,suite
579,199.11,199.17,de
580,199.17,199.26,
581,199.26,199.58,quelque
582,199.58,200.32,mouvement
583,200.32,200.6,
584,200.6,200.73,de
585,200.73,200.81,l
586,200.81,200.99,un
587,200.99,201.16,des
588,201.16,201.62,marins
