phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_surprisal_GPT;word_number;entropy_class
d;2.57;2.64;De;2.57;2.7;4.483571098705468;3.345837716499959;5.322176977655901;9.634052;8.562404;1;1.0
@;2.64;2.7;De;2.57;2.7;0.2267800692598349;7.532001194857413;5.322176977655901;9.634052;8.562404;1;1.0
r;2.7;2.76;Ransel;2.7;3.26;4.483571098705468;6.700963487018851;20.69554828794628;10.874454;8.021165;2;1.0
A;2.76;2.85;Ransel;2.7;3.26;0.0734915346894421;4.369555486098489;20.69554828794628;10.874454;8.021165;2;1.0
n;2.85;2.91;Ransel;2.7;3.26;0.005540332574383;2.961532585932442;20.69554828794628;10.874454;8.021165;2;1.0
s;2.91;3.07;Ransel;2.7;3.26;0.0015150184705053;4.88834947928385;20.69554828794628;10.874454;8.021165;2;1.0
@;3.07;3.1;Ransel;2.7;3.26;0.0008326804036552;4.1477088638376;20.69554828794628;10.874454;8.021165;2;1.0
l;3.1;3.26;Ransel;2.7;3.26;0.0008170875076611;4.333422723417213;20.69554828794628;10.874454;8.021165;2;1.0
h;3.74;3.77;het;3.74;3.89;4.483571098705468;3.9195567556242334;5.312395807632838;9.369028;8.724143;3;1.0
E;3.77;3.82;het;3.74;3.89;0.2428258873032413;2.478097582802456;5.312395807632838;9.369028;8.724143;3;1.0
t;3.82;3.89;het;3.74;3.89;0.0487597153702527;4.607521235238637;5.312395807632838;9.369028;8.724143;3;1.0
h;3.89;3.94;Hoedje;3.89;4.34;4.483571098705468;3.9195567556242334;18.493925398634225;10.438236;10.837007;4;1.0
u;3.94;4.08;Hoedje;3.89;4.34;0.2428258873032413;2.4766768434247464;18.493925398634225;10.438236;10.837007;4;1.0
t;4.08;4.11;Hoedje;3.89;4.34;0.0239717141266608;7.375214560143833;18.493925398634225;10.438236;10.837007;4;1.0
j;4.11;4.21;Hoedje;3.89;4.34;0.0009880441104754;3.3985102508507024;18.493925398634225;10.438236;10.837007;4;1.0
@;4.21;4.28;Hoedje;3.89;4.34;0.0008640286685273;3.182247509836015;18.493925398634225;10.438236;10.837007;4;1.0
n;4.28;4.34;Hoedje;3.89;4.34;0.0008083560737195;5.303890315791618;18.493925398634225;10.438236;10.837007;4;1.0
E;4.71;4.79;en;4.71;4.83;4.483571098705468;4.8694102932972045;6.1170286533150895;9.219037;6.073049;5;1.0
