,onset,offset,phones
0,0.0,0.15,<p:>
1,0.15,0.18,h
2,0.18,0.29,Ei
3,0.29,0.34,h
4,0.34,0.55,o:
5,0.55,0.59,p
6,0.59,0.64,t
7,0.64,0.73,@
8,0.73,0.79,t
9,0.79,0.85,A
10,0.85,0.88,t
11,0.88,0.96,s
12,0.96,1.04,Ei
13,1.04,1.14,x
14,1.14,1.17,@
15,1.17,1.25,l
16,1.25,1.29,Y
17,1.29,1.37,k
18,1.37,1.45,s
19,1.45,1.55,O
20,1.55,1.62,n
21,1.62,1.65,n
22,1.65,1.69,O
23,1.69,1.73,G
24,1.73,1.84,k
25,1.84,1.88,l
26,1.88,2.01,a:
27,2.01,2.05,r
28,2.05,2.09,d
29,2.09,2.12,@
30,2.12,2.2,z
31,2.2,2.28,Au
32,2.28,2.35,x
33,2.35,2.39,a:
34,2.39,2.42,n
35,2.42,2.5,s
36,2.5,2.58,x
37,2.58,2.76,Ei
38,2.76,2.82,n
39,2.82,2.87,@
40,2.87,4.04,<p:>
41,4.04,4.09,t
42,4.09,4.18,e:
43,4.18,4.23,G
44,4.23,4.26,@
45,4.26,4.33,z
46,4.33,4.38,O
47,4.38,4.41,n
48,4.41,4.48,s
49,4.48,4.63,O
50,4.63,4.69,n
51,4.69,4.72,@
52,4.72,4.84,G
53,4.84,4.9,A
54,4.9,5.06,N
55,5.06,5.53,<p:>
56,5.53,5.56,k
57,5.56,5.59,w
58,5.59,5.63,A
59,5.63,5.66,m
60,5.66,5.74,Ei
61,5.74,5.8,b
62,5.8,5.94,Ei
63,5.94,5.98,@
64,5.98,6.1,A
65,6.1,6.13,n
66,6.13,6.16,d
67,6.16,6.19,@
68,6.19,6.22,r
69,6.22,6.26,@
70,6.26,6.36,k
71,6.36,6.51,o:
72,6.51,6.54,l
73,6.54,6.57,@
74,6.57,6.65,b
75,6.65,6.69,r
76,6.69,6.82,A
77,6.82,6.87,n
78,6.87,6.95,d
79,6.95,7.07,@
80,7.07,7.13,d
81,7.13,7.18,i
82,7.18,7.25,b
83,7.25,7.46,Ei
84,7.46,7.5,t
85,7.5,7.6,f
86,7.6,7.69,y
87,7.69,7.72,r
88,7.72,7.79,z
89,7.79,7.82,@
90,7.82,7.85,n
91,7.85,8.02,a:
92,8.02,8.07,f
93,8.07,8.1,O
94,8.1,8.14,n
95,8.14,8.17,d
96,8.17,8.21,m
97,8.21,8.33,A
98,8.33,8.36,l
99,8.36,8.45,k
100,8.45,8.48,l
101,8.48,8.53,a:
102,8.53,8.65,r
103,8.65,8.69,m
104,8.69,8.81,a:
105,8.81,8.93,k
106,8.93,9.01,t
107,9.01,9.08,@
108,9.08,12.18,<p:>
109,12.18,12.24,w
110,12.24,12.28,I
111,12.28,12.31,l
112,12.31,12.44,j
113,12.44,12.48,m
114,12.48,12.55,E
115,12.55,12.61,t
116,12.61,12.64,m
117,12.64,12.7,Ei
118,12.7,12.91,e:
119,12.91,12.96,t
120,12.96,13.13,@
121,13.13,13.52,<p:>
122,13.52,13.6,z
123,13.6,13.73,Ei
124,13.73,13.76,d
125,13.76,13.79,@
126,13.79,13.86,s
127,13.86,13.91,w
128,13.91,13.95,A
129,13.95,14.01,r
130,14.01,14.09,t
131,14.09,14.12,@
132,14.12,14.19,G
133,14.19,14.22,@
134,14.22,14.33,z
135,14.33,14.4,E
136,14.4,14.56,l
137,14.56,15.21,<p:>
138,15.21,15.4,a:
139,15.4,15.45,r
140,15.45,15.48,d
141,15.48,15.56,A
142,15.56,15.63,p
143,15.63,15.66,@
144,15.66,15.69,l
145,15.69,15.73,@
146,15.73,15.79,m
147,15.79,15.83,E
148,15.83,15.89,t
149,15.89,15.96,s
150,15.96,16.2,Au
151,16.2,16.25,t
152,16.25,16.3,<p:>
153,16.3,16.37,m
154,16.37,16.4,A
155,16.4,16.49,z
156,16.49,16.61,O
157,16.61,16.65,n
158,16.65,16.71,@
159,16.71,16.77,f
160,16.77,16.87,E
161,16.87,16.95,p
162,16.95,17.07,t
163,17.07,17.7,<p:>
164,17.7,17.76,x
165,17.76,17.82,a:
166,17.82,17.87,d
167,17.87,17.93,A
168,17.93,17.98,m
169,17.98,18.02,a:
170,18.02,18.12,z
171,18.12,18.17,I
172,18.17,18.28,t
173,18.28,18.35,@
174,18.35,19.97,<p:>
175,19.97,20.02,n
176,20.02,20.33,e:
177,20.33,20.38,n
178,20.38,20.58,<p:>
179,20.58,20.62,z
180,20.62,20.75,Ei
181,20.75,20.85,h
182,20.85,21.03,Ei
183,21.03,21.42,<p:>
184,21.42,21.48,f
185,21.48,21.51,A
186,21.51,21.55,n
187,21.55,21.61,d
188,21.61,21.81,a:
189,21.81,21.89,x
190,21.89,21.94,m
191,21.94,22.01,u
192,22.01,22.07,t
193,22.07,22.12,j
194,22.12,22.17,@
195,22.17,22.22,m
196,22.22,22.41,Ei
197,22.41,22.51,x
198,22.51,22.59,A
199,22.59,22.65,s
200,22.65,22.75,s
201,22.75,22.92,Ei
202,22.92,23.01,n
203,23.01,23.42,<p:>
204,23.42,23.49,E
205,23.49,23.54,n
206,23.54,23.63,Ei
207,23.63,23.77,s
208,23.77,23.84,p
209,23.84,23.87,r
210,23.87,24.04,Ei
211,24.04,24.07,d
212,24.07,24.1,@
213,24.1,24.16,z
214,24.16,24.19,@
215,24.19,24.22,n
216,24.22,24.31,k
217,24.31,24.36,l
218,24.36,24.51,e:
219,24.51,24.57,t
220,24.57,24.61,j
221,24.61,24.84,9y
222,24.84,24.97,t
223,24.97,25.08,E
224,25.08,25.14,t
225,25.14,25.17,w
226,25.17,25.24,A
227,25.24,25.31,s
228,25.31,25.37,<p:>
229,25.37,25.41,d
230,25.41,25.61,a:
231,25.61,25.64,d
232,25.64,25.68,l
233,25.68,25.71,@
234,25.71,25.78,k
235,25.78,25.82,m
236,25.82,25.87,E
237,25.87,25.93,t
238,25.93,25.97,@
239,25.97,26.06,n
240,26.06,26.15,h
241,26.15,26.27,e:
242,26.27,26.3,r
243,26.3,26.33,l
244,26.33,26.36,@
245,26.36,26.43,k
246,26.43,26.49,s
247,26.49,26.54,t
248,26.54,26.6,@
249,26.6,26.69,x
250,26.69,26.73,@
251,26.73,26.77,r
252,26.77,26.83,E
253,26.83,26.96,x
254,26.96,27.03,t
255,27.03,27.06,@
256,27.06,27.12,b
257,27.12,27.15,@
258,27.15,27.26,z
259,27.26,27.31,E
260,27.31,27.41,p
261,27.41,27.49,t
262,27.49,28.03,<p:>
263,28.03,28.11,s
264,28.11,28.16,Ei
265,28.16,28.47,a:
266,28.47,28.58,t
267,28.58,28.61,@
268,28.61,28.71,E
269,28.71,28.79,n
270,28.79,28.84,d
271,28.84,28.88,r
272,28.88,28.93,O
273,28.93,29.05,N
274,29.05,29.08,k
275,29.08,29.11,@
276,29.11,29.25,s
277,29.25,29.46,a:
278,29.46,29.5,m
279,29.5,29.6,@
280,29.6,30.02,<p:>
281,30.02,30.1,E
282,30.1,30.16,n
283,30.16,30.19,h
284,30.19,30.28,A
285,30.28,30.31,d
286,30.31,30.34,@
287,30.34,30.49,s
288,30.49,30.54,x
289,30.54,30.62,I
290,30.62,30.66,g
291,30.66,32.14,<p:>
292,32.14,32.2,n
293,32.2,32.32,a:
294,32.32,32.36,@
295,32.36,32.4,t
296,32.4,32.58,e:
297,32.58,32.66,t
298,32.66,32.76,s
299,32.76,32.84,Ei
300,32.84,32.87,d
301,32.87,32.9,@
302,32.9,32.99,k
303,32.99,33.14,o:
304,33.14,33.17,l
305,33.17,33.2,@
306,33.2,33.26,b
307,33.26,33.31,r
308,33.31,33.42,A
309,33.42,33.46,n
310,33.46,33.52,d
311,33.52,33.59,@
312,33.59,33.63,r
313,33.63,34.68,<p:>
314,34.68,34.74,I
315,34.74,34.83,k
316,34.83,34.86,E
317,34.86,34.89,p
318,34.89,34.95,<p:>
319,34.95,35.01,@
320,35.01,35.1,<p:>
321,35.1,35.25,Au
322,35.25,35.32,t
323,35.32,35.37,f
324,35.37,35.4,@
325,35.4,35.52,s
326,35.52,35.55,l
327,35.55,35.67,e:
328,35.67,35.77,t
329,35.77,35.82,@
330,35.82,35.89,h
331,35.89,35.96,u
332,35.96,36.05,t
333,36.05,36.12,j
334,36.12,36.18,@
335,36.18,36.84,<p:>
336,36.84,36.87,t
337,36.87,36.91,A
338,36.91,36.98,t
339,36.98,37.03,h
340,37.03,37.09,e:
341,37.09,37.16,f
342,37.16,37.35,s
343,37.35,37.42,E
344,37.42,37.51,l
345,37.51,37.58,t
346,37.58,37.66,s
347,37.66,37.7,a:
348,37.7,37.73,m
349,37.73,37.78,@
350,37.78,37.83,n
351,37.83,38.04,Ei
352,38.04,38.12,G
353,38.12,38.15,@
354,38.15,38.24,s
355,38.24,38.32,x
356,38.32,38.38,A
357,38.38,38.52,p
358,38.52,38.56,@
359,38.56,39.55,<p:>
360,39.55,39.61,A
361,39.61,39.69,s
362,39.69,39.76,i
363,39.76,39.8,m
364,39.8,39.88,A
365,39.88,39.92,n
366,39.92,39.96499,t
367,39.96499,40.03998,t
368,40.03998,40.11,<p:>
369,40.11,40.21,O
370,40.21,40.29,p
371,40.29,40.42,s
372,40.42,40.51,E
373,40.51,40.56,p
374,40.56,40.71,t
375,40.71,41.05,<p:>
376,41.05,41.13,E
377,41.13,41.19,n
378,41.19,41.23,O
379,41.23,41.3,p
380,41.3,41.4,s
381,41.4,41.45,@
382,41.45,41.5,n
383,41.5,41.56,h
384,41.56,41.71,o:
385,41.71,41.76,f
386,41.76,41.85,t
387,41.85,41.9,r
388,41.9,41.98,O
389,41.98,42.05,n
390,42.05,42.1,d
391,42.1,42.15,r
392,42.15,42.3,a:
393,42.3,42.39,j
394,42.39,42.5,t
395,42.5,42.88,<p:>
396,42.88,42.92,d
397,42.92,43.0,A
398,43.0,43.12,s
399,43.12,43.25,x
400,43.25,43.29,i
401,43.29,43.38,t
402,43.38,43.41,@
403,43.41,43.47,d
404,43.47,43.51,@
405,43.51,43.56,<p:>
406,43.56,43.62,k
407,43.62,43.68,a:
408,43.68,43.79,n
409,43.79,43.91,O
410,43.91,43.95,n
411,43.95,43.98,@
412,43.98,44.23,O
413,44.23,44.3,f
414,44.3,44.33,@
415,44.33,44.36,r
416,44.36,44.5,<p:>
417,44.5,44.55,t
418,44.55,44.58,w
419,44.58,44.7,a:
420,44.7,44.8,l
421,44.8,44.84,@
422,44.84,44.91,f
423,44.91,44.98,<p:>
424,44.98,45.01,n
425,45.01,45.13,a:
426,45.13,45.2,s
427,45.2,45.25,t
428,45.25,45.29,@
429,45.29,45.34,l
430,45.34,45.43,k
431,45.43,45.52,A
432,45.52,45.6,n
433,45.6,45.64,d
434,45.64,45.67,@
435,45.67,45.72,w
436,45.72,45.83,a:
437,45.83,45.86,r
438,45.86,46.0,O
439,46.0,46.07,p
440,46.07,46.1,x
441,46.1,46.13,@
442,46.13,46.22,s
443,46.22,46.27,t
444,46.27,46.32,@
445,46.32,46.43,l
446,46.43,46.55,t
447,46.55,47.58,<p:>
448,47.58,47.68,E
449,47.68,47.76,z
450,47.76,47.79,@
451,47.79,47.88,s
452,47.88,47.91,x
453,47.91,48.03,i
454,48.03,48.07,t
455,48.07,48.1,@
456,48.1,48.22,A
457,48.22,48.27,l
458,48.27,48.32,@
459,48.32,48.41,s
460,48.41,48.48,n
